crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401D10,['crypt'],sub_417A30,['WriteFile'],sub_401640,"['FindFirstFile', 'FindNextFile']",,,sub_401D10,['encrypted']
sub_402170,['crypt'],,,,,,,sub_4C8E10,['Snapshot']
sub_404E70,['crypt'],,,,,,,,
sub_405040,['crypt'],,,,,,,,
sub_405110,['crypt'],,,,,,,,
sub_4051D0,['crypt'],,,,,,,,
sub_405290,['crypt'],,,,,,,,
sub_405390,['crypt'],,,,,,,,
sub_4057D0,['crypt'],,,,,,,,
sub_405A00,['crypt'],,,,,,,,
sub_405C50,['crypt'],,,,,,,,
sub_405D40,['crypt'],,,,,,,,
sub_405F00,['crypt'],,,,,,,,
sub_406090,['crypt'],,,,,,,,
sub_406160,['crypt'],,,,,,,,
sub_406270,['crypt'],,,,,,,,
sub_406600,['crypt'],,,,,,,,
sub_4067F0,['crypt'],,,,,,,,
sub_406AA0,['crypt'],,,,,,,,
sub_407220,['crypt'],,,,,,,,
sub_407480,['crypt'],,,,,,,,
sub_4075E0,['crypt'],,,,,,,,
sub_407650,['crypt'],,,,,,,,
sub_408110,['crypt'],,,,,,,,
sub_40D530,['crypt'],,,,,,,,
sub_414870,['crypt'],,,,,,,,
sub_414960,['crypt'],,,,,,,,
sub_4149D0,['crypt'],,,,,,,,
sub_414B00,['crypt'],,,,,,,,
sub_414C40,['crypt'],,,,,,,,
sub_414DC0,['crypt'],,,,,,,,
sub_414F40,['crypt'],,,,,,,,
sub_4152C0,['crypt'],,,,,,,,
sub_415660,['crypt'],,,,,,,,
sub_4159F0,['crypt'],,,,,,,,
sub_416170,['crypt'],,,,,,,,
sub_416200,['crypt'],,,,,,,,
sub_4162A0,['crypt'],,,,,,,,
sub_4163B0,['crypt'],,,,,,,,
sub_416470,['crypt'],,,,,,,,
sub_416560,['crypt'],,,,,,,,
sub_4166D0,['crypt'],,,,,,,,
sub_416780,['crypt'],,,,,,,,
sub_4168C0,['crypt'],,,,,,,,
sub_416900,['crypt'],,,,,,,,
sub_416EC0,['crypt'],,,,,,,,
sub_4170D0,['crypt'],,,,,,,,
sub_4174D0,['crypt'],,,,,,,,
sub_417D70,['crypt'],,,,,,,,
sub_417DE0,['crypt'],,,,,,,,
sub_419260,['crypt'],,,,,,,,
sub_419310,['crypt'],,,,,,,,
sub_4196B0,['crypt'],,,,,,,,
sub_4197E0,['crypt'],,,,,,,,
sub_4198C0,['crypt'],,,,,,,,
sub_4199A0,['crypt'],,,,,,,,
sub_419B00,['crypt'],,,,,,,,
sub_41A010,['crypt'],,,,,,,,
sub_41A750,['crypt'],,,,,,,,
sub_41A830,['crypt'],,,,,,,,
sub_41AA30,['crypt'],,,,,,,,
sub_41AC00,['crypt'],,,,,,,,
sub_41ACA0,['crypt'],,,,,,,,
sub_41AF10,['crypt'],,,,,,,,
sub_41BA70,['crypt'],,,,,,,,
sub_41BE70,['crypt'],,,,,,,,
sub_41CB00,['crypt'],,,,,,,,
sub_41CBC0,['crypt'],,,,,,,,
