crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401010,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_404970,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_4011C0,['RijnDael_AES_LONG'],sub_404B60,['WriteFile'],sub_404B60,"['FindFirstFile', 'FindNextFile']",sub_404970,['CreateFile'],,
Function,['crypt'],,,,,sub_404B60,['CreateFile'],,
sub_405140,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_404E30,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_401410,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_4020B0,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_405370,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_4026F0,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
