crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_403955,['Crypt'],sub_40A887,['WriteFile'],sub_409EBF,"['FindFirstFile', 'FindNextFile']",sub_407A5E,['CreateFile'],sub_40A189,['Snapshot']
sub_4062E4,['Crypt'],,,,,sub_4081F9,['CreateFile'],,
sub_406307,['Crypt'],,,,,sub_40A8AC,['ReadFile'],,
sub_40637F,['Crypt'],,,,,,,,
sub_4063A5,['Crypt'],,,,,,,,
sub_4063C6,['Crypt'],,,,,,,,
sub_4063E7,['Crypt'],,,,,,,,
sub_406577,['Crypt'],,,,,,,,
sub_4065F1,['Crypt'],,,,,,,,
sub_40661F,['Crypt'],,,,,,,,
sub_40663E,['Crypt'],,,,,,,,
sub_40668E,['Crypt'],,,,,,,,
sub_4066C7,['Crypt'],,,,,,,,
sub_406728,['Crypt'],,,,,,,,
sub_406778,['Crypt'],,,,,,,,
sub_40689B,['Crypt'],,,,,,,,
sub_4068D4,['Crypt'],,,,,,,,
sub_4068F5,['Crypt'],,,,,,,,
sub_40694B,['Crypt'],,,,,,,,
sub_406984,['Crypt'],,,,,,,,
sub_4069A3,['Crypt'],,,,,,,,
sub_406AFD,['Crypt'],,,,,,,,
sub_406B9E,['Crypt'],,,,,,,,
sub_406BFD,['Crypt'],,,,,,,,
sub_406C78,['Crypt'],,,,,,,,
sub_406D06,['Crypt'],,,,,,,,
sub_406DE8,['Crypt'],,,,,,,,
sub_406F0A,['Crypt'],,,,,,,,
sub_406F92,['Crypt'],,,,,,,,
sub_407167,['Crypt'],,,,,,,,
sub_4071AE,['Crypt'],,,,,,,,
sub_4071B9,['Crypt'],,,,,,,,
sub_40720A,['Crypt'],,,,,,,,
sub_407324,['Crypt'],,,,,,,,
sub_4075CF,['Crypt'],,,,,,,,
sub_407DF2,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40841B,['Crypt'],,,,,,,,
sub_40842A,['Crypt'],,,,,,,,
sub_408495,['Crypt'],,,,,,,,
sub_408661,['Crypt'],,,,,,,,
sub_4086B6,['Crypt'],,,,,,,,
sub_4086CB,['Crypt'],,,,,,,,
sub_40872B,['Crypt'],,,,,,,,
sub_408790,['Crypt'],,,,,,,,
sub_4087B7,['Crypt'],,,,,,,,
sub_40886F,['Crypt'],,,,,,,,
sub_408AC7,['Crypt'],,,,,,,,
sub_408BF1,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_408C3C,['Crypt'],,,,,,,,
sub_408D1D,['Crypt'],,,,,,,,
sub_408D3C,['Crypt'],,,,,,,,
sub_408D66,['Crypt'],,,,,,,,
sub_408D85,['Crypt'],,,,,,,,
sub_408E24,['Crypt'],,,,,,,,
sub_408E4C,['Crypt'],,,,,,,,
sub_408E90,['Crypt'],,,,,,,,
sub_408EBE,['Crypt'],,,,,,,,
sub_408EE7,['Crypt'],,,,,,,,
sub_408FAC,['Crypt'],,,,,,,,
sub_40900F,['Crypt'],,,,,,,,
sub_40985F,['Crypt'],,,,,,,,
sub_409C38,['Crypt'],,,,,,,,
sub_409DB8,['Crypt'],,,,,,,,
sub_409E02,['Crypt'],,,,,,,,
sub_409E2D,['Crypt'],,,,,,,,
sub_40AA0F,['Crypt'],,,,,,,,
sub_40AB10,['Crypt'],,,,,,,,
sub_40AB31,['Crypt'],,,,,,,,
sub_40AB80,['Crypt'],,,,,,,,
sub_40ABBB,['Crypt'],,,,,,,,
sub_40ABF2,['Crypt'],,,,,,,,
sub_40AC29,['Crypt'],,,,,,,,
sub_40AC76,['Crypt'],,,,,,,,
sub_40ACD8,['Crypt'],,,,,,,,
sub_40ADD3,['Crypt'],,,,,,,,
sub_40AEE3,['Crypt'],,,,,,,,
sub_40B008,['Crypt'],,,,,,,,
sub_40B054,['Crypt'],,,,,,,,
sub_40B32D,['Crypt'],,,,,,,,
sub_40BD6F,['Crypt'],,,,,,,,
sub_40C08D,['Crypt'],,,,,,,,
sub_40C0C0,['Crypt'],,,,,,,,
sub_40C0DC,['Crypt'],,,,,,,,
sub_40C174,['Crypt'],,,,,,,,
sub_40C1B3,['Crypt'],,,,,,,,
sub_40C21E,"['crypt', 'Crypt']",,,,,,,,
sub_40C483,['Crypt'],,,,,,,,
sub_40CAC3,['Crypt'],,,,,,,,
sub_40CB81,['Crypt'],,,,,,,,
sub_40CBA2,['Crypt'],,,,,,,,
sub_40CBC3,['Crypt'],,,,,,,,
sub_40CC70,['Crypt'],,,,,,,,
sub_40CC91,['Crypt'],,,,,,,,
sub_40CCE7,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40CD50,['Crypt'],,,,,,,,
sub_40CFFD,['Crypt'],,,,,,,,
sub_40D046,['Crypt'],,,,,,,,
sub_40D0C5,['Crypt'],,,,,,,,
sub_40D110,['Crypt'],,,,,,,,
sub_40D263,['Crypt'],,,,,,,,
sub_40D2A4,['Crypt'],,,,,,,,
sub_40D42E,['Crypt'],,,,,,,,
sub_40D4AE,['Crypt'],,,,,,,,
sub_40D61D,['Crypt'],,,,,,,,
sub_40D66A,['Crypt'],,,,,,,,
sub_40D6F4,['Crypt'],,,,,,,,
sub_40D7CC,['Crypt'],,,,,,,,
sub_40D891,['Crypt'],,,,,,,,
sub_40D91D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40DA77,['Crypt'],,,,,,,,
sub_40DC48,['Crypt'],,,,,,,,
sub_40DCBA,['Crypt'],,,,,,,,
sub_40DE8C,['Crypt'],,,,,,,,
sub_40DEDE,['Crypt'],,,,,,,,
sub_40DFA7,['Crypt'],,,,,,,,
sub_40E618,['Crypt'],,,,,,,,
sub_40E637,['Crypt'],,,,,,,,
sub_40E755,['Crypt'],,,,,,,,
sub_40E776,['Crypt'],,,,,,,,
sub_40E7BF,['Crypt'],,,,,,,,
sub_40E80A,['Crypt'],,,,,,,,
sub_40E85C,['Crypt'],,,,,,,,
sub_40E8A1,['Crypt'],,,,,,,,
sub_40E940,['Crypt'],,,,,,,,
sub_40E96D,['Crypt'],,,,,,,,
sub_40E9C4,['Crypt'],,,,,,,,
sub_40EA18,['Crypt'],,,,,,,,
sub_40EA62,['Crypt'],,,,,,,,
sub_40EB0B,['Crypt'],,,,,,,,
sub_40EB3C,['Crypt'],,,,,,,,
sub_40EC29,['Crypt'],,,,,,,,
sub_40EC4B,['Crypt'],,,,,,,,
sub_40EE24,['Crypt'],,,,,,,,
sub_40F4DF,['Crypt'],,,,,,,,
sub_411132,['Crypt'],,,,,,,,
sub_411463,['Crypt'],,,,,,,,
sub_41222B,['Crypt'],,,,,,,,
sub_412A91,['Crypt'],,,,,,,,
sub_41C71F,['Crypt'],,,,,,,,
sub_41C767,['Crypt'],,,,,,,,
sub_41C829,['Crypt'],,,,,,,,
sub_41C91C,['Crypt'],,,,,,,,
sub_41C9E5,['Crypt'],,,,,,,,
sub_41CAB1,['Crypt'],,,,,,,,
sub_41CD3F,['Crypt'],,,,,,,,
sub_41CE0F,['Crypt'],,,,,,,,
sub_41CE6D,['Crypt'],,,,,,,,
sub_41CFD4,['Crypt'],,,,,,,,
sub_41D017,['Crypt'],,,,,,,,
