crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D9B78,['RijnDael_AES_LONG'],sub_406300,['WriteFile'],sub_40DF98,['FindFirstFile'],sub_4219C0,['CreateFile'],,
sub_4DA14C,['RijnDael_AES_inv_LONG'],sub_409BCC,['WriteFile'],sub_40E57C,['FindFirstFile'],sub_421A18,['CreateFile'],,
sub_4DC6D8,['crypt'],sub_421A98,['WriteFile'],sub_4D2AAC,['FindFirstFile'],sub_421A6C,['ReadFile'],,
sub_409F7C,['crypt'],sub_4272E4,['WriteFile'],sub_4D2F64,['FindFirstFile'],sub_4D4704,['CreateFile'],,
sub_4DCA24,['crypt'],sub_4DCA24,['WriteFile'],sub_4E2008,['FindFirstFile'],sub_4DC060,"['CreateFile', 'ReadFile']",,
sub_4DCB3C,['crypt'],sub_4DCB3C,['WriteFile'],sub_4E3B0C,['FindNextFile'],sub_409F7C,"['CreateFile', 'ReadFile']",,
sub_4DCC64,['crypt'],sub_4E24AC,['WriteFile'],,,sub_4DCA24,['CreateFile'],,
sub_4E3B0C,['crypt'],sub_4E2778,['WriteFile'],,,sub_4DCB3C,['CreateFile'],,
sub_4D9E2C,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E3274,"['MoveFile', 'DeleteFile']",,,sub_4E20C4,['CreateFile'],,
sub_4D58DC,Function performing Base64 encoding on input data.,,,,,sub_4E24AC,['ReadFile'],,
,,,,,,sub_4E2778,['CreateFile'],,
,,,,,,sub_4E2A40,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E2D8C,['CreateFile'],,
