crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_1400405B0,['WriteFile'],sub_140078998,['FindNextFile'],sub_1400407E0,['ReadFile'],,
sub_14007C570,['expand 32-byte kexpand 16-byte'],sub_14005C260,['WriteFile'],,,sub_1400ADB00,['CreateFile'],,
sub_140083390,['RijnDael_AES_LONG'],sub_1400AE840,['DeleteFile'],,,sub_1400AE840,['CreateFile'],,
sub_140083670,['RijnDael_AES_LONG'],,,,,,,,
sub_1400AE840,"['crypt', 'Crypt']",,,,,,,,
sub_140083C10,"The function appears to perform operations similar to the SHA-256 hashing algorithm, involving bitwise operations, shifts, and rounds over input data. However, it converts input data to a modified output, indicating potential encryption or modification of data content.",,,,,,,,
sub_1400837E0,"The function exhibits bitwise operations and repeated XOR computations typical of block cipher algorithms, suggesting it may be implementing or supporting an encryption operation.",,,,,,,,
sub_14007CBA0,"This function performs operations resembling byte manipulation and substitutions typical in block cipher algorithms, such as those seen in AES (Advanced Encryption Standard).",,,,,,,,
sub_14007BEB0,"The function contains operations similar to those found in cryptographic algorithms, such as bit shifts and XOR operations, which are often used in encryption processes. This suggests potential encryption or modification of data content in memory.",,,,,,,,
sub_1400825C0,"The function appears to implement an algorithm closely resembling MD5, a non-encryption but a hash function, due to operations like bitwise operations and the use of constants typical in MD5. However, since hash functions are not considered encryption algorithms under the provided rules, this function would be part of a cryptographic hash and not an encryption function.",,,,,,,,
sub_14007C9C0,"Potential encryption or modification of data content read into memory. This function involves numerous bitwise operations, look-up tables, and data manipulations commonly found in encryption routines.",,,,,,,,
sub_140048600,"This function manipulates data using operations common in cryptographic transformations, such as bit shifts, multiplications, and the use of 128-bit data types, indicating a potential implementation of an encryption algorithm.",,,,,,,,
sub_14007C690,"This function involves a series of operations with bit manipulations and transformations on data, which are characteristic of cryptographic functions. Specifically, it includes byte swapping, bitwise operations, and repeated function calls on modified data, indicative of an encryption or data transformation routine.",,,,,,,,
sub_1400472D0,"The function appears to be manipulating data structures in ways that are consistent with encryption or data encoding. It performs bit shifts, modulo operations, and uses buffers, suggesting it could be part of an encryption process.",,,,,,,,
