crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_1400405B0,['WriteFile'],sub_140078998,['FindNextFile'],sub_1400407E0,['ReadFile'],,
sub_14007C570,['expand 32-byte kexpand 16-byte'],sub_14005C260,['WriteFile'],,,sub_1400ADB00,['CreateFile'],,
sub_140083390,['RijnDael_AES_LONG'],sub_1400AE840,['DeleteFile'],,,sub_1400AE840,['CreateFile'],,
sub_140083670,['RijnDael_AES_LONG'],,,,,,,,
sub_1400AE840,"['crypt', 'Crypt']",,,,,,,,
sub_140083C10,"This function appears to implement a cryptographic hash-based operation, resembling SHA-256, evidenced by the characteristic bitwise operations, shifts, and loop constructs typical of SHA-256 processing.",,,,,,,,
sub_1400837E0,"Function appears to perform block-based transformations on input data, potentially implementing a symmetric encryption algorithm or a complex data manipulation involving XOR operations and lookups into pre-defined tables.",,,,,,,,
sub_14007CBA0,"This function exhibits characteristics similar to the MixColumns operation in the AES encryption algorithm, involving bit manipulations and conditional logic on bytes from a given data structure.",,,,,,,,
sub_14007BEB0,"This function appears to implement a block-based encryption algorithm with operations resembling those in ChaCha20, involving multiple rounds of bitwise rotations and additions. It modifies data in blocks and is indicative of encryption-like operations.",,,,,,,,
sub_1400825C0,"The function contains operations that resemble components of the MD5 hash algorithm, such as bitwise rotations and manipulation of data blocks in a pattern that matches an MD5-like process. Although hash functions are not reversible and generally not considered encryption algorithms, this function seems to imply cryptographic data processing typically seen in hashing.",,,,,,,,
sub_14007C9C0,"This function appears to perform operations similar to those found in encryption algorithms, such as using lookup tables and bit manipulation, which are indicative of cryptographic transformations.",,,,,,,,
sub_140048600,Potential encryption or modification of data content read into memory using __m128i and various arithmetic operations.,,,,,,,,
sub_14007C690,"Potential encryption function based on content modification, bitwise operations, and repeated subroutines indicative of cryptographic transformations.",,,,,,,,
