crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
,,sub_402AAC,['WriteFile'],sub_402BCF,['PathFindFileName'],sub_402EB2,"['CreateFile', 'ReadFile']",,
,,sub_40B4F7,['WriteFile'],sub_409573,['PathFindFileName'],sub_402AAC,['CreateFile'],,
,,sub_402BFF,['WriteFile'],sub_406B89,['PathFindFileName'],sub_40B4F7,['CreateFile'],,
,,sub_409E34,['WriteFile'],sub_40F610,['PathFindFileName'],sub_402BFF,['CreateFile'],,
,,sub_40B6E7,['WriteFile'],sub_4136CA,['PathFindFileName'],sub_409E34,['CreateFile'],,
,,sub_402BCF,"['PathRemoveFileSpec', 'RemoveFile']",sub_41BC05,['PathFindFileName'],sub_40B6E7,['CreateFile'],,
,,sub_406B89,"['PathRemoveFileSpec', 'RemoveFile']",sub_41B0F9,['PathFindFileName'],sub_40EA46,['CreateFile'],,
,,sub_40F610,"['PathRemoveFileSpec', 'RemoveFile']",sub_41A83D,['SearchPath'],sub_401D3F,['ReadFile'],,
,,sub_40E7E5,['WriteFile'],sub_412FD3,['FindFirstFile'],sub_406F12,['OpenFile'],,
,,sub_41B0F9,"['PathRemoveFileSpec', 'RemoveFile']",sub_4135E7,['PathFindFileName'],sub_401A7C,['OpenFile'],,
,,sub_41AD20,"['PathRemoveFileSpec', 'RemoveFile']",sub_42BFB7,['SearchPath'],sub_416927,['OpenFile'],,
,,sub_4184D2,"['PathRemoveFileSpec', 'RemoveFile']",,,sub_41A8B7,['CreateFile'],,
,,sub_41EFC6,"['PathRemoveFileSpec', 'RemoveFile']",,,sub_424FA0,['CreateFile'],,
,,sub_41A8B7,"['SaveFile', 'PathRemoveFileSpec', 'RemoveFile']",,,,,,
,,sub_4135E7,"['PathRemoveFileSpec', 'RemoveFile']",,,,,,
,,sub_41078A,"['PathRemoveFileSpec', 'RemoveFile']",,,,,,
