crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_14779A800,['WriteFile'],sub_14003E1B4,['FindNextFile'],sub_14779AA50,['ReadFile'],,
sub_1495ED5F0,['expand 32-byte kexpand 16-byte'],sub_149BDBAB0,['WriteFile'],,,sub_14EFD4CC0,['CreateFile'],,
sub_14E5D7410,['RijnDael_AES_LONG'],sub_145A54A00,['DeleteFile'],,,sub_145A54A00,['CreateFile'],,
sub_14E5D76F0,['RijnDael_AES_LONG'],,,,,,,,
sub_145A54A00,"['crypt', 'Crypt']",,,,,,,,
sub_14E5D7C90,"The function appears to implement cryptographic operations, likely involving encryption or similar data transformations. There are indications of data manipulation patterns similar to cryptographic algorithms such as SHA-256 or other hash functions due to the use of multiple rotations (__ROR4__), XOR operations, and constant additions, which are common in block cipher or hash algorithm implementations.",,,,,,,,
sub_14E5D7860,"The function exhibits characteristics of an encryption algorithm. It involves XOR operations, byte-level manipulations, and byte-shifting patterns typical of block ciphers.",,,,,,,,
sub_1495EDC20,"Potential encryption-related function. The operations resemble characteristics of block cipher algorithms, such as bitwise manipulation, shifts, and conditional transformations similar to components of AES's MixColumns step.",,,,,,,,
sub_143F31F30,"This function appears to implement an encryption-like operation on data, likely involving rounds of bitwise operations, shifts, and mixing similar to what's seen in block cipher algorithms. The use of loops with index and key manipulation suggests the presence of a round-based cipher process.",,,,,,,,
sub_1495EDA40,"The function appears to perform a series of bitwise operations and table lookups which resemble cryptographic operations. The presence of XOR operations, shifts, and indices using arrays suggests it could be related to symmetric encryption methods like RC4 or TEA.",,,,,,,,
sub_1495ED710,"This function appears to perform operations consistent with transformation and permutation typical of cryptographic encryption. It involves bitwise manipulations, data swapping, and seems to be preparing or processing data blocks potentially as part of an encryption process.",,,,,,,,
