crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_14779A5B0,['WriteFile'],sub_147DCF998,['FindNextFile'],sub_14779A7E0,['ReadFile'],,
sub_14C45D570,['expand 32-byte kexpand 16-byte'],sub_149BDB260,['WriteFile'],,,sub_14BD8AB00,['CreateFile'],,
sub_143F31390,['RijnDael_AES_LONG'],sub_140CBB840,['DeleteFile'],,,sub_140CBB840,['CreateFile'],,
sub_143F31670,['RijnDael_AES_LONG'],,,,,,,,
sub_140CBB840,"['crypt', 'Crypt']",,,,,,,,
sub_143F31C10,"This function appears to implement operations similar to cryptographic hashing functions, specifically those found in encryption algorithms like SHA-256. It involves a series of bitwise operations, rotations, and additions typical in cryptographic processes.",,,,,,,,
sub_143F317E0,"This function appears to implement a block cipher-like operation, possibly involving rounds of transformations on the input data using XOR and byte-wise manipulations, indicative of encryption processing.",,,,,,,,
sub_14C45DBA0,"The function appears to perform operations similar to those found in encryption algorithms such as AES, including bitwise operations, shifts, and XOR with potential substitution steps. The use of constants like 0x1B is characteristic of AES and possibly indicates a finite field substitution or multiplication, which is common in block ciphers.",,,,,,,,
sub_14E7D5EB0,"The function appears to implement a cipher operation, involving bitwise operations, shifting, and XOR operations that resemble a block cipher structure like ChaCha. The function uses multiple rounds and processes blocks of data in a manner consistent with known encryption algorithms.",,,,,,,,
sub_14003E5C0,"This function appears to be implementing an MD5 hash algorithm. The constants and operations match the pattern used in the MD5 hashing process, including bitwise operations and additions with specific constants.",,,,,,,,
sub_14C45D9C0,"The function appears to perform operations typical of encryption or cryptographic modifications, notably involving byte shuffling, use of substitution tables, and XOR operations which are common in block ciphers.",,,,,,,,
sub_1415AF600,"The function appears to perform operations resembling a modified block cipher technique involving bit shifts and multiplications, indicative of complex data transformations, which are common in encryption algorithms.",,,,,,,,
sub_14C45D690,"The function appears to perform several bitwise operations and transformations on input data, which are characteristic of some encryption algorithms. The use of operations such as swapping bytes and XORing, combined with the handling of specific data sizes, suggests it could be related to a cryptographic process.",,,,,,,,
