crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_1400405B0,['WriteFile'],sub_140078998,['FindNextFile'],sub_1400407E0,['ReadFile'],,
sub_14007C570,['expand 32-byte kexpand 16-byte'],sub_14005C260,['WriteFile'],,,sub_1400ADB00,['CreateFile'],,
sub_140083390,['RijnDael_AES_LONG'],sub_1400AE840,['DeleteFile'],,,sub_1400AE840,['CreateFile'],,
sub_140083670,['RijnDael_AES_LONG'],,,,,,,,
sub_1400AE840,"['crypt', 'Crypt']",,,,,,,,
sub_140083C10,"This function appears to implement an encryption-like operation, possibly related to a block cipher or involving hash computation steps as it includes iterative processing and bitwise operations typically found in cryptographic routines.",,,,,,,,
sub_1400837E0,"This function appears to perform encryption-like transformations on data. It utilizes multiple XOR operations and byte manipulations, characteristic of certain block encryption algorithms, potentially involving round encryption structures similar to those found in AES.",,,,,,,,
sub_14007CBA0,"This function contains operations that resemble steps in AES encryption, such as byte manipulation and bitwise operations involving constants (e.g., 0x1B) likely used in substitution and mixing routines.",,,,,,,,
sub_14007BEB0,This function appears to implement a complex block-based transformation which includes bitwise operations such as shifts and XORs often seen in encryption algorithms. The structure resembles rounds of encryption often found in block ciphers.,,,,,,,,
sub_1400825C0,"Potentially performing complex bitwise operations, commonly seen in cryptographic algorithms.",,,,,,,,
sub_14007C9C0,"This function performs operations that resemble an encryption algorithm using bitwise transformations, lookup tables, and permutation steps typical of encryption/decryption logic.",,,,,,,,
sub_140048600,"The function involves complex mathematical operations with bit shifts and multiplications on input data, characteristic of an encryption or data transformation process. It appears to use precomputed tables similar to what might be seen in algorithms employing S-boxes or round constants.",,,,,,,,
sub_14007C690,"The function appears to perform operations characteristic of encryption algorithms, such as bitwise manipulations, shifts, and variable assignments to modify and process data based on specific conditions. This suggests potential use in cryptographic transformations or encryption-like operations.",,,,,,,,
sub_1400472D0,"This function exhibits characteristics of potential encryption processes, including bit manipulation, shifts, and transformations on data blocks. The presence of memory buffer manipulation and complex arithmetic operations suggest cryptographic-like behavior, typical in encryption or data transformation algorithms.",,,,,,,,
