crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_14779A5B0,['WriteFile'],sub_147DCF998,['FindNextFile'],sub_14779A7E0,['ReadFile'],,
sub_14C45D570,['expand 32-byte kexpand 16-byte'],sub_149BDB260,['WriteFile'],,,sub_14BD8AB00,['CreateFile'],,
sub_143F31390,['RijnDael_AES_LONG'],sub_140CBB840,['DeleteFile'],,,sub_140CBB840,['CreateFile'],,
sub_143F31670,['RijnDael_AES_LONG'],,,,,,,,
sub_140CBB840,"['crypt', 'Crypt']",,,,,,,,
sub_143F31C10,"This function appears to implement an encryption-like operation, possibly related to a block cipher or involving hash computation steps as it includes iterative processing and bitwise operations typically found in cryptographic routines.",,,,,,,,
sub_143F317E0,"This function appears to perform encryption-like transformations on data. It utilizes multiple XOR operations and byte manipulations, characteristic of certain block encryption algorithms, potentially involving round encryption structures similar to those found in AES.",,,,,,,,
sub_14C45DBA0,"This function contains operations that resemble steps in AES encryption, such as byte manipulation and bitwise operations involving constants (e.g., 0x1B) likely used in substitution and mixing routines.",,,,,,,,
sub_14E7D5EB0,This function appears to implement a complex block-based transformation which includes bitwise operations such as shifts and XORs often seen in encryption algorithms. The structure resembles rounds of encryption often found in block ciphers.,,,,,,,,
sub_14003E5C0,"Potentially performing complex bitwise operations, commonly seen in cryptographic algorithms.",,,,,,,,
sub_14C45D9C0,"This function performs operations that resemble an encryption algorithm using bitwise transformations, lookup tables, and permutation steps typical of encryption/decryption logic.",,,,,,,,
sub_1415AF600,"The function involves complex mathematical operations with bit shifts and multiplications on input data, characteristic of an encryption or data transformation process. It appears to use precomputed tables similar to what might be seen in algorithms employing S-boxes or round constants.",,,,,,,,
sub_14C45D690,"The function appears to perform operations characteristic of encryption algorithms, such as bitwise manipulations, shifts, and variable assignments to modify and process data based on specific conditions. This suggests potential use in cryptographic transformations or encryption-like operations.",,,,,,,,
sub_1433B42D0,"This function exhibits characteristics of potential encryption processes, including bit manipulation, shifts, and transformations on data blocks. The presence of memory buffer manipulation and complex arithmetic operations suggest cryptographic-like behavior, typical in encryption or data transformation algorithms.",,,,,,,,
