crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_14779A5B0,['WriteFile'],sub_147DCF998,['FindNextFile'],sub_14779A7E0,['ReadFile'],,
sub_14C45D570,['expand 32-byte kexpand 16-byte'],sub_149BDB260,['WriteFile'],,,sub_14BD8AB00,['CreateFile'],,
sub_143F31390,['RijnDael_AES_LONG'],sub_140CBB840,['DeleteFile'],,,sub_140CBB840,['CreateFile'],,
sub_143F31670,['RijnDael_AES_LONG'],,,,,,,,
sub_140CBB840,"['crypt', 'Crypt']",,,,,,,,
sub_143F31C10,"This function appears to implement a cryptographic transformation. The use of bitwise operations, shifts, and data transformations on multiple blocks suggests it could be part of an encryption algorithm akin to SHA or a block cipher.",,,,,,,,
sub_143F317E0,"The function appears to be performing a series of complex bitwise operations, XOR operations, and shifts that are characteristic of block cipher algorithms. The presence of multiple XORs combined with shifts, array indexing based on calculated offsets, and the apparent use of substitution tables (as indicated by the variable offsets into data based on byte values) suggests it could be implementing a form of encryption, possibly a block cipher.",,,,,,,,
sub_14C45DBA0,"This function appears to perform multiple bitwise operations, shifts, and XOR operations on inputs, resembling the MixColumn or similar transformation in AES encryption.",,,,,,,,
sub_14E7D5EB0,"This function appears to implement a variant of the ChaCha or Salsa20 stream cipher, characterized by multiple rounds of bitwise operations such as rotations and XOR on uint32_t variables. The loop structure and bitwise operations match typical structure of these encryption algorithms.",,,,,,,,
sub_14003E5C0,"The function resembles a cryptographic operation similar to the MD5 algorithm, based on the use of bitwise operations, addition, and rotate operations.",,,,,,,,
sub_14C45D9C0,"The function appears to include complex operations on data, including bitwise manipulations and lookups from predefined tables, which are indicative of cryptographic processes or encryption-like operations.",,,,,,,,
sub_1415AF600,"This function appears to be involved in data transformation or manipulation, potentially involving a form of encryption or complex content modification. The use of operations involving wide bit-shifting, arithmetic manipulations, and the use of SIMD instructions suggests possible cryptographic applications.",,,,,,,,
sub_14C45D690,"This function appears to perform transformations on the data, including byte swapping and XOR operations, which are common in encryption algorithms. The presence of a subfunction (sub_14C45DBA0) that acts as an additional transformation further suggests cryptographic behavior.",,,,,,,,
