crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
,,sub_4028E0,['WriteFile'],sub_404160,['PathFindFileName'],sub_4026C0,"['CreateFile', 'ReadFile']",,
,,sub_403560,['WriteFile'],sub_404320,['PathFindFileName'],sub_4028E0,['CreateFile'],,
,,sub_4037A0,['WriteFile'],sub_404450,['PathFindFileName'],sub_403560,['CreateFile'],,
,,sub_403A70,['WriteFile'],sub_404740,['PathFindFileName'],sub_4037A0,['CreateFile'],,
,,sub_403BC0,['WriteFile'],sub_410EB0,['PathFindFileName'],sub_403A70,['CreateFile'],,
,,sub_404160,"['PathRemoveFileSpec', 'RemoveFile']",sub_411BB0,['PathFindFileName'],sub_403BC0,['CreateFile'],,
,,sub_404450,"['PathRemoveFileSpec', 'RemoveFile']",sub_4154F0,['PathFindFileName'],sub_404070,['CreateFile'],,
,,sub_404740,"['PathRemoveFileSpec', 'RemoveFile']",sub_416640,['SearchPath'],sub_4061B0,['ReadFile'],,
,,sub_407770,['WriteFile'],sub_41E410,['FindFirstFile'],sub_40DC80,['OpenFile'],,
,,sub_4154F0,"['PathRemoveFileSpec', 'RemoveFile']",sub_41EDE0,['PathFindFileName'],sub_40F4F0,['OpenFile'],,
,,sub_415CA0,"['PathRemoveFileSpec', 'RemoveFile']",sub_4215E0,['SearchPath'],sub_4123D0,['OpenFile'],,
,,sub_415E90,"['PathRemoveFileSpec', 'RemoveFile']",,,sub_41BE90,['CreateFile'],,
,,sub_41A790,"['PathRemoveFileSpec', 'RemoveFile']",,,sub_4212C9,['CreateFile'],,
,,sub_41BE90,"['SaveFile', 'PathRemoveFileSpec', 'RemoveFile']",,,,,,
,,sub_41EDE0,"['PathRemoveFileSpec', 'RemoveFile']",,,,,,
,,sub_41FAF0,"['PathRemoveFileSpec', 'RemoveFile']",,,,,,
