crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
crypto_cipher__ptr_cbcEncrypter_BlockSize,"['crypt', 'Encrypt']",runtime_badsignal2,['WriteFile'],,,,,,
crypto_cipher_xorBytesSSE2,['crypt'],,,,,,,,
crypto_aes__ptr_aesCipher_BlockSize,['crypt'],,,,,,,,
crypto_aes__ptr_aesCipherAsm_BlockSize,['crypt'],,,,,,,,
crypto_aes_encryptBlockAsm,['crypt'],,,,,,,,
crypto_aes_expandKeyAsm,['crypt'],,,,,,,,
crypto_aes__ptr_aesCipherGCM_BlockSize,['crypt'],,,,,,,,
crypto_aes__ptr_aesCipherGCM_Encrypt,"['crypt', 'Encrypt']",,,,,,,,
crypto_sha256__ptr_digest_BlockSize,['crypt'],,,,,,,,
crypto_sha512__ptr_digest_BlockSize,['crypt'],,,,,,,,
crypto_sha512_blockAVX2,['crypt'],,,,,,,,
crypto_ed25519_internal_edwards25519_field_feMul,['crypt'],,,,,,,,
crypto_ed25519_internal_edwards25519_field_feSquare,['crypt'],,,,,,,,
crypto_md5__ptr_digest_BlockSize,['crypt'],,,,,,,,
crypto_md5_block,['crypt'],,,,,,,,
crypto_sha1__ptr_digest_BlockSize,['crypt'],,,,,,,,
crypto_sha1_blockAMD64,['crypt'],,,,,,,,
main_Encrypt,"['crypt', 'Encrypt']",,,,,,,,
