crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4010F0,['Crypt'],,,sub_40B670,"['FindFirstFile', 'FindNextFile']",,,sub_40FF70,['Snapshot']
sub_401160,['Crypt'],,,sub_40C100,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_4011D0,['Crypt'],,,sub_40CBC0,"['FindFirstFile', 'FindNextFile']",,,sub_45A7B0,['encrypted']
sub_4050D0,['Crypt'],,,sub_40D600,"['FindFirstFile', 'FindNextFile']",,,,
sub_405180,['Crypt'],,,sub_40E040,"['FindFirstFile', 'FindNextFile']",,,,
sub_405230,['Crypt'],,,sub_40E9E0,"['FindFirstFile', 'FindNextFile']",,,,
sub_405360,['Crypt'],,,sub_40F410,"['FindFirstFile', 'FindNextFile']",,,,
sub_4053E0,['Crypt'],,,sub_410330,"['FindFirstFile', 'FindNextFile']",,,,
sub_405460,['Crypt'],,,sub_410A50,"['FindFirstFile', 'FindNextFile']",,,,
sub_4054F0,['Crypt'],,,sub_4114D0,"['FindFirstFile', 'FindNextFile']",,,,
sub_4059C0,['Crypt'],,,,,,,,
sub_405A50,['Crypt'],,,,,,,,
sub_405B30,['Crypt'],,,,,,,,
sub_405BE0,['Crypt'],,,,,,,,
sub_405C80,['Crypt'],,,,,,,,
sub_405D10,['Crypt'],,,,,,,,
sub_405D70,['Crypt'],,,,,,,,
sub_405F20,['Crypt'],,,,,,,,
sub_405FB0,['Crypt'],,,,,,,,
sub_406150,['Crypt'],,,,,,,,
sub_406200,['Crypt'],,,,,,,,
sub_406260,['Crypt'],,,,,,,,
sub_4062F0,['Crypt'],,,,,,,,
sub_406340,['Crypt'],,,,,,,,
sub_4063C0,['Crypt'],,,,,,,,
sub_406480,['Crypt'],,,,,,,,
sub_406520,['Crypt'],,,,,,,,
sub_4065C0,['Crypt'],,,,,,,,
sub_406720,['Crypt'],,,,,,,,
sub_406980,['Crypt'],,,,,,,,
sub_406A40,['Crypt'],,,,,,,,
sub_406B30,['Crypt'],,,,,,,,
sub_406BA0,['Crypt'],,,,,,,,
sub_406C70,['Crypt'],,,,,,,,
sub_406E70,['Crypt'],,,,,,,,
sub_406EE0,['Crypt'],,,,,,,,
sub_406F80,['Crypt'],,,,,,,,
sub_407010,['Crypt'],,,,,,,,
sub_407080,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_407110,['Crypt'],,,,,,,,
sub_407220,['Crypt'],,,,,,,,
sub_4072D0,['Crypt'],,,,,,,,
sub_4074E0,['Crypt'],,,,,,,,
sub_407560,['Crypt'],,,,,,,,
sub_4075C0,['Crypt'],,,,,,,,
sub_407610,['Crypt'],,,,,,,,
sub_407680,['Crypt'],,,,,,,,
sub_407970,['Crypt'],,,,,,,,
sub_407A20,['Crypt'],,,,,,,,
sub_407AB0,['Crypt'],,,,,,,,
sub_407C40,['Crypt'],,,,,,,,
sub_407E50,['Crypt'],,,,,,,,
sub_4080A0,['Crypt'],,,,,,,,
sub_408A00,['Crypt'],,,,,,,,
sub_408B30,['Crypt'],,,,,,,,
sub_408B70,['Crypt'],,,,,,,,
sub_408BD0,['Crypt'],,,,,,,,
sub_408D50,['Crypt'],,,,,,,,
sub_408FA0,['Crypt'],,,,,,,,
sub_409010,['Crypt'],,,,,,,,
sub_409110,['Crypt'],,,,,,,,
sub_409E80,['Crypt'],,,,,,,,
sub_40A110,['Crypt'],,,,,,,,
sub_40A1D0,['Crypt'],,,,,,,,
sub_40A220,['Crypt'],,,,,,,,
sub_40A650,['Crypt'],,,,,,,,
sub_40A6C0,['Crypt'],,,,,,,,
sub_40A7A0,['Crypt'],,,,,,,,
sub_40AAB0,['Crypt'],,,,,,,,
sub_40B670,['crypt'],,,,,,,,
sub_410330,['crypt'],,,,,,,,
sub_410A50,['crypt'],,,,,,,,
sub_413430,['Crypt'],,,,,,,,
sub_414900,['Crypt'],,,,,,,,
sub_414A90,['Crypt'],,,,,,,,
sub_414AF0,['Crypt'],,,,,,,,
sub_414B60,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_4174C0,['Crypt'],,,,,,,,
sub_417630,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4177A0,['Crypt'],,,,,,,,
sub_4177C0,['Crypt'],,,,,,,,
sub_4180C0,['Crypt'],,,,,,,,
sub_4181B0,['Crypt'],,,,,,,,
sub_418270,['Crypt'],,,,,,,,
sub_418600,['Crypt'],,,,,,,,
sub_418660,['Crypt'],,,,,,,,
sub_418710,['Crypt'],,,,,,,,
sub_4187A0,['Crypt'],,,,,,,,
sub_4187D0,['Crypt'],,,,,,,,
sub_4188C0,['Crypt'],,,,,,,,
sub_4189B0,['Crypt'],,,,,,,,
sub_418AC0,['Crypt'],,,,,,,,
sub_418BD0,['Crypt'],,,,,,,,
sub_4190F0,['Crypt'],,,,,,,,
sub_41C640,['Crypt'],,,,,,,,
sub_41C980,['Crypt'],,,,,,,,
sub_41C9F0,['Crypt'],,,,,,,,
sub_41CA90,['Crypt'],,,,,,,,
sub_41CAC0,['Crypt'],,,,,,,,
sub_41CBC0,['Crypt'],,,,,,,,
sub_41D220,['Crypt'],,,,,,,,
sub_41E690,['Crypt'],,,,,,,,
sub_41E7A0,['Crypt'],,,,,,,,
sub_41E830,['Crypt'],,,,,,,,
sub_420FD0,['Crypt'],,,,,,,,
sub_422210,['Crypt'],,,,,,,,
sub_4223A0,['Crypt'],,,,,,,,
sub_4224C0,['Crypt'],,,,,,,,
sub_422600,['Crypt'],,,,,,,,
sub_4227B0,['Crypt'],,,,,,,,
sub_423EF0,['Crypt'],,,,,,,,
sub_4265F0,['Crypt'],,,,,,,,
sub_426740,['Crypt'],,,,,,,,
sub_426840,['Crypt'],,,,,,,,
sub_427330,['Crypt'],,,,,,,,
sub_427440,['Crypt'],,,,,,,,
sub_427550,['Crypt'],,,,,,,,
sub_432A00,['Crypt'],,,,,,,,
sub_432A90,['Crypt'],,,,,,,,
sub_432B70,['Crypt'],,,,,,,,
sub_432BF0,['Crypt'],,,,,,,,
sub_432C40,['Crypt'],,,,,,,,
sub_432CF0,['Crypt'],,,,,,,,
sub_432F90,['Crypt'],,,,,,,,
sub_433390,['Crypt'],,,,,,,,
sub_4336A0,['Crypt'],,,,,,,,
sub_433790,['Crypt'],,,,,,,,
sub_4339C0,['Crypt'],,,,,,,,
sub_433BB0,['Crypt'],,,,,,,,
sub_433D80,['Crypt'],,,,,,,,
sub_434090,['Crypt'],,,,,,,,
sub_4346F0,['Crypt'],,,,,,,,
sub_434780,['Crypt'],,,,,,,,
