crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4088A0,['crypt'],sub_40D110,['WriteFile'],,,sub_406DB0,['CreateFile'],,
WinMain,"['crypt', 'Encrypt']",sub_4269A0,['WriteFile'],,,sub_40D300,['ReadFile'],,
sub_4486A0,['expand 32-byte kexpand 16-byte'],,,,,,,,
sub_448CD0,['RijnDael_AES_LONG'],,,,,,,,
sub_44D970,['RijnDael_AES_LONG'],,,,,,,,
sub_44DC00,['RijnDael_AES_LONG'],,,,,,,,
sub_474079,['advapi32.dll'],,,,,,,,
sub_44E110,"The function sub_44E110 involves operations that can be indicative of cryptographic processing, potentially making it part of an encryption algorithm. It performs multiple rounds of bit manipulation including rotations, XOR operations, and updates to its input variables. Such operations are commonly found in block cipher implementations, where data is processed iteratively using cryptographic transformations to achieve encryption.",,,,,,,,
sub_44DD50,"The function 'sub_44DD50' performs bitwise operations and utilizes lookup tables, which are common characteristics of block cipher encryption algorithms. It processes data blocks and applies transformations based on the contents of memory locations, possibly using key data, indicating a potential encryption process.",,,,,,,,
sub_4489C0,"This function performs a sequence of bitwise XOR operations, likely trying to obfuscate or encrypt given data, often found in simple encryption or cryptography-related operations.",,,,,,,,
sub_44CE30,"The function appears to be a complex series of bitwise operations, rotations, and additions on data which is suggestive of a cryptographic function. The presence of operations similar to those used in hashing algorithms could indicate encryption-like behavior consistent with block cipher operations such as AES or MD5-like transformations.",,,,,,,,
sub_448AB0,"The function appears to involve operations consistent with block cipher algorithms, using a sequence of XOR operations, bit shifts, and lookup tables, suggesting potential encryption or decryption processes.",,,,,,,,
sub_4049E0,"The function performs several operations indicative of block cipher operations, containing memory manipulations characteristic of encryption algorithms. It includes operations like byte swapping, possible key expansions or transformations, and data blocks shifting and handling that are common in cryptographic routines.",,,,,,,,
sub_448150,"This function appears to implement an encryption algorithm, potentially a variant or inspired by algorithms such as chacha. The use of multiple rounds of operations involving bit-wise rotations, shifts, and XOR operations are characteristic of symmetric encryption routines.",,,,,,,,
