crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41D3D0,['crypt'],sub_4024C9,['WriteFile'],,,sub_401A13,['CreateFile'],,
sub_41D600,['crypt'],sub_404498,['WriteFile'],,,sub_4026D6,['CreateFile'],,
sub_41D680,['crypt'],sub_40589A,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41D740,['crypt'],sub_420CD0,['WriteFile'],,,sub_40589A,['CreateFile'],,
sub_41D890,['crypt'],,,,,,,,
sub_41D930,['crypt'],,,,,,,,
sub_41D9C0,['crypt'],,,,,,,,
sub_41DAC0,['crypt'],,,,,,,,
sub_41DDC0,['crypt'],,,,,,,,
sub_41DE60,['crypt'],,,,,,,,
sub_41E170,['crypt'],,,,,,,,
sub_41E240,['crypt'],,,,,,,,
sub_41E2C0,['crypt'],,,,,,,,
sub_420050,['crypt'],,,,,,,,
sub_420190,['crypt'],,,,,,,,
sub_420360,['crypt'],,,,,,,,
sub_4204B0,['crypt'],,,,,,,,
sub_420590,['crypt'],,,,,,,,
sub_4206F0,['crypt'],,,,,,,,
sub_420770,['crypt'],,,,,,,,
sub_4209F0,['crypt'],,,,,,,,
sub_420B30,['crypt'],,,,,,,,
sub_421030,['crypt'],,,,,,,,
sub_4210E0,['crypt'],,,,,,,,
sub_41E3D0,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41BF20,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41D000,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41F920,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41A25B,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
