crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_14779A7A0,['WriteFile'],sub_1420FBBD4,['FindNextFile'],sub_14779A9F0,['ReadFile'],,
sub_1495ED010,['expand 32-byte kexpand 16-byte'],sub_149BDB3E0,['WriteFile'],,,sub_14EFD46E0,['CreateFile'],,
sub_145EA3E30,['RijnDael_AES_LONG'],sub_145A54420,['DeleteFile'],,,sub_145A54420,['CreateFile'],,
sub_14E5D7110,['RijnDael_AES_LONG'],,,,,,,,
sub_145A54420,"['crypt', 'Crypt']",,,,,,,,
sub_14E5D76B0,"This function appears to perform operations similar to cryptographic processes, such as bitwise manipulations and rotations, commonly observed in encryption algorithms like SHA-256. The use of iterative transformations, mixing, and hashing of input data are indicative of encryption or cryptographic operations, albeit resembling hash functions.",,,,,,,,
sub_14E5D7280,"The function performs bitwise operations and data transformation consistent with cryptographic techniques, potentially resembling block cipher operations using lookup tables and substitution. This might indicate some form of encryption algorithm.",,,,,,,,
sub_1495ED640,"This function appears to be implementing a variant of a substitution-permutation network typically found in block ciphers, as evidenced by the operations resembling shift, XOR, and bit manipulation, which are characteristic of encryption routines such as those found in AES or similar algorithms.",,,,,,,,
sub_143F31950,"The function appears to implement a cryptographic operation, potentially an encryption or decryption algorithm, involving multiple rounds of operations on data blocks, which resembles characteristics of algorithms like ChaCha or Salsa.",,,,,,,,
sub_1495ED460,"This function appears to perform complex bitwise operations and transformations on input data, possibly using substitution tables (S-boxes) which are common in encryption algorithms. The operations and structure suggest it may be an encryption function or part of an encryption process.",,,,,,,,
sub_1415AF5F0,"This function performs complex arithmetic operations on data potentially resembling those used in certain encryption algorithms. It involves shifts, multiplications, bit manipulation, and conditional assignments with data stored in memory.",,,,,,,,
sub_1495ED130,"The function appears to perform encryption-like operations including byte swapping and bitwise operations on input data, potentially part of a block cipher or data obfuscation process.",,,,,,,,
