crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401940,"['crypt', 'Crypt']",sub_401A20,['WriteFile'],sub_401BB0,"['FindFirstFile', 'FindNextFile']",sub_4022F0,['ReadFile'],sub_4025B0,['Snapshot']
sub_403060,"['crypt', 'Encrypt']",sub_4022F0,['WriteFile'],sub_403060,['PathFindFileName'],sub_403060,['CreateFile'],sub_403060,['encrypted']
sub_403180,"['crypt', 'Encrypt']",sub_403060,['WriteFile'],sub_4046B0,['PathFindFileName'],sub_403180,['CreateFile'],sub_403180,['encrypted']
sub_4043B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",sub_403180,['WriteFile'],sub_404E60,"['FindFirstFile', 'FindNextFile']",sub_4032F0,['CreateFile'],sub_404500,['Snapshot']
sub_40AE60,"['CryptGenRandom', 'Crypt', 'CryptReleaseContext', 'CryptAcquireContext']",sub_4032F0,['WriteFile'],,,sub_418060,['CreateFile'],,
sub_40B000,Potential encryption or cryptographic hash function involving data content and multiple bitwise operations.,sub_404E60,"['MoveFile', 'DeleteFile']",,,,,,
sub_409990,"The function appears to perform complex bitwise operations and data manipulation consistent with cryptographic algorithms, potentially similar to hash functions or block ciphers.",sub_4050D0,['MoveFile'],,,,,,
sub_40CDE0,Potential encryption or modification of data content read into memory. The function involves multiple bitwise operations on data arrays and matches the general characteristics of a cryptographic function.,sub_415F50,['WriteFile'],,,,,,
sub_4060E0,Potential encryption or modification of data content using values and operations that suggest structured transformation consistent with encryption algorithms.,sub_416219,['WriteFile'],,,,,,
sub_406620,Potential encryption or modification of data content read into memory. The function involves XOR operations and uses lookup tables for modification.,,,,,,,,
sub_40E6B0,Potential encryption function involving various bitwise operations and rotations.,,,,,,,,
sub_405EC0,"This function appears to be setting up tables and constants used in AES encryption, including S-box initialization and lookup tables common in block cipher algorithms.",,,,,,,,
sub_412B00,This function appears to implement AES encryption operations using Intel's AES-NI instruction set.,,,,,,,,
sub_412EF0,This function appears to be performing AES encryption based on the usage of AES instructions such as aesenc and aesenclast.,,,,,,,,
