crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
WinMain,"['crypt', 'Encrypt']",sub_1400405B0,['WriteFile'],sub_140078998,['FindNextFile'],sub_1400407E0,['ReadFile'],,
sub_14007C570,['expand 32-byte kexpand 16-byte'],sub_14005C260,['WriteFile'],,,sub_1400ADB00,['CreateFile'],,
sub_140083390,['RijnDael_AES_LONG'],sub_1400AE840,['DeleteFile'],,,sub_1400AE840,['CreateFile'],,
sub_140083670,['RijnDael_AES_LONG'],,,,,,,,
sub_1400AE840,"['crypt', 'Crypt']",,,,,,,,
sub_140083C10,"This function appears to implement operations similar to cryptographic hashing functions, specifically those found in encryption algorithms like SHA-256. It involves a series of bitwise operations, rotations, and additions typical in cryptographic processes.",,,,,,,,
sub_1400837E0,"This function appears to implement a block cipher-like operation, possibly involving rounds of transformations on the input data using XOR and byte-wise manipulations, indicative of encryption processing.",,,,,,,,
sub_14007CBA0,"The function appears to perform operations similar to those found in encryption algorithms such as AES, including bitwise operations, shifts, and XOR with potential substitution steps. The use of constants like 0x1B is characteristic of AES and possibly indicates a finite field substitution or multiplication, which is common in block ciphers.",,,,,,,,
sub_14007BEB0,"The function appears to implement a cipher operation, involving bitwise operations, shifting, and XOR operations that resemble a block cipher structure like ChaCha. The function uses multiple rounds and processes blocks of data in a manner consistent with known encryption algorithms.",,,,,,,,
sub_1400825C0,"This function appears to be implementing an MD5 hash algorithm. The constants and operations match the pattern used in the MD5 hashing process, including bitwise operations and additions with specific constants.",,,,,,,,
sub_14007C9C0,"The function appears to perform operations typical of encryption or cryptographic modifications, notably involving byte shuffling, use of substitution tables, and XOR operations which are common in block ciphers.",,,,,,,,
sub_140048600,"The function appears to perform operations resembling a modified block cipher technique involving bit shifts and multiplications, indicative of complex data transformations, which are common in encryption algorithms.",,,,,,,,
sub_14007C690,"The function appears to perform several bitwise operations and transformations on input data, which are characteristic of some encryption algorithms. The use of operations such as swapping bytes and XORing, combined with the handling of specific data sizes, suggests it could be related to a cryptographic process.",,,,,,,,
