crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_14001B2F0,['crypt'],main,['WriteFile'],sub_140002180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_14001B470,['crypt'],sub_140023670,['WriteFile'],sub_140002690,"['FindFirstFile', 'FindNextFile']",sub_1400197FC,['CreateFile'],,
sub_14001B550,['crypt'],,,sub_140002BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_14001B690,['crypt'],,,,,,,,
sub_14001B7A0,['crypt'],,,,,,,,
sub_14001BB00,['crypt'],,,,,,,,
sub_14001BCD0,['crypt'],,,,,,,,
sub_14001BF20,['crypt'],,,,,,,,
sub_14001C080,['crypt'],,,,,,,,
sub_14001C390,['crypt'],,,,,,,,
sub_14001C600,['crypt'],,,,,,,,
sub_14001C6D0,['crypt'],,,,,,,,
sub_14001C920,['crypt'],,,,,,,,
sub_14001C980,['crypt'],,,,,,,,
sub_14001CA70,['crypt'],,,,,,,,
sub_14001CC10,['crypt'],,,,,,,,
sub_14001CFD0,['crypt'],,,,,,,,
sub_14001D0A0,['crypt'],,,,,,,,
sub_14001D140,['crypt'],,,,,,,,
sub_14001D290,['crypt'],,,,,,,,
sub_14001D460,['crypt'],,,,,,,,
sub_14001D530,['crypt'],,,,,,,,
sub_14001D7D0,['crypt'],,,,,,,,
sub_14001E0C0,['crypt'],,,,,,,,
sub_14001EA10,['crypt'],,,,,,,,
sub_14001EB00,['crypt'],,,,,,,,
sub_14001EC20,['crypt'],,,,,,,,
sub_14001ED40,['crypt'],,,,,,,,
sub_140020440,['crypt'],,,,,,,,
sub_140020560,['crypt'],,,,,,,,
sub_1400208E0,['crypt'],,,,,,,,
sub_140020A70,['crypt'],,,,,,,,
sub_140020BF0,['crypt'],,,,,,,,
sub_140020C80,['crypt'],,,,,,,,
sub_140020E90,['crypt'],,,,,,,,
sub_140020FE0,['crypt'],,,,,,,,
sub_140021070,['crypt'],,,,,,,,
sub_1400211C0,['crypt'],,,,,,,,
sub_140021240,['crypt'],,,,,,,,
sub_1400212D0,['crypt'],,,,,,,,
sub_140021350,['crypt'],,,,,,,,
sub_140021650,['crypt'],,,,,,,,
sub_140021A60,['crypt'],,,,,,,,
sub_140021AB0,['crypt'],,,,,,,,
sub_140021B10,['crypt'],,,,,,,,
sub_140021BE0,['crypt'],,,,,,,,
sub_140021D20,['crypt'],,,,,,,,
sub_140021D80,['crypt'],,,,,,,,
sub_140021DD0,['crypt'],,,,,,,,
sub_140021E30,['crypt'],,,,,,,,
sub_140022010,['crypt'],,,,,,,,
sub_140022090,['crypt'],,,,,,,,
sub_1400220E0,['crypt'],,,,,,,,
sub_140022150,['crypt'],,,,,,,,
sub_1400221E0,['crypt'],,,,,,,,
sub_140022300,['crypt'],,,,,,,,
sub_140022380,['crypt'],,,,,,,,
sub_140022400,['crypt'],,,,,,,,
sub_140022480,['crypt'],,,,,,,,
sub_140022500,['crypt'],,,,,,,,
sub_140022580,['crypt'],,,,,,,,
sub_140022670,['crypt'],,,,,,,,
sub_140022770,['crypt'],,,,,,,,
sub_1400227F0,['crypt'],,,,,,,,
sub_1400228F0,['crypt'],,,,,,,,
sub_1400229F0,['crypt'],,,,,,,,
sub_140022A70,['crypt'],,,,,,,,
sub_140022CC0,['crypt'],,,,,,,,
sub_140023A70,['crypt'],,,,,,,,
sub_140024E00,['crypt'],,,,,,,,
sub_140024F50,['crypt'],,,,,,,,
sub_1400253D0,['crypt'],,,,,,,,
sub_140025700,['crypt'],,,,,,,,
sub_140025890,['crypt'],,,,,,,,
sub_140025980,['crypt'],,,,,,,,
sub_140025A60,['crypt'],,,,,,,,
sub_140025C50,['crypt'],,,,,,,,
sub_140025CE0,['crypt'],,,,,,,,
sub_140025D20,['crypt'],,,,,,,,
sub_140025D70,['crypt'],,,,,,,,
sub_1400261E0,['crypt'],,,,,,,,
sub_140026350,['crypt'],,,,,,,,
sub_140026520,['crypt'],,,,,,,,
sub_1400266E0,['crypt'],,,,,,,,
sub_1400267B0,['crypt'],,,,,,,,
sub_140026840,['crypt'],,,,,,,,
sub_140027200,['crypt'],,,,,,,,
sub_1400273B0,['crypt'],,,,,,,,
sub_1400279B0,['crypt'],,,,,,,,
sub_140027C40,['crypt'],,,,,,,,
sub_140027CD0,['crypt'],,,,,,,,
sub_140027D40,['crypt'],,,,,,,,
sub_140028040,['crypt'],,,,,,,,
sub_140028330,['crypt'],,,,,,,,
sub_140028500,['crypt'],,,,,,,,
sub_140028760,['crypt'],,,,,,,,
sub_1400288D0,['crypt'],,,,,,,,
sub_140028D30,['crypt'],,,,,,,,
sub_140028EA0,['crypt'],,,,,,,,
sub_140028F50,['crypt'],,,,,,,,
sub_140029000,['crypt'],,,,,,,,
sub_1400290B0,['crypt'],,,,,,,,
sub_1400291E0,['crypt'],,,,,,,,
sub_140029500,['crypt'],,,,,,,,
sub_140029970,['crypt'],,,,,,,,
sub_140029A90,['crypt'],,,,,,,,
sub_140029D60,['crypt'],,,,,,,,
sub_140029E80,['crypt'],,,,,,,,
sub_140029FE0,['crypt'],,,,,,,,
sub_14002A1A0,['crypt'],,,,,,,,
sub_14002A2C0,['crypt'],,,,,,,,
sub_14002A430,['crypt'],,,,,,,,
sub_14002AE50,['crypt'],,,,,,,,
sub_14002BAC0,['crypt'],,,,,,,,
sub_14002BDE0,['crypt'],,,,,,,,
sub_14002C030,['crypt'],,,,,,,,
sub_14002C0F0,['crypt'],,,,,,,,
sub_14002C1A0,['crypt'],,,,,,,,
sub_14002D070,['crypt'],,,,,,,,
sub_14002D450,['crypt'],,,,,,,,
sub_14002DA80,['crypt'],,,,,,,,
sub_14002EEA0,['crypt'],,,,,,,,
sub_14002F1E0,['crypt'],,,,,,,,
sub_14002F380,['crypt'],,,,,,,,
sub_14002F490,['crypt'],,,,,,,,
sub_14002F9E0,['crypt'],,,,,,,,
sub_1400304D0,['crypt'],,,,,,,,
sub_140030850,['crypt'],,,,,,,,
sub_140030930,['crypt'],,,,,,,,
sub_140030C70,['crypt'],,,,,,,,
sub_140031040,['Crypt'],,,,,,,,
sub_140031920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140031B70,['Crypt'],,,,,,,,
sub_140031ED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_1400325E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_1400326B0,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1400328C0,"['CryptExportKey', 'Crypt']",,,,,,,,
sub_140032F20,['Crypt'],,,,,,,,
sub_140033120,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_140033520,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_1400338A0,['Crypt'],,,,,,,,
sub_140033BF0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_140033F70,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_140034000,"['crypt', 'Crypt']",,,,,,,,
sub_1400342D0,['Crypt'],,,,,,,,
sub_140034A80,['crypt'],,,,,,,,
sub_140034BB0,['crypt'],,,,,,,,
sub_140034C10,['crypt'],,,,,,,,
sub_140035050,['crypt'],,,,,,,,
sub_1400350D0,['crypt'],,,,,,,,
sub_140035180,['crypt'],,,,,,,,
sub_1400352F0,['crypt'],,,,,,,,
sub_140035410,['crypt'],,,,,,,,
sub_140035540,['crypt'],,,,,,,,
sub_1400355E0,['crypt'],,,,,,,,
sub_140035710,['crypt'],,,,,,,,
sub_1400357A0,['crypt'],,,,,,,,
sub_140035FD0,['crypt'],,,,,,,,
sub_140036EA0,['crypt'],,,,,,,,
sub_140036F30,['crypt'],,,,,,,,
sub_1400374B0,['crypt'],,,,,,,,
sub_1400378F0,['crypt'],,,,,,,,
sub_140037B30,['crypt'],,,,,,,,
sub_140037C90,['crypt'],,,,,,,,
sub_140037E00,['crypt'],,,,,,,,
sub_140038290,['crypt'],,,,,,,,
sub_1400384B0,['crypt'],,,,,,,,
sub_140038570,['crypt'],,,,,,,,
sub_140038640,['crypt'],,,,,,,,
sub_140038740,['crypt'],,,,,,,,
sub_140038980,['crypt'],,,,,,,,
sub_140038C20,['crypt'],,,,,,,,
sub_140038D80,['crypt'],,,,,,,,
sub_140038E50,['crypt'],,,,,,,,
sub_1400392B0,['crypt'],,,,,,,,
sub_140039710,['crypt'],,,,,,,,
sub_140039AE0,['crypt'],,,,,,,,
sub_14003A260,['crypt'],,,,,,,,
sub_14003A4D0,['crypt'],,,,,,,,
sub_14003A690,['crypt'],,,,,,,,
sub_14003A980,['crypt'],,,,,,,,
sub_14003AB10,['crypt'],,,,,,,,
sub_14003AB70,['crypt'],,,,,,,,
sub_14003ACA0,['crypt'],,,,,,,,
sub_14003AE40,['crypt'],,,,,,,,
sub_14003AEC0,['crypt'],,,,,,,,
sub_14003B140,['crypt'],,,,,,,,
sub_14003B3C0,['crypt'],,,,,,,,
sub_14003B430,['crypt'],,,,,,,,
sub_14003BAB0,['crypt'],,,,,,,,
sub_14003BC70,['crypt'],,,,,,,,
sub_14003BE60,['crypt'],,,,,,,,
