crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404810,['crypt'],sub_409348,['WriteFile'],,,sub_40D896,['CreateFile'],,
WinMain,"['crypt', 'Encrypt']",sub_42E0CA,['WriteFile'],,,sub_40C848,['ReadFile'],,
sub_446AC5,['expand 32-byte kexpand 16-byte'],,,,,,,,
sub_44DE61,['RijnDael_AES_LONG'],,,,,,,,
sub_443654,['RijnDael_AES_LONG'],,,,,,,,
sub_44F22F,['RijnDael_AES_LONG'],,,,,,,,
sub_4711D6,['advapi32.dll'],,,,,,,,
sub_442AF2,"The function sub_442AF2 involves operations that can be indicative of cryptographic processing, potentially making it part of an encryption algorithm. It performs multiple rounds of bit manipulation including rotations, XOR operations, and updates to its input variables. Such operations are commonly found in block cipher implementations, where data is processed iteratively using cryptographic transformations to achieve encryption.",,,,,,,,
sub_44A49E,"The function 'sub_44A49E' performs bitwise operations and utilizes lookup tables, which are common characteristics of block cipher encryption algorithms. It processes data blocks and applies transformations based on the contents of memory locations, possibly using key data, indicating a potential encryption process.",,,,,,,,
sub_44EB52,"This function performs a sequence of bitwise XOR operations, likely trying to obfuscate or encrypt given data, often found in simple encryption or cryptography-related operations.",,,,,,,,
sub_44B3F1,"The function appears to be a complex series of bitwise operations, rotations, and additions on data which is suggestive of a cryptographic function. The presence of operations similar to those used in hashing algorithms could indicate encryption-like behavior consistent with block cipher operations such as AES or MD5-like transformations.",,,,,,,,
sub_44D86F,"The function appears to involve operations consistent with block cipher algorithms, using a sequence of XOR operations, bit shifts, and lookup tables, suggesting potential encryption or decryption processes.",,,,,,,,
sub_403501,"The function performs several operations indicative of block cipher operations, containing memory manipulations characteristic of encryption algorithms. It includes operations like byte swapping, possible key expansions or transformations, and data blocks shifting and handling that are common in cryptographic routines.",,,,,,,,
sub_4442F2,"This function appears to implement an encryption algorithm, potentially a variant or inspired by algorithms such as chacha. The use of multiple rounds of operations involving bit-wise rotations, shifts, and XOR operations are characteristic of symmetric encryption routines.",,,,,,,,
