crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
start,"['crypt', 'Encrypt']",sub_403E57,['WriteFile'],sub_40FF42,"['FindFirstFile', 'FindNextFile']",sub_403E57,['CreateFile'],,
sub_40ECA4,"['crypt', 'crypt32.dll', 'Crypt', 'CryptStringToBinary']",sub_40E958,"['MoveFile', 'WriteFile']",,,sub_40E958,"['CreateFile', 'ReadFile']",,
sub_40E958,"['CryptGenRandom', 'crypt', 'Crypt', 'bcrypt.dll']",sub_40FF42,['WriteFile'],,,sub_40FF42,['CreateFile'],,
sub_40FF42,"['crypt', 'Encrypt']",,,,,,,,
sub_4042CB,Potential encryption or modification of data content read into memory. Includes bit-shifting and logical operations which are characteristic of encryption algorithms.,,,,,,,,
sub_404FB7,"The function 'sub_404FB7' appears to implement a symmetric encryption or pseudorandom transformation, as it involves multiple bitwise rotations and XOR operations applied to its input data.",,,,,,,,
sub_4080AF,"The function involves bitwise rotations and XOR operations that modify the content read into memory, indicative of a potential encryption or data scrambling algorithm.",,,,,,,,
sub_4046F6,"Potential encryption or modification of data content in memory, possibly using a block cipher or XOR-based stream cipher given the use of look-up and bitwise operations.",,,,,,,,
sub_402EC0,Potential encryption or modification of data content using a series of transformations that resembles a block cipher operation.,,,,,,,,
sub_40429F,Potential encryption function with bitwise operations and data processing.,,,,,,,,
sub_40F087,"Potential encryption or modification of data content read into memory, involving bitwise operations and vectorized processing.",,,,,,,,
sub_4090E2,"Potential encryption or modification of data content read into memory. The function incorporates bitwise operations, shifts, and complex logic suggesting content modification typically found in encryption algorithms.",,,,,,,,
