crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40B27A,['Crypt'],sub_408FB3,['WriteFile'],sub_40D1E2,"['FindFirstFile', 'FindNextFile']",sub_408204,['CreateFile'],sub_40DD6B,['Snapshot']
sub_401DA2,['Crypt'],,,,,sub_407E29,['CreateFile'],,
sub_40432B,['Crypt'],,,,,sub_406CE9,['ReadFile'],,
sub_406D0C,['Crypt'],,,,,,,,
sub_40445A,['Crypt'],,,,,,,,
sub_401ACB,['Crypt'],,,,,,,,
sub_40D137,['Crypt'],,,,,,,,
sub_4041DC,['Crypt'],,,,,,,,
sub_40ED97,['Crypt'],,,,,,,,
sub_404CE3,['Crypt'],,,,,,,,
sub_4049EA,['Crypt'],,,,,,,,
sub_4004C6,['Crypt'],,,,,,,,
sub_40A52A,['Crypt'],,,,,,,,
sub_40D1F6,['Crypt'],,,,,,,,
sub_40F10B,['Crypt'],,,,,,,,
sub_408424,['Crypt'],,,,,,,,
sub_401767,['Crypt'],,,,,,,,
sub_400244,['Crypt'],,,,,,,,
sub_401A19,['Crypt'],,,,,,,,
sub_402B98,['Crypt'],,,,,,,,
sub_40A914,['Crypt'],,,,,,,,
sub_40E5D8,['Crypt'],,,,,,,,
sub_40B218,['Crypt'],,,,,,,,
sub_403B31,['Crypt'],,,,,,,,
sub_40068D,['Crypt'],,,,,,,,
sub_406410,['Crypt'],,,,,,,,
sub_40A8CB,['Crypt'],,,,,,,,
sub_40F353,['Crypt'],,,,,,,,
sub_40D321,['Crypt'],,,,,,,,
sub_408210,['Crypt'],,,,,,,,
sub_402395,['Crypt'],,,,,,,,
sub_400CF1,['Crypt'],,,,,,,,
sub_400D29,['Crypt'],,,,,,,,
sub_4028D9,['Crypt'],,,,,,,,
sub_401D08,['Crypt'],,,,,,,,
sub_404160,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40A080,['Crypt'],,,,,,,,
sub_400A0A,['Crypt'],,,,,,,,
sub_407FF4,['Crypt'],,,,,,,,
sub_40061A,['Crypt'],,,,,,,,
sub_4014F1,['Crypt'],,,,,,,,
sub_40FA31,['Crypt'],,,,,,,,
sub_40EF1C,['Crypt'],,,,,,,,
sub_4088C6,['Crypt'],,,,,,,,
sub_402645,['Crypt'],,,,,,,,
sub_4055A3,['Crypt'],,,,,,,,
sub_406687,['Crypt'],,,,,,,,
sub_40D438,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40CC24,['Crypt'],,,,,,,,
sub_406987,['Crypt'],,,,,,,,
sub_4010C4,['Crypt'],,,,,,,,
sub_40CBCF,['Crypt'],,,,,,,,
sub_400E9E,['Crypt'],,,,,,,,
sub_400010,['Crypt'],,,,,,,,
sub_406BF9,['Crypt'],,,,,,,,
sub_406F23,['Crypt'],,,,,,,,
sub_400473,['Crypt'],,,,,,,,
sub_406D60,['Crypt'],,,,,,,,
sub_404CC7,['Crypt'],,,,,,,,
sub_40E40E,['Crypt'],,,,,,,,
sub_40F9D6,['Crypt'],,,,,,,,
sub_402A99,['Crypt'],,,,,,,,
sub_409E43,['Crypt'],,,,,,,,
sub_40498B,['Crypt'],,,,,,,,
sub_40C0DD,['Crypt'],,,,,,,,
sub_40E38B,['Crypt'],,,,,,,,
sub_401E46,['Crypt'],,,,,,,,
sub_403625,['Crypt'],,,,,,,,
sub_40D2E8,['Crypt'],,,,,,,,
sub_407152,['Crypt'],,,,,,,,
sub_408F82,['Crypt'],,,,,,,,
sub_407932,['Crypt'],,,,,,,,
sub_40B00E,['Crypt'],,,,,,,,
sub_40E087,['Crypt'],,,,,,,,
sub_405496,['Crypt'],,,,,,,,
sub_4017F9,['Crypt'],,,,,,,,
sub_40CF30,['Crypt'],,,,,,,,
sub_40942B,['Crypt'],,,,,,,,
sub_40D258,['Crypt'],,,,,,,,
sub_4083C4,['Crypt'],,,,,,,,
sub_407B6A,['Crypt'],,,,,,,,
sub_40D022,['Crypt'],,,,,,,,
sub_40FCA6,['Crypt'],,,,,,,,
sub_401197,['Crypt'],,,,,,,,
sub_40E4A0,['Crypt'],,,,,,,,
sub_4023F8,"['crypt', 'Crypt']",,,,,,,,
sub_40C8ED,['Crypt'],,,,,,,,
sub_40613A,['Crypt'],,,,,,,,
sub_408B94,['Crypt'],,,,,,,,
sub_40063A,['Crypt'],,,,,,,,
sub_40893C,['Crypt'],,,,,,,,
sub_404930,['Crypt'],,,,,,,,
sub_401DA2,['Crypt'],,,,,,,,
