crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_405F56,['crypt'],sub_41A1E9,['WriteFile'],sub_407DAF,"['FindFirstFile', 'FindNextFile']",,,sub_405F56,['encrypted']
sub_403279,['crypt'],,,,,,,sub_4C2650,['Snapshot']
sub_4045AA,['crypt'],,,,,,,,
sub_40FE2F,['crypt'],,,,,,,,
sub_4058A0,['crypt'],,,,,,,,
sub_4026CB,['crypt'],,,,,,,,
sub_4018E0,['crypt'],,,,,,,,
sub_40FC6E,['crypt'],,,,,,,,
sub_40AD27,['crypt'],,,,,,,,
sub_40F4BC,['crypt'],,,,,,,,
sub_406A86,['crypt'],,,,,,,,
sub_40729B,['crypt'],,,,,,,,
sub_40F6B8,['crypt'],,,,,,,,
sub_408E06,['crypt'],,,,,,,,
sub_403A43,['crypt'],,,,,,,,
sub_400E88,['crypt'],,,,,,,,
sub_40A819,['crypt'],,,,,,,,
sub_403428,['crypt'],,,,,,,,
sub_40886B,['crypt'],,,,,,,,
sub_40E920,['crypt'],,,,,,,,
sub_400E98,['crypt'],,,,,,,,
sub_40E571,['crypt'],,,,,,,,
sub_40B0C0,['crypt'],,,,,,,,
sub_402D12,['crypt'],,,,,,,,
sub_40C2C7,['crypt'],,,,,,,,
sub_412D72,['crypt'],,,,,,,,
sub_4181B4,['crypt'],,,,,,,,
sub_41A0D6,['crypt'],,,,,,,,
sub_415F2B,['crypt'],,,,,,,,
sub_4183D3,['crypt'],,,,,,,,
sub_41826C,['crypt'],,,,,,,,
sub_413795,['crypt'],,,,,,,,
sub_4132C9,['crypt'],,,,,,,,
sub_41F74B,['crypt'],,,,,,,,
sub_41E6AB,['crypt'],,,,,,,,
sub_418512,['crypt'],,,,,,,,
sub_4197E4,['crypt'],,,,,,,,
sub_419BD1,['crypt'],,,,,,,,
sub_415D5B,['crypt'],,,,,,,,
sub_412115,['crypt'],,,,,,,,
sub_41AA91,['crypt'],,,,,,,,
sub_4168A0,['crypt'],,,,,,,,
sub_4135C8,['crypt'],,,,,,,,
sub_41D795,['crypt'],,,,,,,,
