crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40F0AF,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_40440A,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_40493B,['RijnDael_AES_LONG'],sub_4057F5,['WriteFile'],sub_4057F5,"['FindFirstFile', 'FindNextFile']",sub_40440A,['CreateFile'],,
Function,['crypt'],,,,,sub_4057F5,['CreateFile'],,
sub_406039,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_4099E7,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_40F39C,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_401387,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_4054D9,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_40DD51,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
