crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4DFF76,['RijnDael_AES_LONG'],sub_40786C,['WriteFile'],sub_40CAA4,['FindFirstFile'],sub_4226EA,['CreateFile'],,
sub_4D1A5E,['RijnDael_AES_inv_LONG'],sub_404A82,['WriteFile'],sub_405BC2,['FindFirstFile'],sub_42238F,['CreateFile'],,
sub_4DB6FF,['crypt'],sub_422803,['WriteFile'],sub_4D51FB,['FindFirstFile'],sub_429421,['ReadFile'],,
sub_40ADCE,['crypt'],sub_42C89E,['WriteFile'],sub_4DEBED,['FindFirstFile'],sub_4DD9A5,['CreateFile'],,
sub_4DEE23,['crypt'],sub_4DEE23,['WriteFile'],sub_4EDE67,['FindFirstFile'],sub_4D13FF,"['CreateFile', 'ReadFile']",,
sub_4D6EAA,['crypt'],sub_4D6EAA,['WriteFile'],sub_4E1429,['FindNextFile'],sub_40ADCE,"['CreateFile', 'ReadFile']",,
sub_4D6BC2,['crypt'],sub_4E6AE3,['WriteFile'],,,sub_4DEE23,['CreateFile'],,
sub_4E1429,['crypt'],sub_4E6FB6,['WriteFile'],,,sub_4D6EAA,['CreateFile'],,
sub_4DC206,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E2D54,"['MoveFile', 'DeleteFile']",,,sub_4E6E2A,['CreateFile'],,
sub_4DF71F,Function performing Base64 encoding on input data.,,,,,sub_4E6AE3,['ReadFile'],,
,,,,,,sub_4E6FB6,['CreateFile'],,
,,,,,,sub_4EF7E3,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4EA570,['CreateFile'],,
