crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40E1C9,"['Crypt', 'CryptAcquireContext']",sub_409E67,['WriteFile'],sub_4095E6,"['FindFirstFile', 'FindNextFile']",sub_40E6C5,['CreateFile'],sub_409127,['Snapshot']
sub_40745C,"['CryptGenRandom', 'crypt', 'Crypt']",sub_40745C,"['MoveFile', 'WriteFile']",sub_40CDB0,"['FindFirstFile', 'FindNextFile']",sub_40745C,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_4095E6,['WriteFile'],,,sub_4095E6,['CreateFile'],,
sub_40DD29,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_40C149,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_411069,"Function sub_411069 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_4152B9,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_401714,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_411489,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_400DB2,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
