crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404A60,"['Crypt', 'CryptAcquireContext']",sub_404CB0,['WriteFile'],sub_40A2B0,"['FindFirstFile', 'FindNextFile']",sub_404DA0,['CreateFile'],sub_404990,['Snapshot']
sub_409720,"['CryptGenRandom', 'crypt', 'Crypt']",sub_409720,"['MoveFile', 'WriteFile']",sub_40A5C0,"['FindFirstFile', 'FindNextFile']",sub_409720,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_40A2B0,['WriteFile'],,,sub_40A2B0,['CreateFile'],,
sub_40D910,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_40B170,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_410AD0,"Function sub_410AD0 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_4101C0,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_40FE60,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_4104D0,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_408170,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
