crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41C058,['crypt'],sub_406AE4,['WriteFile'],,,sub_400C82,['CreateFile'],,
sub_414D39,['crypt'],sub_40700F,['WriteFile'],,,sub_40D859,['CreateFile'],,
sub_41BF7F,['crypt'],sub_407CA7,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_414F68,['crypt'],sub_429B4A,['WriteFile'],,,sub_407CA7,['CreateFile'],,
sub_415526,['crypt'],,,,,,,,
sub_41594F,['crypt'],,,,,,,,
sub_411378,['crypt'],,,,,,,,
sub_4116C6,['crypt'],,,,,,,,
sub_41E301,['crypt'],,,,,,,,
sub_416D79,['crypt'],,,,,,,,
sub_41A36C,['crypt'],,,,,,,,
sub_41F596,['crypt'],,,,,,,,
sub_41A939,['crypt'],,,,,,,,
sub_420DF1,['crypt'],,,,,,,,
sub_425415,['crypt'],,,,,,,,
sub_4240A0,['crypt'],,,,,,,,
sub_425090,['crypt'],,,,,,,,
sub_426D90,['crypt'],,,,,,,,
sub_42D24B,['crypt'],,,,,,,,
sub_427870,['crypt'],,,,,,,,
sub_421BF7,['crypt'],,,,,,,,
sub_425515,['crypt'],,,,,,,,
sub_42865B,['crypt'],,,,,,,,
sub_425FD9,['crypt'],,,,,,,,
sub_414951,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41C63B,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41C0AB,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_416F56,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_4170C2,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
