crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40F087,['Crypt'],,,sub_40F476,"['FindFirstFile', 'FindNextFile']",,,sub_40B0B2,['Snapshot']
sub_408E00,['Crypt'],,,sub_40B933,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_400E6A,['Crypt'],,,sub_408390,"['FindFirstFile', 'FindNextFile']",,,sub_456E5A,['encrypted']
sub_40A840,['Crypt'],,,sub_40026F,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F814,['Crypt'],,,sub_40C8E0,"['FindFirstFile', 'FindNextFile']",,,,
sub_407330,['Crypt'],,,sub_400EC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_40CDC5,['Crypt'],,,sub_409EAB,"['FindFirstFile', 'FindNextFile']",,,,
sub_40CA66,['Crypt'],,,sub_41A56D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40FC79,['Crypt'],,,sub_417C42,"['FindFirstFile', 'FindNextFile']",,,,
sub_40A927,['Crypt'],,,sub_418ECF,"['FindFirstFile', 'FindNextFile']",,,,
sub_40DF75,['Crypt'],,,,,,,,
sub_403520,['Crypt'],,,,,,,,
sub_4061D5,['Crypt'],,,,,,,,
sub_40E154,['Crypt'],,,,,,,,
sub_40AB43,['Crypt'],,,,,,,,
sub_40C5E8,['Crypt'],,,,,,,,
sub_40B5C6,['Crypt'],,,,,,,,
sub_403D22,['Crypt'],,,,,,,,
sub_40534D,['Crypt'],,,,,,,,
sub_400A83,['Crypt'],,,,,,,,
sub_402A63,['Crypt'],,,,,,,,
sub_400AD6,['Crypt'],,,,,,,,
sub_408B83,['Crypt'],,,,,,,,
sub_407661,['Crypt'],,,,,,,,
sub_400D96,['Crypt'],,,,,,,,
sub_4007F3,['Crypt'],,,,,,,,
sub_40C742,['Crypt'],,,,,,,,
sub_40D4DB,['Crypt'],,,,,,,,
sub_40510C,['Crypt'],,,,,,,,
sub_40098F,['Crypt'],,,,,,,,
sub_40F522,['Crypt'],,,,,,,,
sub_4042C2,['Crypt'],,,,,,,,
sub_40863B,['Crypt'],,,,,,,,
sub_40A3AE,['Crypt'],,,,,,,,
sub_401034,['Crypt'],,,,,,,,
