crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_1446652F0,['crypt'],main,['WriteFile'],sub_14A319180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_144665470,['crypt'],sub_14CD9B670,['WriteFile'],sub_14A319690,"['FindFirstFile', 'FindNextFile']",sub_14F4CC7FC,['CreateFile'],,
sub_144665550,['crypt'],,,sub_14A319BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_144665690,['crypt'],,,,,,,,
sub_1446657A0,['crypt'],,,,,,,,
sub_144665B00,['crypt'],,,,,,,,
sub_144665CD0,['crypt'],,,,,,,,
sub_144665F20,['crypt'],,,,,,,,
sub_14025C080,['crypt'],,,,,,,,
sub_14025C390,['crypt'],,,,,,,,
sub_14025C600,['crypt'],,,,,,,,
sub_14025C6D0,['crypt'],,,,,,,,
sub_14025C920,['crypt'],,,,,,,,
sub_14025C980,['crypt'],,,,,,,,
sub_14025CA70,['crypt'],,,,,,,,
sub_14025CC10,['crypt'],,,,,,,,
sub_14025CFD0,['crypt'],,,,,,,,
sub_1448460A0,['crypt'],,,,,,,,
sub_144846140,['crypt'],,,,,,,,
sub_144846290,['crypt'],,,,,,,,
sub_144846460,['crypt'],,,,,,,,
sub_144846530,['crypt'],,,,,,,,
sub_1448467D0,['crypt'],,,,,,,,
sub_1487F10C0,['crypt'],,,,,,,,
sub_1487F1A10,['crypt'],,,,,,,,
sub_1487F1B00,['crypt'],,,,,,,,
sub_1487F1C20,['crypt'],,,,,,,,
sub_1487F1D40,['crypt'],,,,,,,,
sub_147D4C440,['crypt'],,,,,,,,
sub_147D4C560,['crypt'],,,,,,,,
sub_147D4C8E0,['crypt'],,,,,,,,
sub_147D4CA70,['crypt'],,,,,,,,
sub_147D4CBF0,['crypt'],,,,,,,,
sub_147D4CC80,['crypt'],,,,,,,,
sub_147D4CE90,['crypt'],,,,,,,,
sub_147D4CFE0,['crypt'],,,,,,,,
sub_14491D070,['crypt'],,,,,,,,
sub_14491D1C0,['crypt'],,,,,,,,
sub_14491D240,['crypt'],,,,,,,,
sub_14491D2D0,['crypt'],,,,,,,,
sub_14491D350,['crypt'],,,,,,,,
sub_14491D650,['crypt'],,,,,,,,
sub_14491DA60,['crypt'],,,,,,,,
sub_14491DAB0,['crypt'],,,,,,,,
sub_14491DB10,['crypt'],,,,,,,,
sub_14491DBE0,['crypt'],,,,,,,,
sub_14491DD20,['crypt'],,,,,,,,
sub_14491DD80,['crypt'],,,,,,,,
sub_14491DDD0,['crypt'],,,,,,,,
sub_14491DE30,['crypt'],,,,,,,,
sub_14CBBE010,['crypt'],,,,,,,,
sub_14CBBE090,['crypt'],,,,,,,,
sub_14CBBE0E0,['crypt'],,,,,,,,
sub_14CBBE150,['crypt'],,,,,,,,
sub_14CBBE1E0,['crypt'],,,,,,,,
sub_14CBBE300,['crypt'],,,,,,,,
sub_14CBBE380,['crypt'],,,,,,,,
sub_14CBBE400,['crypt'],,,,,,,,
sub_14CBBE480,['crypt'],,,,,,,,
sub_14CBBE500,['crypt'],,,,,,,,
