crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_401244,['Crypt'],,,sub_404E21,"['FindFirstFile', 'FindNextFile']",,,sub_40FEF2,['Snapshot']
sub_409656,['Crypt'],,,sub_40D04E,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40E782,['Crypt'],,,sub_408F70,"['FindFirstFile', 'FindNextFile']",,,sub_45D0C2,['encrypted']
sub_402F8B,['Crypt'],,,sub_40D194,"['FindFirstFile', 'FindNextFile']",,,,
sub_402D19,['Crypt'],,,sub_40408A,"['FindFirstFile', 'FindNextFile']",,,,
sub_4095EA,['Crypt'],,,sub_402D14,"['FindFirstFile', 'FindNextFile']",,,,
sub_4068FA,['Crypt'],,,sub_40C6DC,"['FindFirstFile', 'FindNextFile']",,,,
sub_4072F1,['Crypt'],,,sub_41232C,"['FindFirstFile', 'FindNextFile']",,,,
sub_408EF8,['Crypt'],,,sub_410CA4,"['FindFirstFile', 'FindNextFile']",,,,
sub_4023D8,['Crypt'],,,sub_41F0BE,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F84D,['Crypt'],,,,,,,,
sub_40A8E3,['Crypt'],,,,,,,,
sub_40D366,['Crypt'],,,,,,,,
sub_405632,['Crypt'],,,,,,,,
sub_4052E7,['Crypt'],,,,,,,,
sub_40976F,['Crypt'],,,,,,,,
sub_403C32,['Crypt'],,,,,,,,
sub_40928A,['Crypt'],,,,,,,,
sub_40FCDE,['Crypt'],,,,,,,,
sub_40D767,['Crypt'],,,,,,,,
sub_401A18,['Crypt'],,,,,,,,
sub_409DC9,['Crypt'],,,,,,,,
sub_40C140,['Crypt'],,,,,,,,
sub_401A16,['Crypt'],,,,,,,,
sub_407E5C,['Crypt'],,,,,,,,
sub_408B27,['Crypt'],,,,,,,,
sub_408123,['Crypt'],,,,,,,,
sub_408085,['Crypt'],,,,,,,,
sub_40416E,['Crypt'],,,,,,,,
sub_4086FF,['Crypt'],,,,,,,,
sub_401EB3,['Crypt'],,,,,,,,
sub_40B439,['Crypt'],,,,,,,,
sub_40F586,['Crypt'],,,,,,,,
sub_40465C,['Crypt'],,,,,,,,
sub_4054AC,['Crypt'],,,,,,,,
sub_409EBB,['Crypt'],,,,,,,,
sub_400FB2,['Crypt'],,,,,,,,
sub_4003BD,['Crypt'],,,,,,,,
sub_4077F4,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_405530,['Crypt'],,,,,,,,
sub_4099B9,['Crypt'],,,,,,,,
sub_4058E2,['Crypt'],,,,,,,,
sub_4058F0,['Crypt'],,,,,,,,
sub_404242,['Crypt'],,,,,,,,
sub_403B90,['Crypt'],,,,,,,,
sub_40B152,['Crypt'],,,,,,,,
sub_4063A4,['Crypt'],,,,,,,,
sub_40D4FC,['Crypt'],,,,,,,,
sub_40C340,['Crypt'],,,,,,,,
sub_4021F2,['Crypt'],,,,,,,,
sub_40E99D,['Crypt'],,,,,,,,
sub_40D8DE,['Crypt'],,,,,,,,
sub_408887,['Crypt'],,,,,,,,
sub_405AAC,['Crypt'],,,,,,,,
sub_40963A,['Crypt'],,,,,,,,
sub_40AAA8,['Crypt'],,,,,,,,
sub_40AED8,['Crypt'],,,,,,,,
sub_4089F0,['Crypt'],,,,,,,,
sub_401E08,['Crypt'],,,,,,,,
sub_40604C,['Crypt'],,,,,,,,
sub_4090EA,['Crypt'],,,,,,,,
sub_40F8D7,['Crypt'],,,,,,,,
sub_40F1FC,['Crypt'],,,,,,,,
sub_400F97,['Crypt'],,,,,,,,
sub_408494,['Crypt'],,,,,,,,
sub_406E0E,['Crypt'],,,,,,,,
sub_407F51,['Crypt'],,,,,,,,
sub_4048F9,['Crypt'],,,,,,,,
sub_40B851,['Crypt'],,,,,,,,
sub_404E21,['crypt'],,,,,,,,
sub_41232C,['crypt'],,,,,,,,
sub_410CA4,['crypt'],,,,,,,,
sub_41E9A9,['Crypt'],,,,,,,,
sub_411EAB,['Crypt'],,,,,,,,
sub_414A7A,['Crypt'],,,,,,,,
sub_4162B2,['Crypt'],,,,,,,,
sub_412DBE,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_411788,['Crypt'],,,,,,,,
sub_41835A,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_412B62,['Crypt'],,,,,,,,
sub_413CB5,['Crypt'],,,,,,,,
sub_41940C,['Crypt'],,,,,,,,
sub_41F00D,['Crypt'],,,,,,,,
sub_41891F,['Crypt'],,,,,,,,
sub_41EC81,['Crypt'],,,,,,,,
sub_41F972,['Crypt'],,,,,,,,
sub_4157E6,['Crypt'],,,,,,,,
sub_415BFA,['Crypt'],,,,,,,,
sub_41E6A7,['Crypt'],,,,,,,,
sub_410CF5,['Crypt'],,,,,,,,
sub_41E4A7,['Crypt'],,,,,,,,
sub_41FB65,['Crypt'],,,,,,,,
sub_413141,['Crypt'],,,,,,,,
sub_4189D2,['Crypt'],,,,,,,,
sub_41175A,['Crypt'],,,,,,,,
sub_41E842,['Crypt'],,,,,,,,
sub_418ADF,['Crypt'],,,,,,,,
sub_41C02F,['Crypt'],,,,,,,,
sub_41F24B,['Crypt'],,,,,,,,
sub_414A33,['Crypt'],,,,,,,,
sub_41A83B,['Crypt'],,,,,,,,
sub_416B82,['Crypt'],,,,,,,,
sub_4144F5,['Crypt'],,,,,,,,
sub_418517,['Crypt'],,,,,,,,
sub_4240AF,['Crypt'],,,,,,,,
sub_424963,['Crypt'],,,,,,,,
sub_427E5B,['Crypt'],,,,,,,,
sub_4289B2,['Crypt'],,,,,,,,
sub_420D82,['Crypt'],,,,,,,,
sub_42E664,['Crypt'],,,,,,,,
sub_42DBE6,['Crypt'],,,,,,,,
sub_42ECA3,['Crypt'],,,,,,,,
sub_429038,['Crypt'],,,,,,,,
sub_4248DF,['Crypt'],,,,,,,,
sub_425160,['Crypt'],,,,,,,,
sub_42D07C,['Crypt'],,,,,,,,
sub_42C441,['Crypt'],,,,,,,,
sub_439119,['Crypt'],,,,,,,,
sub_439267,['Crypt'],,,,,,,,
sub_43F5D8,['Crypt'],,,,,,,,
sub_4326E5,['Crypt'],,,,,,,,
sub_43E432,['Crypt'],,,,,,,,
sub_4300DC,['Crypt'],,,,,,,,
sub_43CC52,['Crypt'],,,,,,,,
sub_43494B,['Crypt'],,,,,,,,
sub_431D0E,['Crypt'],,,,,,,,
sub_43FC16,['Crypt'],,,,,,,,
sub_43774F,['Crypt'],,,,,,,,
sub_438340,['Crypt'],,,,,,,,
sub_43FEBD,['Crypt'],,,,,,,,
sub_439CB0,['Crypt'],,,,,,,,
sub_43A61D,['Crypt'],,,,,,,,
sub_438EBA,['Crypt'],,,,,,,,
sub_438F60,['Crypt'],,,,,,,,
sub_4399E2,['Crypt'],,,,,,,,
sub_43FC40,['Crypt'],,,,,,,,
sub_430054,['Crypt'],,,,,,,,
sub_43CD51,['Crypt'],,,,,,,,
sub_43159F,"['crypt', 'Crypt']",,,,,,,,
sub_43517D,['Crypt'],,,,,,,,
sub_435527,['Crypt'],,,,,,,,
sub_43DEE0,['Crypt'],,,,,,,,
sub_435A99,['Crypt'],,,,,,,,
sub_43D7B6,['Crypt'],,,,,,,,
sub_4399A5,['Crypt'],,,,,,,,
sub_43BEDA,['Crypt'],,,,,,,,
sub_43B363,['Crypt'],,,,,,,,
sub_43A5CF,['Crypt'],,,,,,,,
sub_43BAF3,['Crypt'],,,,,,,,
sub_43D66C,['Crypt'],,,,,,,,
sub_4353DD,['Crypt'],,,,,,,,
sub_439AD8,['Crypt'],,,,,,,,
sub_432BAB,['Crypt'],,,,,,,,
sub_4345A1,['Crypt'],,,,,,,,
sub_434493,['Crypt'],,,,,,,,
sub_43B96D,['Crypt'],,,,,,,,
sub_43C65E,['Crypt'],,,,,,,,
sub_432316,['Crypt'],,,,,,,,
sub_43095B,"['crypt', 'Crypt']",,,,,,,,
sub_4331EB,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_433F96,['Crypt'],,,,,,,,
sub_43C9B4,['Crypt'],,,,,,,,
sub_4332FB,['Crypt'],,,,,,,,
sub_43505C,['Crypt'],,,,,,,,
sub_430956,['Crypt'],,,,,,,,
sub_43C556,['Crypt'],,,,,,,,
sub_43D2A8,['Crypt'],,,,,,,,
sub_437062,['Crypt'],,,,,,,,
sub_437FC9,"['crypt', 'Crypt']",,,,,,,,
sub_43372E,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_437631,['Crypt'],,,,,,,,
sub_431D0B,['Crypt'],,,,,,,,
sub_4355B5,['Crypt'],,,,,,,,
sub_43A8BF,['Crypt'],,,,,,,,
sub_433007,['Crypt'],,,,,,,,
sub_4346B9,['Crypt'],,,,,,,,
sub_431644,['Crypt'],,,,,,,,
sub_43F312,['Crypt'],,,,,,,,
sub_43A39D,['Crypt'],,,,,,,,
sub_43EDCA,['Crypt'],,,,,,,,
sub_434A62,['Crypt'],,,,,,,,
sub_434B85,['Crypt'],,,,,,,,
sub_434F02,['Crypt'],,,,,,,,
sub_43F99B,['Crypt'],,,,,,,,
sub_432768,['Crypt'],,,,,,,,
sub_439BC7,['Crypt'],,,,,,,,
sub_43A42E,['Crypt'],,,,,,,,
sub_43094E,['Crypt'],,,,,,,,
sub_430AA4,['Crypt'],,,,,,,,
sub_435E59,['Crypt'],,,,,,,,
sub_433EA1,['Crypt'],,,,,,,,
sub_43F80F,['Crypt'],,,,,,,,
sub_43FC56,['Crypt'],,,,,,,,
sub_437D6A,['Crypt'],,,,,,,,
sub_43A032,['Crypt'],,,,,,,,
sub_434438,['Crypt'],,,,,,,,
sub_43FDA1,['Crypt'],,,,,,,,
sub_43C150,['Crypt'],,,,,,,,
sub_43D6D6,['Crypt'],,,,,,,,
sub_439EF4,['Crypt'],,,,,,,,
sub_43E491,['Crypt'],,,,,,,,
sub_43B3FC,['Crypt'],,,,,,,,
sub_437939,['Crypt'],,,,,,,,
sub_4356C3,['Crypt'],,,,,,,,
sub_433526,['Crypt'],,,,,,,,
sub_437D9C,['Crypt'],,,,,,,,
sub_4376C6,['Crypt'],,,,,,,,
sub_43C54E,['Crypt'],,,,,,,,
sub_436D68,['Crypt'],,,,,,,,
sub_43AA9F,['Crypt'],,,,,,,,
sub_439F41,['Crypt'],,,,,,,,
sub_4385A9,['Crypt'],,,,,,,,
sub_432A1F,['Crypt'],,,,,,,,
sub_43DFBB,['Crypt'],,,,,,,,
sub_43C63B,['Crypt'],,,,,,,,
sub_440ADF,['Crypt'],,,,,,,,
sub_444E2C,['Crypt'],,,,,,,,
sub_44B596,['Crypt'],,,,,,,,
sub_44529E,['Crypt'],,,,,,,,
sub_443881,['Crypt'],,,,,,,,
sub_44F2DD,['Crypt'],,,,,,,,
sub_4452B8,['Crypt'],,,,,,,,
sub_4460FB,['Crypt'],,,,,,,,
sub_44A06F,['Crypt'],,,,,,,,
sub_44D0BB,['Crypt'],,,,,,,,
sub_446CB6,['Crypt'],,,,,,,,
sub_449550,['Crypt'],,,,,,,,
sub_44B492,['Crypt'],,,,,,,,
sub_44269E,['Crypt'],,,,,,,,
sub_44969F,['Crypt'],,,,,,,,
sub_44DD7F,['Crypt'],,,,,,,,
sub_441F5E,['Crypt'],,,,,,,,
sub_44ABFA,['Crypt'],,,,,,,,
sub_4475B5,['Crypt'],,,,,,,,
sub_4455DF,['Crypt'],,,,,,,,
sub_44E1E4,['Crypt'],,,,,,,,
sub_4453DF,['Crypt'],,,,,,,,
sub_447458,['Crypt'],,,,,,,,
sub_447939,['Crypt'],,,,,,,,
sub_443599,['Crypt'],,,,,,,,
sub_44E5DA,['Crypt'],,,,,,,,
sub_44804E,['Crypt'],,,,,,,,
sub_44E670,['Crypt'],,,,,,,,
sub_44E88F,['Crypt'],,,,,,,,
sub_4453A2,['Crypt'],,,,,,,,
sub_44DBE4,['Crypt'],,,,,,,,
sub_44E75D,['Crypt'],,,,,,,,
sub_441CCE,['Crypt'],,,,,,,,
sub_45D644,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45585F,['Crypt'],,,,,,,,
sub_454AD3,['Crypt'],,,,,,,,
sub_457E92,['Crypt'],,,,,,,,
sub_45B3C5,['Crypt'],,,,,,,,
sub_452847,['Crypt'],,,,,,,,
sub_452A94,['Crypt'],,,,,,,,
sub_45AE97,['Crypt'],,,,,,,,
sub_458FE7,['Crypt'],,,,,,,,
sub_454455,['Crypt'],,,,,,,,
sub_455FB5,['Crypt'],,,,,,,,
sub_45E91F,['Crypt'],,,,,,,,
sub_458879,['Crypt'],,,,,,,,
sub_458F66,['Crypt'],,,,,,,,
sub_45BCFD,['Crypt'],,,,,,,,
sub_45DA04,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_455650,['Crypt'],,,,,,,,
sub_45F5BB,['Crypt'],,,,,,,,
sub_459F99,['Crypt'],,,,,,,,
sub_452E9D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45994D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_45C1B1,['Crypt'],,,,,,,,
sub_45A230,['Crypt'],,,,,,,,
sub_459A17,['Crypt'],,,,,,,,
sub_4518E4,['Crypt'],,,,,,,,
sub_4537B5,['Crypt'],,,,,,,,
sub_4587F3,['Crypt'],,,,,,,,
sub_452435,['Crypt'],,,,,,,,
sub_45CEAD,['Crypt'],,,,,,,,
sub_45995E,['Crypt'],,,,,,,,
sub_45995E,['Crypt'],,,,,,,,
sub_452420,['Crypt'],,,,,,,,
sub_45B877,['Crypt'],,,,,,,,
sub_457040,['Crypt'],,,,,,,,
sub_45A1D6,['Crypt'],,,,,,,,
sub_45E48D,['Crypt'],,,,,,,,
