crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_6B583E,['crypt'],,,,,sub_6C1B1F,['ReadFile'],sub_6B583E,['encrypted']
sub_6B1A82,['crypt'],,,,,,,sub_6B4AED,['encrypted']
sub_6B4AED,['crypt'],,,,,,,sub_6FAC3E,['encrypted']
sub_6E911E,['Crypt'],,,,,,,sub_6FFC06,['encrypted']
sub_6E4D53,['Crypt'],,,,,,,,
sub_6E918A,['Crypt'],,,,,,,,
sub_6F2DB4,['Crypt'],,,,,,,,
sub_6FF10A,['Crypt'],,,,,,,,
sub_6F07F8,['Crypt'],,,,,,,,
sub_6F2875,['Crypt'],,,,,,,,
sub_6F2255,['Crypt'],,,,,,,,
sub_6F82A0,['Crypt'],,,,,,,,
sub_6F064D,['Crypt'],,,,,,,,
sub_6F43AD,['Crypt'],,,,,,,,
sub_6F164D,['Crypt'],,,,,,,,
sub_6F540A,['Crypt'],,,,,,,,
sub_6FD754,['Crypt'],,,,,,,,
sub_6FA2CC,['Crypt'],,,,,,,,
sub_6F8D83,['Crypt'],,,,,,,,
sub_6F8AEB,['Crypt'],,,,,,,,
sub_6FFC99,['Crypt'],,,,,,,,
sub_6F0F30,['Crypt'],,,,,,,,
sub_6FAAC2,['Crypt'],,,,,,,,
sub_6F2F0C,['Crypt'],,,,,,,,
sub_6F5E6F,['Crypt'],,,,,,,,
sub_6FF7F9,['Crypt'],,,,,,,,
sub_6FCDAA,['Crypt'],,,,,,,,
sub_6F0081,['Crypt'],,,,,,,,
sub_6F326F,['Crypt'],,,,,,,,
sub_6F8282,['Crypt'],,,,,,,,
sub_6F5A94,['Crypt'],,,,,,,,
sub_6FA4D9,['Crypt'],,,,,,,,
sub_6F4209,['Crypt'],,,,,,,,
sub_6F1E00,['Crypt'],,,,,,,,
sub_6F903A,"['crypt', 'Crypt']",,,,,,,,
sub_6F39D1,['Crypt'],,,,,,,,
sub_6F1695,['Crypt'],,,,,,,,
sub_6F83F1,['Crypt'],,,,,,,,
sub_6F6C80,['Crypt'],,,,,,,,
sub_6F132F,['Crypt'],,,,,,,,
sub_6F744B,['Crypt'],,,,,,,,
sub_6FDAE5,"['crypt', 'Crypt']",,,,,,,,
sub_6FCE7E,['Crypt'],,,,,,,,
sub_6F91A5,['Crypt'],,,,,,,,
sub_6FC7AD,['Crypt'],,,,,,,,
sub_6FEB1A,['Crypt'],,,,,,,,
sub_6F2845,['Crypt'],,,,,,,,
sub_6FD3FA,"['crypt', 'Crypt']",,,,,,,,
sub_6F56A2,['Crypt'],,,,,,,,
sub_6FAC3E,['crypt'],,,,,,,,
sub_6FFC06,['crypt'],,,,,,,,
sub_702BA2,['Crypt'],,,,,,,,
sub_704BC5,['Crypt'],,,,,,,,
sub_70DBD9,['Crypt'],,,,,,,,
sub_704FFA,"['crypt', 'Crypt']",,,,,,,,
sub_70C33D,['Crypt'],,,,,,,,
sub_7075D4,"['crypt', 'Crypt']",,,,,,,,
sub_70D2A9,"['crypt', 'Crypt']",,,,,,,,
sub_70EA3D,"['crypt', 'Crypt']",,,,,,,,
sub_70FC29,"['crypt', 'Crypt']",,,,,,,,
sub_707D84,"['crypt', 'Crypt']",,,,,,,,
sub_70ECD0,"['crypt', 'Crypt']",,,,,,,,
sub_706177,"['crypt', 'Crypt']",,,,,,,,
sub_7060CD,['Crypt'],,,,,,,,
sub_70D5F4,['Crypt'],,,,,,,,
sub_70A5A6,['Crypt'],,,,,,,,
sub_703281,['Crypt'],,,,,,,,
sub_70A858,['Crypt'],,,,,,,,
sub_706005,"['crypt', 'Crypt']",,,,,,,,
sub_7078EE,"['crypt', 'Crypt']",,,,,,,,
