crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40049F,"['Crypt', 'CryptAcquireContext']",sub_407A82,['WriteFile'],sub_402471,"['FindFirstFile', 'FindNextFile']",sub_402215,['CreateFile'],sub_40E438,['Snapshot']
sub_40B5E0,"['CryptGenRandom', 'crypt', 'Crypt']",sub_40B5E0,"['MoveFile', 'WriteFile']",sub_404C73,"['FindFirstFile', 'FindNextFile']",sub_40B5E0,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_402471,['WriteFile'],,,sub_402471,['CreateFile'],,
sub_404D87,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_4039CE,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_41F111,"Function sub_41F111 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_418EC3,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_40750E,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_412FA4,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_40CFB0,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
