crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
start,"['crypt', 'Encrypt']",sub_40C7FB,['WriteFile'],sub_407439,"['FindFirstFile', 'FindNextFile']",sub_40C7FB,['CreateFile'],,
sub_40C48F,"['crypt', 'crypt32.dll', 'Crypt', 'CryptStringToBinary']",sub_4091FC,"['MoveFile', 'WriteFile']",,,sub_4091FC,"['CreateFile', 'ReadFile']",,
sub_4091FC,"['CryptGenRandom', 'crypt', 'Crypt', 'bcrypt.dll']",sub_407439,['WriteFile'],,,sub_407439,['CreateFile'],,
sub_407439,"['crypt', 'Encrypt']",,,,,,,,
sub_40A800,Potential encryption or modification of data content read into memory. Includes bit-shifting and logical operations which are characteristic of encryption algorithms.,,,,,,,,
sub_409311,"The function 'sub_409311' appears to implement a symmetric encryption or pseudorandom transformation, as it involves multiple bitwise rotations and XOR operations applied to its input data.",,,,,,,,
sub_40E671,"The function involves bitwise rotations and XOR operations that modify the content read into memory, indicative of a potential encryption or data scrambling algorithm.",,,,,,,,
sub_408EF9,"Potential encryption or modification of data content in memory, possibly using a block cipher or XOR-based stream cipher given the use of look-up and bitwise operations.",,,,,,,,
sub_40CB2A,Potential encryption or modification of data content using a series of transformations that resembles a block cipher operation.,,,,,,,,
sub_40F37E,Potential encryption function with bitwise operations and data processing.,,,,,,,,
sub_40BB7E,"Potential encryption or modification of data content read into memory, involving bitwise operations and vectorized processing.",,,,,,,,
sub_401A37,"Potential encryption or modification of data content read into memory. The function incorporates bitwise operations, shifts, and complex logic suggesting content modification typically found in encryption algorithms.",,,,,,,,
