crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41B0D4,['crypt'],sub_40285E,['WriteFile'],,,sub_40449B,['CreateFile'],,
sub_4140BC,['crypt'],sub_40D782,['WriteFile'],,,sub_40F606,['CreateFile'],,
sub_416B06,['crypt'],sub_40BAB6,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_410D9B,['crypt'],sub_4237FC,['WriteFile'],,,sub_40BAB6,['CreateFile'],,
sub_413257,['crypt'],,,,,,,,
sub_4189BD,['crypt'],,,,,,,,
sub_418FD1,['crypt'],,,,,,,,
sub_418E32,['crypt'],,,,,,,,
sub_41D271,['crypt'],,,,,,,,
sub_411924,['crypt'],,,,,,,,
sub_41A864,['crypt'],,,,,,,,
sub_4180EE,['crypt'],,,,,,,,
sub_41C6F9,['crypt'],,,,,,,,
sub_42C2B4,['crypt'],,,,,,,,
sub_4214BD,['crypt'],,,,,,,,
sub_429662,['crypt'],,,,,,,,
sub_42B28D,['crypt'],,,,,,,,
sub_42ABE6,['crypt'],,,,,,,,
sub_421557,['crypt'],,,,,,,,
sub_42ACA6,['crypt'],,,,,,,,
sub_42AB82,['crypt'],,,,,,,,
sub_426539,['crypt'],,,,,,,,
sub_42C7AF,['crypt'],,,,,,,,
sub_424154,['crypt'],,,,,,,,
sub_412CCA,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41EED5,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41C698,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_4127D7,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41D729,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
