crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_14A01A2F0,['crypt'],main,['WriteFile'],sub_14B2F0180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_14A01A470,['crypt'],sub_140889670,['WriteFile'],sub_14B2F0690,"['FindFirstFile', 'FindNextFile']",sub_14F5917FC,['CreateFile'],,
sub_14A01A550,['crypt'],,,sub_14B2F0BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_14A01A690,['crypt'],,,,,,,,
sub_14A01A7A0,['crypt'],,,,,,,,
sub_14A01AB00,['crypt'],,,,,,,,
sub_14A01ACD0,['crypt'],,,,,,,,
sub_14A01AF20,['crypt'],,,,,,,,
sub_140A37080,['crypt'],,,,,,,,
sub_140A37390,['crypt'],,,,,,,,
sub_140A37600,['crypt'],,,,,,,,
sub_140A376D0,['crypt'],,,,,,,,
sub_140A37920,['crypt'],,,,,,,,
sub_140A37980,['crypt'],,,,,,,,
sub_140A37A70,['crypt'],,,,,,,,
sub_140A37C10,['crypt'],,,,,,,,
sub_140A37FD0,['crypt'],,,,,,,,
sub_14109D0A0,['crypt'],,,,,,,,
sub_14109D140,['crypt'],,,,,,,,
sub_14109D290,['crypt'],,,,,,,,
sub_14109D460,['crypt'],,,,,,,,
sub_14109D530,['crypt'],,,,,,,,
sub_14109D7D0,['crypt'],,,,,,,,
sub_149B920C0,['crypt'],,,,,,,,
sub_149B92A10,['crypt'],,,,,,,,
sub_149B92B00,['crypt'],,,,,,,,
sub_149B92C20,['crypt'],,,,,,,,
sub_149B92D40,['crypt'],,,,,,,,
sub_142DFF440,['crypt'],,,,,,,,
sub_142DFF560,['crypt'],,,,,,,,
sub_142DFF8E0,['crypt'],,,,,,,,
sub_142DFFA70,['crypt'],,,,,,,,
sub_142DFFBF0,['crypt'],,,,,,,,
sub_142DFFC80,['crypt'],,,,,,,,
sub_142DFFE90,['crypt'],,,,,,,,
sub_142DFFFE0,['crypt'],,,,,,,,
sub_1445B4070,['crypt'],,,,,,,,
sub_1445B41C0,['crypt'],,,,,,,,
sub_1445B4240,['crypt'],,,,,,,,
sub_1445B42D0,['crypt'],,,,,,,,
sub_1445B4350,['crypt'],,,,,,,,
sub_1445B4650,['crypt'],,,,,,,,
sub_1445B4A60,['crypt'],,,,,,,,
sub_1445B4AB0,['crypt'],,,,,,,,
sub_1445B4B10,['crypt'],,,,,,,,
sub_1445B4BE0,['crypt'],,,,,,,,
sub_1445B4D20,['crypt'],,,,,,,,
sub_1445B4D80,['crypt'],,,,,,,,
sub_1445B4DD0,['crypt'],,,,,,,,
sub_1445B4E30,['crypt'],,,,,,,,
sub_141793010,['crypt'],,,,,,,,
sub_141793090,['crypt'],,,,,,,,
sub_1417930E0,['crypt'],,,,,,,,
sub_141793150,['crypt'],,,,,,,,
sub_1417931E0,['crypt'],,,,,,,,
sub_141793300,['crypt'],,,,,,,,
sub_141793380,['crypt'],,,,,,,,
sub_141793400,['crypt'],,,,,,,,
sub_141793480,['crypt'],,,,,,,,
sub_141793500,['crypt'],,,,,,,,
sub_141793580,['crypt'],,,,,,,,
sub_141793670,['crypt'],,,,,,,,
sub_141793770,['crypt'],,,,,,,,
sub_1417937F0,['crypt'],,,,,,,,
sub_1417938F0,['crypt'],,,,,,,,
sub_1417939F0,['crypt'],,,,,,,,
sub_141793A70,['crypt'],,,,,,,,
sub_141793CC0,['crypt'],,,,,,,,
sub_140889A70,['crypt'],,,,,,,,
sub_145172E00,['crypt'],,,,,,,,
sub_145172F50,['crypt'],,,,,,,,
sub_1434503D0,['crypt'],,,,,,,,
sub_143450700,['crypt'],,,,,,,,
sub_143450890,['crypt'],,,,,,,,
sub_143450980,['crypt'],,,,,,,,
sub_143450A60,['crypt'],,,,,,,,
sub_143450C50,['crypt'],,,,,,,,
sub_143450CE0,['crypt'],,,,,,,,
sub_143450D20,['crypt'],,,,,,,,
sub_143450D70,['crypt'],,,,,,,,
sub_1463C31E0,['crypt'],,,,,,,,
sub_1463C3350,['crypt'],,,,,,,,
sub_1463C3520,['crypt'],,,,,,,,
sub_1463C36E0,['crypt'],,,,,,,,
sub_1463C37B0,['crypt'],,,,,,,,
sub_1463C3840,['crypt'],,,,,,,,
sub_142025200,['crypt'],,,,,,,,
sub_1420253B0,['crypt'],,,,,,,,
sub_1420259B0,['crypt'],,,,,,,,
sub_142025C40,['crypt'],,,,,,,,
sub_142025CD0,['crypt'],,,,,,,,
