crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_6BB2D9,['crypt'],,,,,sub_6CBE4C,['ReadFile'],sub_6BB2D9,['encrypted']
sub_6B36D4,['crypt'],,,,,,,sub_6BA016,['encrypted']
sub_6BA016,['crypt'],,,,,,,sub_6F38B3,['encrypted']
sub_6EA672,['Crypt'],,,,,,,sub_6F7C7E,['encrypted']
sub_6EA46E,['Crypt'],,,,,,,,
sub_6E4BBD,['Crypt'],,,,,,,,
sub_6FDCD8,['Crypt'],,,,,,,,
sub_6F2314,['Crypt'],,,,,,,,
sub_6F89FB,['Crypt'],,,,,,,,
sub_6FA8A3,['Crypt'],,,,,,,,
sub_6F6723,['Crypt'],,,,,,,,
sub_6F86E7,['Crypt'],,,,,,,,
sub_6F1128,['Crypt'],,,,,,,,
sub_6FB3F0,['Crypt'],,,,,,,,
sub_6F19A2,['Crypt'],,,,,,,,
sub_6FC2A0,['Crypt'],,,,,,,,
sub_6FE4AB,['Crypt'],,,,,,,,
sub_6F4E4E,['Crypt'],,,,,,,,
sub_6F8AB8,['Crypt'],,,,,,,,
sub_6F10DB,['Crypt'],,,,,,,,
sub_6FAE8A,['Crypt'],,,,,,,,
sub_6FD7B8,['Crypt'],,,,,,,,
sub_6FDC85,['Crypt'],,,,,,,,
sub_6F5FF3,['Crypt'],,,,,,,,
sub_6F8A6D,['Crypt'],,,,,,,,
sub_6FF9ED,['Crypt'],,,,,,,,
sub_6FAD5F,['Crypt'],,,,,,,,
sub_6FCC77,['Crypt'],,,,,,,,
sub_6F2F96,['Crypt'],,,,,,,,
sub_6F6FFC,['Crypt'],,,,,,,,
sub_6F4CB5,['Crypt'],,,,,,,,
sub_6F5CB7,['Crypt'],,,,,,,,
sub_6FD6E4,['Crypt'],,,,,,,,
sub_6F6DDE,['Crypt'],,,,,,,,
sub_6FD49E,"['crypt', 'Crypt']",,,,,,,,
sub_6F45A4,['Crypt'],,,,,,,,
sub_6F383C,['Crypt'],,,,,,,,
sub_6F2250,['Crypt'],,,,,,,,
sub_6FB4E3,['Crypt'],,,,,,,,
