crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40E7F1,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_400814,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_409798,['RijnDael_AES_LONG'],sub_409B75,['WriteFile'],sub_409B75,"['FindFirstFile', 'FindNextFile']",sub_400814,['CreateFile'],,
Function,['crypt'],,,,,sub_409B75,['CreateFile'],,
sub_4067FC,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_409E12,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_403C0B,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_4046DC,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_409EAA,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_40BD58,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
