crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404065,['Crypt'],sub_40D0DD,['WriteFile'],sub_401932,"['FindFirstFile', 'FindNextFile']",sub_40BD38,['CreateFile'],sub_40DF5C,['Snapshot']
sub_40EDCE,['Crypt'],,,,,sub_400526,['CreateFile'],,
sub_409F39,['Crypt'],,,,,sub_40382F,['ReadFile'],,
sub_409101,['Crypt'],,,,,,,,
sub_408AD1,['Crypt'],,,,,,,,
sub_402CE2,['Crypt'],,,,,,,,
sub_40C31A,['Crypt'],,,,,,,,
sub_40D970,['Crypt'],,,,,,,,
sub_40F8B3,['Crypt'],,,,,,,,
sub_40ADBE,['Crypt'],,,,,,,,
sub_4086DC,['Crypt'],,,,,,,,
sub_40497F,['Crypt'],,,,,,,,
sub_40C069,['Crypt'],,,,,,,,
sub_40E393,['Crypt'],,,,,,,,
sub_404490,['Crypt'],,,,,,,,
sub_40D4E5,['Crypt'],,,,,,,,
sub_401307,['Crypt'],,,,,,,,
sub_401427,['Crypt'],,,,,,,,
sub_40EBA9,['Crypt'],,,,,,,,
sub_40F6E6,['Crypt'],,,,,,,,
sub_40F463,['Crypt'],,,,,,,,
sub_400770,['Crypt'],,,,,,,,
sub_40DB26,['Crypt'],,,,,,,,
sub_407AC1,['Crypt'],,,,,,,,
sub_401423,['Crypt'],,,,,,,,
sub_403361,['Crypt'],,,,,,,,
sub_40937A,['Crypt'],,,,,,,,
sub_4092E4,['Crypt'],,,,,,,,
sub_40B176,['Crypt'],,,,,,,,
sub_408B80,['Crypt'],,,,,,,,
sub_407FD9,['Crypt'],,,,,,,,
sub_401FAE,['Crypt'],,,,,,,,
sub_408B26,['Crypt'],,,,,,,,
sub_408D68,['Crypt'],,,,,,,,
sub_407BC3,['Crypt'],,,,,,,,
sub_402594,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40E2C9,['Crypt'],,,,,,,,
sub_403287,['Crypt'],,,,,,,,
sub_405800,['Crypt'],,,,,,,,
sub_40F4E6,['Crypt'],,,,,,,,
sub_402BCB,['Crypt'],,,,,,,,
sub_404AE6,['Crypt'],,,,,,,,
sub_404B54,['Crypt'],,,,,,,,
sub_406416,['Crypt'],,,,,,,,
sub_403996,['Crypt'],,,,,,,,
sub_403D51,['Crypt'],,,,,,,,
sub_40999A,['Crypt'],,,,,,,,
sub_40F88A,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_401BEE,['Crypt'],,,,,,,,
sub_4069C8,['Crypt'],,,,,,,,
sub_40AEF9,['Crypt'],,,,,,,,
sub_406D3F,['Crypt'],,,,,,,,
sub_4084D9,['Crypt'],,,,,,,,
sub_40B827,['Crypt'],,,,,,,,
sub_4096BD,['Crypt'],,,,,,,,
sub_4017EA,['Crypt'],,,,,,,,
sub_40AF39,['Crypt'],,,,,,,,
sub_40B3D7,['Crypt'],,,,,,,,
sub_400337,['Crypt'],,,,,,,,
sub_40BA0F,['Crypt'],,,,,,,,
sub_4012B2,['Crypt'],,,,,,,,
sub_40B004,['Crypt'],,,,,,,,
sub_4034A7,['Crypt'],,,,,,,,
sub_4030B7,['Crypt'],,,,,,,,
sub_400C3B,['Crypt'],,,,,,,,
sub_402CE1,['Crypt'],,,,,,,,
sub_400869,['Crypt'],,,,,,,,
sub_402901,['Crypt'],,,,,,,,
sub_404953,['Crypt'],,,,,,,,
sub_405FC3,['Crypt'],,,,,,,,
sub_40C215,['Crypt'],,,,,,,,
sub_40C81C,['Crypt'],,,,,,,,
sub_4016CF,['Crypt'],,,,,,,,
sub_404370,['Crypt'],,,,,,,,
sub_405A1D,['Crypt'],,,,,,,,
sub_40F19B,['Crypt'],,,,,,,,
sub_40B16F,['Crypt'],,,,,,,,
sub_4092CF,['Crypt'],,,,,,,,
sub_4057B3,['Crypt'],,,,,,,,
sub_40FADB,['Crypt'],,,,,,,,
sub_403660,['Crypt'],,,,,,,,
sub_401FD1,['Crypt'],,,,,,,,
sub_402168,['Crypt'],,,,,,,,
sub_404FB9,['Crypt'],,,,,,,,
sub_404DCD,['Crypt'],,,,,,,,
sub_4040B9,"['crypt', 'Crypt']",,,,,,,,
sub_404E99,['Crypt'],,,,,,,,
sub_407246,['Crypt'],,,,,,,,
sub_4003F8,['Crypt'],,,,,,,,
sub_404F62,['Crypt'],,,,,,,,
sub_40EDA2,['Crypt'],,,,,,,,
sub_4081E4,['Crypt'],,,,,,,,
sub_40FC46,['Crypt'],,,,,,,,
sub_4030A0,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_401324,['Crypt'],,,,,,,,
sub_40E7A1,['Crypt'],,,,,,,,
sub_40878B,['Crypt'],,,,,,,,
sub_405235,['Crypt'],,,,,,,,
sub_40BBE8,['Crypt'],,,,,,,,
sub_40AD93,['Crypt'],,,,,,,,
sub_40A193,['Crypt'],,,,,,,,
sub_408B57,['Crypt'],,,,,,,,
sub_405ADF,['Crypt'],,,,,,,,
sub_404196,['Crypt'],,,,,,,,
sub_403A16,['Crypt'],,,,,,,,
sub_403C3F,['Crypt'],,,,,,,,
sub_409DFD,['Crypt'],,,,,,,,
sub_40FC67,['Crypt'],,,,,,,,
sub_40A3EF,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40F344,['Crypt'],,,,,,,,
sub_40CB14,['Crypt'],,,,,,,,
sub_403AEA,['Crypt'],,,,,,,,
sub_40A825,['Crypt'],,,,,,,,
sub_40BAAC,['Crypt'],,,,,,,,
sub_407801,['Crypt'],,,,,,,,
sub_40B0AD,['Crypt'],,,,,,,,
sub_4065D5,['Crypt'],,,,,,,,
sub_40AC9A,['Crypt'],,,,,,,,
sub_40A66D,['Crypt'],,,,,,,,
sub_40AFA0,['Crypt'],,,,,,,,
sub_40072F,['Crypt'],,,,,,,,
sub_40A67E,['Crypt'],,,,,,,,
sub_40E121,['Crypt'],,,,,,,,
sub_4060CC,['Crypt'],,,,,,,,
sub_407FA3,['Crypt'],,,,,,,,
sub_40CA6C,['Crypt'],,,,,,,,
sub_408AF5,['Crypt'],,,,,,,,
sub_405315,['Crypt'],,,,,,,,
sub_40E300,['Crypt'],,,,,,,,
sub_4023B0,['Crypt'],,,,,,,,
sub_40F287,['Crypt'],,,,,,,,
sub_401379,['Crypt'],,,,,,,,
sub_407109,['Crypt'],,,,,,,,
sub_408704,['Crypt'],,,,,,,,
sub_417B9E,['Crypt'],,,,,,,,
sub_417C4E,['Crypt'],,,,,,,,
sub_41B0ED,['Crypt'],,,,,,,,
sub_41442E,['Crypt'],,,,,,,,
sub_41424C,['Crypt'],,,,,,,,
sub_4154CA,['Crypt'],,,,,,,,
sub_414BD4,['Crypt'],,,,,,,,
sub_410881,['Crypt'],,,,,,,,
sub_41A71C,['Crypt'],,,,,,,,
sub_417EC6,['Crypt'],,,,,,,,
sub_415DF4,['Crypt'],,,,,,,,
sub_415168,['Crypt'],,,,,,,,
sub_4112A8,['Crypt'],,,,,,,,
sub_41E857,['Crypt'],,,,,,,,
sub_417C7F,['Crypt'],,,,,,,,
sub_413D84,['Crypt'],,,,,,,,
sub_418389,['Crypt'],,,,,,,,
sub_41CC9F,['Crypt'],,,,,,,,
sub_411DCB,['Crypt'],,,,,,,,
sub_41F8B9,['Crypt'],,,,,,,,
sub_418252,['Crypt'],,,,,,,,
sub_41FD7C,['Crypt'],,,,,,,,
sub_41B16F,['Crypt'],,,,,,,,
