crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_1400CE2F0,['crypt'],main,['WriteFile'],sub_144CF8180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_1400CE470,['crypt'],sub_14914B670,['WriteFile'],sub_144CF8690,"['FindFirstFile', 'FindNextFile']",sub_14F3177FC,['CreateFile'],,
sub_1400CE550,['crypt'],,,sub_144CF8BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_1400CE690,['crypt'],,,,,,,,
sub_1400CE7A0,['crypt'],,,,,,,,
sub_1400CEB00,['crypt'],,,,,,,,
sub_1400CECD0,['crypt'],,,,,,,,
sub_1400CEF20,['crypt'],,,,,,,,
sub_143977080,['crypt'],,,,,,,,
sub_143977390,['crypt'],,,,,,,,
sub_143977600,['crypt'],,,,,,,,
sub_1439776D0,['crypt'],,,,,,,,
sub_143977920,['crypt'],,,,,,,,
sub_143977980,['crypt'],,,,,,,,
sub_143977A70,['crypt'],,,,,,,,
sub_143977C10,['crypt'],,,,,,,,
sub_143977FD0,['crypt'],,,,,,,,
sub_14AE740A0,['crypt'],,,,,,,,
sub_14AE74140,['crypt'],,,,,,,,
sub_14AE74290,['crypt'],,,,,,,,
sub_14AE74460,['crypt'],,,,,,,,
sub_14AE74530,['crypt'],,,,,,,,
sub_14AE747D0,['crypt'],,,,,,,,
sub_142EE70C0,['crypt'],,,,,,,,
sub_142EE7A10,['crypt'],,,,,,,,
sub_142EE7B00,['crypt'],,,,,,,,
sub_142EE7C20,['crypt'],,,,,,,,
sub_142EE7D40,['crypt'],,,,,,,,
sub_14B6F4440,['crypt'],,,,,,,,
sub_14B6F4560,['crypt'],,,,,,,,
sub_14B6F48E0,['crypt'],,,,,,,,
sub_14B6F4A70,['crypt'],,,,,,,,
sub_14B6F4BF0,['crypt'],,,,,,,,
sub_14B6F4C80,['crypt'],,,,,,,,
sub_14B6F4E90,['crypt'],,,,,,,,
sub_14B6F4FE0,['crypt'],,,,,,,,
sub_1494BB070,['crypt'],,,,,,,,
sub_1494BB1C0,['crypt'],,,,,,,,
sub_1494BB240,['crypt'],,,,,,,,
sub_1494BB2D0,['crypt'],,,,,,,,
sub_1494BB350,['crypt'],,,,,,,,
sub_1494BB650,['crypt'],,,,,,,,
sub_1494BBA60,['crypt'],,,,,,,,
sub_1494BBAB0,['crypt'],,,,,,,,
sub_1494BBB10,['crypt'],,,,,,,,
sub_1494BBBE0,['crypt'],,,,,,,,
sub_1494BBD20,['crypt'],,,,,,,,
sub_1494BBD80,['crypt'],,,,,,,,
sub_1494BBDD0,['crypt'],,,,,,,,
sub_1494BBE30,['crypt'],,,,,,,,
sub_1425EC010,['crypt'],,,,,,,,
sub_1425EC090,['crypt'],,,,,,,,
sub_1425EC0E0,['crypt'],,,,,,,,
sub_1425EC150,['crypt'],,,,,,,,
sub_1425EC1E0,['crypt'],,,,,,,,
sub_1425EC300,['crypt'],,,,,,,,
sub_1425EC380,['crypt'],,,,,,,,
sub_1425EC400,['crypt'],,,,,,,,
sub_1425EC480,['crypt'],,,,,,,,
sub_1425EC500,['crypt'],,,,,,,,
sub_1425EC580,['crypt'],,,,,,,,
sub_1425EC670,['crypt'],,,,,,,,
sub_1425EC770,['crypt'],,,,,,,,
sub_1425EC7F0,['crypt'],,,,,,,,
sub_1425EC8F0,['crypt'],,,,,,,,
sub_1425EC9F0,['crypt'],,,,,,,,
sub_1425ECA70,['crypt'],,,,,,,,
sub_1425ECCC0,['crypt'],,,,,,,,
sub_14914BA70,['crypt'],,,,,,,,
sub_14F8F3E00,['crypt'],,,,,,,,
sub_14F8F3F50,['crypt'],,,,,,,,
sub_14E0843D0,['crypt'],,,,,,,,
sub_14E084700,['crypt'],,,,,,,,
sub_14E084890,['crypt'],,,,,,,,
sub_14E084980,['crypt'],,,,,,,,
sub_14E084A60,['crypt'],,,,,,,,
sub_14E084C50,['crypt'],,,,,,,,
sub_14E084CE0,['crypt'],,,,,,,,
sub_14E084D20,['crypt'],,,,,,,,
sub_14E084D70,['crypt'],,,,,,,,
sub_1492DE1E0,['crypt'],,,,,,,,
sub_1492DE350,['crypt'],,,,,,,,
sub_1492DE520,['crypt'],,,,,,,,
sub_1492DE6E0,['crypt'],,,,,,,,
sub_1492DE7B0,['crypt'],,,,,,,,
sub_1492DE840,['crypt'],,,,,,,,
sub_14A277200,['crypt'],,,,,,,,
sub_14A2773B0,['crypt'],,,,,,,,
sub_14A2779B0,['crypt'],,,,,,,,
sub_14A277C40,['crypt'],,,,,,,,
sub_14A277CD0,['crypt'],,,,,,,,
sub_14A277D40,['crypt'],,,,,,,,
sub_14D5F4040,['crypt'],,,,,,,,
sub_14D5F4330,['crypt'],,,,,,,,
sub_14D5F4500,['crypt'],,,,,,,,
sub_14D5F4760,['crypt'],,,,,,,,
sub_14D5F48D0,['crypt'],,,,,,,,
sub_14D5F4D30,['crypt'],,,,,,,,
sub_14D5F4EA0,['crypt'],,,,,,,,
sub_14D5F4F50,['crypt'],,,,,,,,
sub_144B4B000,['crypt'],,,,,,,,
sub_144B4B0B0,['crypt'],,,,,,,,
sub_144B4B1E0,['crypt'],,,,,,,,
sub_144B4B500,['crypt'],,,,,,,,
sub_144B4B970,['crypt'],,,,,,,,
sub_144B4BA90,['crypt'],,,,,,,,
sub_144B4BD60,['crypt'],,,,,,,,
sub_144B4BE80,['crypt'],,,,,,,,
sub_144B4BFE0,['crypt'],,,,,,,,
sub_14924D1A0,['crypt'],,,,,,,,
sub_14924D2C0,['crypt'],,,,,,,,
sub_14924D430,['crypt'],,,,,,,,
sub_14924DE50,['crypt'],,,,,,,,
sub_14903EAC0,['crypt'],,,,,,,,
sub_14903EDE0,['crypt'],,,,,,,,
sub_145E27030,['crypt'],,,,,,,,
sub_145E270F0,['crypt'],,,,,,,,
sub_145E271A0,['crypt'],,,,,,,,
sub_14F2B4070,['crypt'],,,,,,,,
sub_14F2B4450,['crypt'],,,,,,,,
sub_14F2B4A80,['crypt'],,,,,,,,
sub_14DAA0EA0,['crypt'],,,,,,,,
sub_14115D1E0,['crypt'],,,,,,,,
sub_14115D380,['crypt'],,,,,,,,
sub_14115D490,['crypt'],,,,,,,,
sub_14115D9E0,['crypt'],,,,,,,,
sub_14DC714D0,['crypt'],,,,,,,,
sub_14DC71850,['crypt'],,,,,,,,
sub_14DC71930,['crypt'],,,,,,,,
sub_14DC71C70,['crypt'],,,,,,,,
sub_141A23040,['Crypt'],,,,,,,,
sub_141A23920,"['CryptReleaseContext', 'Crypt', 'CryptAcquireContext']",,,,,,,,
sub_141A23B70,['Crypt'],,,,,,,,
sub_141A23ED0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
sub_14A6F65E0,"['CryptReleaseContext', 'Crypt', 'CryptDestroyKey']",,,,,,,,
