crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D29EF,['RijnDael_AES_LONG'],sub_40EF48,['WriteFile'],sub_402530,['FindFirstFile'],sub_4232CD,['CreateFile'],,
sub_4DF271,['RijnDael_AES_inv_LONG'],sub_404539,['WriteFile'],sub_40E505,['FindFirstFile'],sub_427AE5,['CreateFile'],,
sub_4D6FDF,['crypt'],sub_42B35B,['WriteFile'],sub_4DF71A,['FindFirstFile'],sub_425D91,['ReadFile'],,
sub_4078C0,['crypt'],sub_42F3F7,['WriteFile'],sub_4D1C46,['FindFirstFile'],sub_4D820B,['CreateFile'],,
sub_4D6A17,['crypt'],sub_4D6A17,['WriteFile'],sub_4E7030,['FindFirstFile'],sub_4D08F2,"['CreateFile', 'ReadFile']",,
sub_4D3CB2,['crypt'],sub_4D3CB2,['WriteFile'],sub_4E9A1F,['FindNextFile'],sub_4078C0,"['CreateFile', 'ReadFile']",,
sub_4DD08D,['crypt'],sub_4EB82C,['WriteFile'],,,sub_4D6A17,['CreateFile'],,
sub_4E9A1F,['crypt'],sub_4E2248,['WriteFile'],,,sub_4D3CB2,['CreateFile'],,
sub_4D4153,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4E9F40,"['MoveFile', 'DeleteFile']",,,sub_4EA096,['CreateFile'],,
sub_4D32E9,Function performing Base64 encoding on input data.,,,,,sub_4EB82C,['ReadFile'],,
,,,,,,sub_4E2248,['CreateFile'],,
,,,,,,sub_4E75FF,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E009C,['CreateFile'],,
