crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D82B1,['RijnDael_AES_LONG'],sub_40E174,['WriteFile'],sub_40A64D,['FindFirstFile'],sub_42BDEF,['CreateFile'],,
sub_4D8EE7,['RijnDael_AES_inv_LONG'],sub_409AA0,['WriteFile'],sub_4092B8,['FindFirstFile'],sub_420751,['CreateFile'],,
sub_4D7AA5,['crypt'],sub_420AD2,['WriteFile'],sub_4DAE7E,['FindFirstFile'],sub_42195E,['ReadFile'],,
sub_40B679,['crypt'],sub_420615,['WriteFile'],sub_4D6A5B,['FindFirstFile'],sub_4D5600,['CreateFile'],,
sub_4DC774,['crypt'],sub_4DC774,['WriteFile'],sub_4EC051,['FindFirstFile'],sub_4D0B98,"['CreateFile', 'ReadFile']",,
sub_4D114A,['crypt'],sub_4D114A,['WriteFile'],sub_4EE4F2,['FindNextFile'],sub_40B679,"['CreateFile', 'ReadFile']",,
sub_4D4513,['crypt'],sub_4EA073,['WriteFile'],,,sub_4DC774,['CreateFile'],,
sub_4EE4F2,['crypt'],sub_4EE70E,['WriteFile'],,,sub_4D114A,['CreateFile'],,
sub_4DF088,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4EDE97,"['MoveFile', 'DeleteFile']",,,sub_4EF3F0,['CreateFile'],,
sub_4D2F56,Function performing Base64 encoding on input data.,,,,,sub_4EA073,['ReadFile'],,
,,,,,,sub_4EE70E,['CreateFile'],,
,,,,,,sub_4E3FFB,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4E1445,['CreateFile'],,
