crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_41BA34,['crypt'],sub_403EB2,['WriteFile'],,,sub_409CFF,['CreateFile'],,
sub_416398,['crypt'],sub_4064D0,['WriteFile'],,,sub_4005E9,['CreateFile'],,
sub_410D3F,['crypt'],sub_4092B7,['SaveFile'],,,StartAddress,['ReadFile'],,
sub_41F0F6,['crypt'],sub_426A39,['WriteFile'],,,sub_4092B7,['CreateFile'],,
sub_416D13,['crypt'],,,,,,,,
sub_412E2B,['crypt'],,,,,,,,
sub_41CF19,['crypt'],,,,,,,,
sub_419B31,['crypt'],,,,,,,,
sub_419C6A,['crypt'],,,,,,,,
sub_41886F,['crypt'],,,,,,,,
sub_41AE61,['crypt'],,,,,,,,
sub_410FD4,['crypt'],,,,,,,,
sub_41896D,['crypt'],,,,,,,,
sub_425215,['crypt'],,,,,,,,
sub_425A22,['crypt'],,,,,,,,
sub_42ECD6,['crypt'],,,,,,,,
sub_42E7FE,['crypt'],,,,,,,,
sub_429EB4,['crypt'],,,,,,,,
sub_424864,['crypt'],,,,,,,,
sub_426F21,['crypt'],,,,,,,,
sub_422C00,['crypt'],,,,,,,,
sub_42A310,['crypt'],,,,,,,,
sub_4241D1,['crypt'],,,,,,,,
sub_42B1F9,['crypt'],,,,,,,,
sub_419C30,"The function appears to perform a series of operations that closely resemble the structure of a cryptographic hash function algorithm, particularly one that modifies data in memory. The use of operations like bit rotation, addition, and bitwise operations in large iterative loops are characteristic of cryptographic functions.",,,,,,,,
sub_41829E,"Potential implementation of a cryptographic algorithm, likely related to a block cipher given the operations involving data transformation, bitwise operations, and multiple rounds of processing.",,,,,,,,
sub_41B631,"Potential encryption or modification of data content read into memory. The function appears to process data in blocks, which is a common characteristic of encryption algorithms.",,,,,,,,
sub_41B9BE,Potential encryption or modification of data content read into memory.,,,,,,,,
sub_41EED5,"Potential encryption or modification of data content read into memory. The function performs multiple bitwise operations, shifts, and memory manipulation indicative of cryptographic processing.",,,,,,,,
