crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_408041,['crypt'],sub_41D88D,['WriteFile'],sub_40273E,"['FindFirstFile', 'FindNextFile']",,,sub_408041,['encrypted']
sub_40692C,['crypt'],,,,,,,sub_4CEBF6,['Snapshot']
sub_406CFF,['crypt'],,,,,,,,
sub_40902D,['crypt'],,,,,,,,
sub_40AF12,['crypt'],,,,,,,,
sub_40A3C7,['crypt'],,,,,,,,
sub_408B5F,['crypt'],,,,,,,,
sub_40155A,['crypt'],,,,,,,,
sub_4026FD,['crypt'],,,,,,,,
sub_40367A,['crypt'],,,,,,,,
sub_40D5A6,['crypt'],,,,,,,,
sub_4024F6,['crypt'],,,,,,,,
sub_403631,['crypt'],,,,,,,,
sub_40578D,['crypt'],,,,,,,,
sub_408D52,['crypt'],,,,,,,,
sub_402574,['crypt'],,,,,,,,
sub_4081F0,['crypt'],,,,,,,,
sub_40A5F3,['crypt'],,,,,,,,
sub_40FD08,['crypt'],,,,,,,,
sub_40D593,['crypt'],,,,,,,,
sub_4089DA,['crypt'],,,,,,,,
sub_4016A3,['crypt'],,,,,,,,
sub_4067AF,['crypt'],,,,,,,,
sub_40EE5F,['crypt'],,,,,,,,
sub_401F6E,['crypt'],,,,,,,,
sub_41E29A,['crypt'],,,,,,,,
sub_412803,['crypt'],,,,,,,,
sub_413875,['crypt'],,,,,,,,
sub_41CB53,['crypt'],,,,,,,,
sub_41FF83,['crypt'],,,,,,,,
sub_417882,['crypt'],,,,,,,,
sub_4144E1,['crypt'],,,,,,,,
sub_418C23,['crypt'],,,,,,,,
sub_41BEB5,['crypt'],,,,,,,,
sub_41782B,['crypt'],,,,,,,,
sub_414C05,['crypt'],,,,,,,,
sub_41ED65,['crypt'],,,,,,,,
sub_4163E8,['crypt'],,,,,,,,
sub_4152C5,['crypt'],,,,,,,,
sub_417D6B,['crypt'],,,,,,,,
sub_41CFC9,['crypt'],,,,,,,,
sub_41CF37,['crypt'],,,,,,,,
sub_410C05,['crypt'],,,,,,,,
sub_410D4D,['crypt'],,,,,,,,
sub_41EC83,['crypt'],,,,,,,,
sub_415033,['crypt'],,,,,,,,
sub_413CDE,['crypt'],,,,,,,,
sub_418E42,['crypt'],,,,,,,,
sub_414537,['crypt'],,,,,,,,
sub_41DA9B,['crypt'],,,,,,,,
sub_416B62,['crypt'],,,,,,,,
sub_412273,['crypt'],,,,,,,,
sub_410978,['crypt'],,,,,,,,
sub_41DA39,['crypt'],,,,,,,,
sub_417DA4,['crypt'],,,,,,,,
