crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_407714,['Crypt'],sub_40CB00,['WriteFile'],sub_4099B0,"['FindFirstFile', 'FindNextFile']",sub_40EF70,['CreateFile'],sub_40A9AE,['Snapshot']
sub_40A492,['Crypt'],,,,,sub_40E291,['CreateFile'],,
sub_40CC35,['Crypt'],,,,,sub_40C075,['ReadFile'],,
sub_401D04,['Crypt'],,,,,,,,
sub_407E1F,['Crypt'],,,,,,,,
sub_40FBCA,['Crypt'],,,,,,,,
sub_4085CF,['Crypt'],,,,,,,,
sub_405B74,['Crypt'],,,,,,,,
sub_404FF1,['Crypt'],,,,,,,,
sub_407A70,['Crypt'],,,,,,,,
sub_408E31,['Crypt'],,,,,,,,
sub_40B3A4,['Crypt'],,,,,,,,
sub_4045E1,['Crypt'],,,,,,,,
sub_4074F2,['Crypt'],,,,,,,,
sub_4035CB,['Crypt'],,,,,,,,
sub_40B4FF,['Crypt'],,,,,,,,
sub_406AE9,['Crypt'],,,,,,,,
sub_401AB6,['Crypt'],,,,,,,,
sub_40BD1E,['Crypt'],,,,,,,,
sub_40F551,['Crypt'],,,,,,,,
sub_40E5C4,['Crypt'],,,,,,,,
sub_4034FD,['Crypt'],,,,,,,,
sub_40F2AA,['Crypt'],,,,,,,,
sub_409E7E,['Crypt'],,,,,,,,
sub_407A4E,['Crypt'],,,,,,,,
sub_40F47E,['Crypt'],,,,,,,,
sub_4036F2,['Crypt'],,,,,,,,
sub_403A6A,['Crypt'],,,,,,,,
sub_4076FE,['Crypt'],,,,,,,,
sub_403532,['Crypt'],,,,,,,,
sub_40EA10,['Crypt'],,,,,,,,
sub_4017E0,['Crypt'],,,,,,,,
sub_40528E,['Crypt'],,,,,,,,
sub_4068AF,['Crypt'],,,,,,,,
sub_401920,['Crypt'],,,,,,,,
sub_40B04C,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4049E0,['Crypt'],,,,,,,,
sub_408A91,['Crypt'],,,,,,,,
sub_40E38D,['Crypt'],,,,,,,,
sub_404E1D,['Crypt'],,,,,,,,
sub_4010AD,['Crypt'],,,,,,,,
sub_40BA4A,['Crypt'],,,,,,,,
sub_40AF22,['Crypt'],,,,,,,,
sub_400CBB,['Crypt'],,,,,,,,
sub_4087F0,['Crypt'],,,,,,,,
sub_40C55F,['Crypt'],,,,,,,,
sub_40700E,['Crypt'],,,,,,,,
sub_40F343,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_408715,['Crypt'],,,,,,,,
sub_40A64D,['Crypt'],,,,,,,,
sub_4092DB,['Crypt'],,,,,,,,
sub_40CF28,['Crypt'],,,,,,,,
sub_40A1D1,['Crypt'],,,,,,,,
sub_4047A4,['Crypt'],,,,,,,,
sub_403E0D,['Crypt'],,,,,,,,
sub_401047,['Crypt'],,,,,,,,
sub_401468,['Crypt'],,,,,,,,
sub_403A60,['Crypt'],,,,,,,,
sub_40DF06,['Crypt'],,,,,,,,
sub_40599D,['Crypt'],,,,,,,,
sub_40DA2D,['Crypt'],,,,,,,,
sub_40CFDF,['Crypt'],,,,,,,,
sub_403DBD,['Crypt'],,,,,,,,
sub_408620,['Crypt'],,,,,,,,
sub_40E455,['Crypt'],,,,,,,,
sub_40E8E3,['Crypt'],,,,,,,,
sub_40358C,['Crypt'],,,,,,,,
sub_403473,['Crypt'],,,,,,,,
sub_409485,['Crypt'],,,,,,,,
sub_401F04,['Crypt'],,,,,,,,
sub_40FE83,['Crypt'],,,,,,,,
sub_40AFB6,['Crypt'],,,,,,,,
sub_402910,['Crypt'],,,,,,,,
sub_400289,['Crypt'],,,,,,,,
sub_409627,['Crypt'],,,,,,,,
sub_405D54,['Crypt'],,,,,,,,
sub_40BA18,['Crypt'],,,,,,,,
sub_4008D3,['Crypt'],,,,,,,,
sub_40280D,['Crypt'],,,,,,,,
sub_401F1B,['Crypt'],,,,,,,,
sub_402783,['Crypt'],,,,,,,,
sub_402F0F,['Crypt'],,,,,,,,
sub_409895,['Crypt'],,,,,,,,
sub_403896,['Crypt'],,,,,,,,
sub_40A124,['Crypt'],,,,,,,,
sub_4089D4,"['crypt', 'Crypt']",,,,,,,,
sub_40B392,['Crypt'],,,,,,,,
sub_40B7A4,['Crypt'],,,,,,,,
sub_407953,['Crypt'],,,,,,,,
sub_40E3DD,['Crypt'],,,,,,,,
sub_40B863,['Crypt'],,,,,,,,
sub_40E98B,['Crypt'],,,,,,,,
sub_40A492,['Crypt'],,,,,,,,
sub_40A4EE,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_401B47,['Crypt'],,,,,,,,
sub_40B15B,['Crypt'],,,,,,,,
sub_407EDC,['Crypt'],,,,,,,,
sub_407735,['Crypt'],,,,,,,,
sub_409064,['Crypt'],,,,,,,,
sub_40F6A7,['Crypt'],,,,,,,,
sub_4018E2,['Crypt'],,,,,,,,
sub_40DD34,['Crypt'],,,,,,,,
sub_40ED6E,['Crypt'],,,,,,,,
sub_401E79,['Crypt'],,,,,,,,
sub_40A7E0,['Crypt'],,,,,,,,
sub_405E5C,['Crypt'],,,,,,,,
sub_40CBC8,['Crypt'],,,,,,,,
sub_40805F,['Crypt'],,,,,,,,
sub_4048B3,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40EF33,['Crypt'],,,,,,,,
sub_40454C,['Crypt'],,,,,,,,
sub_40F5E1,['Crypt'],,,,,,,,
sub_40CA83,['Crypt'],,,,,,,,
sub_409BDC,['Crypt'],,,,,,,,
sub_407C20,['Crypt'],,,,,,,,
sub_4010BB,['Crypt'],,,,,,,,
sub_40B7D0,['Crypt'],,,,,,,,
sub_408DDF,['Crypt'],,,,,,,,
sub_40A9B0,['Crypt'],,,,,,,,
sub_406CD8,['Crypt'],,,,,,,,
sub_40629B,['Crypt'],,,,,,,,
sub_4076DF,['Crypt'],,,,,,,,
sub_40EEAF,['Crypt'],,,,,,,,
sub_404B0B,['Crypt'],,,,,,,,
sub_4070C5,['Crypt'],,,,,,,,
sub_40DC47,['Crypt'],,,,,,,,
sub_40A133,['Crypt'],,,,,,,,
sub_40B8B6,['Crypt'],,,,,,,,
sub_409645,['Crypt'],,,,,,,,
sub_406410,['Crypt'],,,,,,,,
sub_40E0E0,['Crypt'],,,,,,,,
sub_405174,['Crypt'],,,,,,,,
sub_4092A1,['Crypt'],,,,,,,,
sub_40F8DA,['Crypt'],,,,,,,,
sub_411642,['Crypt'],,,,,,,,
sub_41ACBA,['Crypt'],,,,,,,,
sub_418B8A,['Crypt'],,,,,,,,
sub_4167D6,['Crypt'],,,,,,,,
sub_41C350,['Crypt'],,,,,,,,
sub_4159C8,['Crypt'],,,,,,,,
sub_41C530,['Crypt'],,,,,,,,
sub_41F265,['Crypt'],,,,,,,,
sub_414A88,['Crypt'],,,,,,,,
sub_41EB67,['Crypt'],,,,,,,,
sub_4181FA,['Crypt'],,,,,,,,
sub_419A77,['Crypt'],,,,,,,,
sub_41C249,['Crypt'],,,,,,,,
sub_4167EE,['Crypt'],,,,,,,,
sub_41EE94,['Crypt'],,,,,,,,
sub_41D26A,['Crypt'],,,,,,,,
sub_41FD75,['Crypt'],,,,,,,,
sub_411D55,['Crypt'],,,,,,,,
sub_41F802,['Crypt'],,,,,,,,
sub_415465,['Crypt'],,,,,,,,
sub_413174,['Crypt'],,,,,,,,
sub_419AA4,['Crypt'],,,,,,,,
sub_4183A5,['Crypt'],,,,,,,,
sub_41F2E9,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41AB91,['Crypt'],,,,,,,,
sub_41B493,['Crypt'],,,,,,,,
sub_418ECC,['Crypt'],,,,,,,,
sub_41C0A9,['Crypt'],,,,,,,,
sub_41F663,['Crypt'],,,,,,,,
sub_410F7C,['Crypt'],,,,,,,,
sub_41DA51,['Crypt'],,,,,,,,
sub_41F314,['Crypt'],,,,,,,,
sub_411913,['Crypt'],,,,,,,,
sub_4148FF,['Crypt'],,,,,,,,
sub_41E265,['Crypt'],,,,,,,,
sub_41B1EA,['Crypt'],,,,,,,,
sub_4172AD,['Crypt'],,,,,,,,
sub_418369,['Crypt'],,,,,,,,
sub_4197F7,"['Crypt', 'CryptAcquireContext']",,,,,,,,
sub_41C5A1,['Crypt'],,,,,,,,
sub_41ED30,['Crypt'],,,,,,,,
sub_416E9D,['Crypt'],,,,,,,,
sub_4134C8,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_41F457,['Crypt'],,,,,,,,
sub_4108E2,"['CryptGenRandom', 'Crypt']",,,,,,,,
sub_4121BE,['Crypt'],,,,,,,,
sub_41137C,['Crypt'],,,,,,,,
sub_4154B8,['RijnDael_AES_inv_LONG'],,,,,,,,
sub_41AC06,['RijnDael_AES_LONG'],,,,,,,,
sub_42B8FC,['RijnDael_AES_LONG'],,,,,,,,
sub_4249C2,['Crypt'],,,,,,,,
sub_422C72,['Crypt'],,,,,,,,
sub_42F45C,['Crypt'],,,,,,,,
sub_422836,['Crypt'],,,,,,,,
sub_429A86,['Crypt'],,,,,,,,
sub_42E5ED,['Crypt'],,,,,,,,
sub_4270B0,['Crypt'],,,,,,,,
sub_4263CC,['Crypt'],,,,,,,,
sub_42061A,['Crypt'],,,,,,,,
sub_4203B2,['Crypt'],,,,,,,,
sub_42FB3B,['Crypt'],,,,,,,,
sub_42997D,['Crypt'],,,,,,,,
sub_426FBB,['Crypt'],,,,,,,,
sub_4294B0,['Crypt'],,,,,,,,
sub_42C9BC,['Crypt'],,,,,,,,
sub_4359C2,['advapi32.dll'],,,,,,,,
sub_4678B0,['Crypt'],,,,,,,,
sub_46AC8D,['Crypt'],,,,,,,,
sub_46CB10,['Crypt'],,,,,,,,
sub_469AF8,['Crypt'],,,,,,,,
sub_46156E,['Crypt'],,,,,,,,
sub_46B265,['Crypt'],,,,,,,,
sub_46DF4D,['Crypt'],,,,,,,,
sub_467953,['Crypt'],,,,,,,,
sub_4691B7,['Crypt'],,,,,,,,
sub_463841,['Crypt'],,,,,,,,
sub_4667D0,['Crypt'],,,,,,,,
sub_469FD5,['Crypt'],,,,,,,,
sub_46612A,['Crypt'],,,,,,,,
sub_469A92,['Crypt'],,,,,,,,
