crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40671C,['Crypt'],sub_40968B,['WriteFile'],sub_405DBD,"['FindFirstFile', 'FindNextFile']",sub_401A63,['CreateFile'],sub_402EB0,['Snapshot']
sub_40B2BF,['Crypt'],,,,,sub_40396A,['CreateFile'],,
sub_40ED9A,['Crypt'],,,,,sub_40762F,['ReadFile'],,
sub_402A4B,['Crypt'],,,,,,,,
sub_40CF6E,['Crypt'],,,,,,,,
sub_403270,['Crypt'],,,,,,,,
sub_407ACD,['Crypt'],,,,,,,,
sub_40D6F8,['Crypt'],,,,,,,,
sub_40FF0C,['Crypt'],,,,,,,,
sub_40E68B,['Crypt'],,,,,,,,
sub_40886F,['Crypt'],,,,,,,,
sub_40FAFA,['Crypt'],,,,,,,,
sub_40B683,['Crypt'],,,,,,,,
sub_4048CB,['Crypt'],,,,,,,,
sub_4034B0,['Crypt'],,,,,,,,
sub_40B035,['Crypt'],,,,,,,,
sub_40B211,['Crypt'],,,,,,,,
sub_409C57,['Crypt'],,,,,,,,
sub_40053A,['Crypt'],,,,,,,,
sub_405F55,['Crypt'],,,,,,,,
sub_408159,['Crypt'],,,,,,,,
sub_40C7E4,['Crypt'],,,,,,,,
sub_4096F8,['Crypt'],,,,,,,,
sub_40EEF4,['Crypt'],,,,,,,,
sub_40A886,['Crypt'],,,,,,,,
sub_4001F3,['Crypt'],,,,,,,,
sub_40BCF7,['Crypt'],,,,,,,,
sub_40B503,['Crypt'],,,,,,,,
sub_40D430,['Crypt'],,,,,,,,
sub_40E37B,['Crypt'],,,,,,,,
sub_4002F0,['Crypt'],,,,,,,,
sub_40728C,['Crypt'],,,,,,,,
sub_4016F4,['Crypt'],,,,,,,,
sub_40BDC2,['Crypt'],,,,,,,,
sub_40BC95,['Crypt'],,,,,,,,
sub_407EC6,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40A5C7,['Crypt'],,,,,,,,
sub_406DD8,['Crypt'],,,,,,,,
sub_403116,['Crypt'],,,,,,,,
sub_40CEF1,['Crypt'],,,,,,,,
sub_406D97,['Crypt'],,,,,,,,
sub_404A6E,['Crypt'],,,,,,,,
sub_403E4B,['Crypt'],,,,,,,,
sub_40C237,['Crypt'],,,,,,,,
sub_4060C4,['Crypt'],,,,,,,,
sub_4019B8,['Crypt'],,,,,,,,
sub_4052AA,['Crypt'],,,,,,,,
sub_40A4F4,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_408684,['Crypt'],,,,,,,,
sub_407462,['Crypt'],,,,,,,,
sub_40FA9E,['Crypt'],,,,,,,,
sub_4078C6,['Crypt'],,,,,,,,
sub_40A6AF,['Crypt'],,,,,,,,
sub_407BD6,['Crypt'],,,,,,,,
sub_40215F,['Crypt'],,,,,,,,
sub_40AB26,['Crypt'],,,,,,,,
sub_404C1D,['Crypt'],,,,,,,,
sub_40C431,['Crypt'],,,,,,,,
sub_404A9A,['Crypt'],,,,,,,,
sub_4071D5,['Crypt'],,,,,,,,
sub_4087F1,['Crypt'],,,,,,,,
sub_4019D1,['Crypt'],,,,,,,,
