crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_408C5E,['Crypt'],,,sub_400845,"['FindFirstFile', 'FindNextFile']",,,sub_40AB42,['Snapshot']
sub_40B5F3,['Crypt'],,,sub_40151A,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_405AD3,['Crypt'],,,sub_40C675,"['FindFirstFile', 'FindNextFile']",,,sub_45A663,['encrypted']
sub_40C71E,['Crypt'],,,sub_40567B,"['FindFirstFile', 'FindNextFile']",,,,
sub_405A97,['Crypt'],,,sub_40898D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C62A,['Crypt'],,,sub_40EEC7,"['FindFirstFile', 'FindNextFile']",,,,
sub_406474,['Crypt'],,,sub_401EC7,"['FindFirstFile', 'FindNextFile']",,,,
sub_400907,['Crypt'],,,sub_412338,"['FindFirstFile', 'FindNextFile']",,,,
sub_40AAEB,['Crypt'],,,sub_4106B3,"['FindFirstFile', 'FindNextFile']",,,,
sub_409B52,['Crypt'],,,sub_418BD7,"['FindFirstFile', 'FindNextFile']",,,,
sub_403A55,['Crypt'],,,,,,,,
sub_40E59A,['Crypt'],,,,,,,,
sub_4055DF,['Crypt'],,,,,,,,
sub_407794,['Crypt'],,,,,,,,
sub_405430,['Crypt'],,,,,,,,
sub_40403D,['Crypt'],,,,,,,,
sub_4088A5,['Crypt'],,,,,,,,
sub_40B68A,['Crypt'],,,,,,,,
sub_407BF9,['Crypt'],,,,,,,,
sub_40BFB8,['Crypt'],,,,,,,,
sub_406EC4,['Crypt'],,,,,,,,
sub_405C2A,['Crypt'],,,,,,,,
sub_40A479,['Crypt'],,,,,,,,
sub_40F0AC,['Crypt'],,,,,,,,
sub_409B10,['Crypt'],,,,,,,,
sub_4089DB,['Crypt'],,,,,,,,
sub_405440,['Crypt'],,,,,,,,
sub_40B867,['Crypt'],,,,,,,,
sub_408668,['Crypt'],,,,,,,,
sub_40606A,['Crypt'],,,,,,,,
sub_400445,['Crypt'],,,,,,,,
sub_4076C7,['Crypt'],,,,,,,,
sub_4075A3,['Crypt'],,,,,,,,
sub_405A24,['Crypt'],,,,,,,,
sub_409001,['Crypt'],,,,,,,,
sub_4084AB,['Crypt'],,,,,,,,
sub_407B60,['Crypt'],,,,,,,,
sub_402F2D,['Crypt'],,,,,,,,
sub_40D0B7,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40E9A8,['Crypt'],,,,,,,,
sub_40E7AF,['Crypt'],,,,,,,,
sub_40BFD5,['Crypt'],,,,,,,,
sub_4060B1,['Crypt'],,,,,,,,
sub_402635,['Crypt'],,,,,,,,
sub_4033E5,['Crypt'],,,,,,,,
sub_40FF4C,['Crypt'],,,,,,,,
sub_405F7A,['Crypt'],,,,,,,,
sub_400819,['Crypt'],,,,,,,,
sub_408B1F,['Crypt'],,,,,,,,
sub_40CF05,['Crypt'],,,,,,,,
sub_40C74E,['Crypt'],,,,,,,,
sub_401E1A,['Crypt'],,,,,,,,
sub_404ADB,['Crypt'],,,,,,,,
sub_40BD71,['Crypt'],,,,,,,,
sub_4011E5,['Crypt'],,,,,,,,
sub_40E1A8,['Crypt'],,,,,,,,
sub_4010CA,['Crypt'],,,,,,,,
sub_40BF98,['Crypt'],,,,,,,,
sub_4029E8,['Crypt'],,,,,,,,
sub_40CB7B,['Crypt'],,,,,,,,
sub_408A00,['Crypt'],,,,,,,,
sub_400231,['Crypt'],,,,,,,,
sub_40A5F9,['Crypt'],,,,,,,,
sub_4011B3,['Crypt'],,,,,,,,
sub_40815C,['Crypt'],,,,,,,,
sub_40E78B,['Crypt'],,,,,,,,
sub_405E9E,['Crypt'],,,,,,,,
sub_405F29,['Crypt'],,,,,,,,
sub_402522,['Crypt'],,,,,,,,
sub_400845,['crypt'],,,,,,,,
sub_412338,['crypt'],,,,,,,,
sub_4106B3,['crypt'],,,,,,,,
sub_41B314,['Crypt'],,,,,,,,
sub_41C48C,['Crypt'],,,,,,,,
sub_41E50A,['Crypt'],,,,,,,,
sub_41C988,['Crypt'],,,,,,,,
sub_41BC44,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_415166,['Crypt'],,,,,,,,
sub_414DD2,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41AD7D,['Crypt'],,,,,,,,
sub_4177BF,['Crypt'],,,,,,,,
sub_419A76,['Crypt'],,,,,,,,
sub_41D96A,['Crypt'],,,,,,,,
sub_41DA28,['Crypt'],,,,,,,,
sub_414E5E,['Crypt'],,,,,,,,
sub_412B3C,['Crypt'],,,,,,,,
sub_41EB81,['Crypt'],,,,,,,,
sub_413FCD,['Crypt'],,,,,,,,
sub_41C5B2,['Crypt'],,,,,,,,
sub_417EE5,['Crypt'],,,,,,,,
sub_4140C4,['Crypt'],,,,,,,,
sub_412BEE,['Crypt'],,,,,,,,
sub_413D72,['Crypt'],,,,,,,,
sub_41023D,['Crypt'],,,,,,,,
sub_41A641,['Crypt'],,,,,,,,
sub_418C15,['Crypt'],,,,,,,,
sub_4110B8,['Crypt'],,,,,,,,
sub_4146D7,['Crypt'],,,,,,,,
sub_41FE16,['Crypt'],,,,,,,,
sub_41D1DC,['Crypt'],,,,,,,,
sub_41D4B4,['Crypt'],,,,,,,,
sub_4173C1,['Crypt'],,,,,,,,
sub_41D19C,['Crypt'],,,,,,,,
sub_41A3C7,['Crypt'],,,,,,,,
sub_428D89,['Crypt'],,,,,,,,
sub_42D0B7,['Crypt'],,,,,,,,
sub_428FE0,['Crypt'],,,,,,,,
sub_42EC75,['Crypt'],,,,,,,,
sub_4202C3,['Crypt'],,,,,,,,
sub_425DD3,['Crypt'],,,,,,,,
sub_4201BB,['Crypt'],,,,,,,,
sub_420C17,['Crypt'],,,,,,,,
sub_428EEF,['Crypt'],,,,,,,,
sub_42751C,['Crypt'],,,,,,,,
sub_42546A,['Crypt'],,,,,,,,
sub_4225F6,['Crypt'],,,,,,,,
sub_4290B1,['Crypt'],,,,,,,,
sub_43149B,['Crypt'],,,,,,,,
sub_43D132,['Crypt'],,,,,,,,
sub_43B673,['Crypt'],,,,,,,,
sub_431AFB,['Crypt'],,,,,,,,
sub_4348C8,['Crypt'],,,,,,,,
sub_43CAC5,['Crypt'],,,,,,,,
