crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40CA61,['RijnDael_AES_LONG'],Function,"['MoveFile', 'WriteFile']",sub_40DF07,"['FindFirstFile', 'FindNextFile']",Function,['ReadFile'],WinMain,"['Snapshot', 'encrypted']"
sub_4014AA,['RijnDael_AES_LONG'],sub_4063BA,['WriteFile'],sub_4063BA,"['FindFirstFile', 'FindNextFile']",sub_40DF07,['CreateFile'],,
Function,['crypt'],,,,,sub_4063BA,['CreateFile'],,
sub_40E86C,['salsa20'],,,,,,,,
WinMain,['crypt'],,,,,,,,
sub_40C980,Potential encryption or modification of data content read into memory. The function involves bitwise rotations and multiple variable manipulations which are common in encryption algorithms.,,,,,,,,
sub_404FF4,"The function appears to perform operations consistent with a block cipher encryption algorithm, involving bitwise operations, rotations, and additions commonly seen in cryptographic functions.",,,,,,,,
sub_40FFF1,This function appears to involve bitwise operations and data shifting which are characteristic of certain encryption algorithms.,,,,,,,,
sub_40E3F2,"Potential encryption or modification of data content read into memory. The function appears to modify memory content using XOR operations based on processed data, which is indicative of encryption algorithms.",,,,,,,,
sub_400155,"Potential encryption or modification of data content read into memory. The function involves several bitwise operations, allocations, and deallocations, which are typical in some encryption algorithms.",,,,,,,,
