crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404E59,['Crypt'],,,sub_40271E,"['FindFirstFile', 'FindNextFile']",,,sub_4059D0,['Snapshot']
sub_4044CC,['Crypt'],,,sub_40C174,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40584E,['Crypt'],,,sub_409BA7,"['FindFirstFile', 'FindNextFile']",,,sub_45C29C,['encrypted']
sub_40BCB5,['Crypt'],,,sub_40826E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D914,['Crypt'],,,sub_404183,"['FindFirstFile', 'FindNextFile']",,,,
sub_40941C,['Crypt'],,,sub_40C691,"['FindFirstFile', 'FindNextFile']",,,,
sub_40B94C,['Crypt'],,,sub_400B23,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C541,['Crypt'],,,sub_411613,"['FindFirstFile', 'FindNextFile']",,,,
sub_405A99,['Crypt'],,,sub_4131A5,"['FindFirstFile', 'FindNextFile']",,,,
sub_40639F,['Crypt'],,,sub_411437,"['FindFirstFile', 'FindNextFile']",,,,
sub_406796,['Crypt'],,,,,,,,
sub_405BCF,['Crypt'],,,,,,,,
sub_402E90,['Crypt'],,,,,,,,
sub_402084,['Crypt'],,,,,,,,
sub_400E27,['Crypt'],,,,,,,,
sub_400E60,['Crypt'],,,,,,,,
sub_40C806,['Crypt'],,,,,,,,
sub_40E373,['Crypt'],,,,,,,,
sub_403713,['Crypt'],,,,,,,,
sub_40169A,['Crypt'],,,,,,,,
sub_407E47,['Crypt'],,,,,,,,
sub_40F964,['Crypt'],,,,,,,,
sub_40775B,['Crypt'],,,,,,,,
sub_405102,['Crypt'],,,,,,,,
sub_407E3B,['Crypt'],,,,,,,,
sub_400B20,['Crypt'],,,,,,,,
sub_400A4A,['Crypt'],,,,,,,,
sub_40A303,['Crypt'],,,,,,,,
sub_408575,['Crypt'],,,,,,,,
sub_405683,['Crypt'],,,,,,,,
sub_40C109,['Crypt'],,,,,,,,
sub_40FFED,['Crypt'],,,,,,,,
sub_408883,['Crypt'],,,,,,,,
sub_4047D3,['Crypt'],,,,,,,,
sub_407539,['Crypt'],,,,,,,,
sub_40907E,['Crypt'],,,,,,,,
sub_40A8EA,['Crypt'],,,,,,,,
sub_405290,['Crypt'],,,,,,,,
sub_40B846,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40AFDB,['Crypt'],,,,,,,,
sub_400841,['Crypt'],,,,,,,,
sub_40A834,['Crypt'],,,,,,,,
sub_406A02,['Crypt'],,,,,,,,
sub_40EE41,['Crypt'],,,,,,,,
sub_40BDE1,['Crypt'],,,,,,,,
sub_40A58B,['Crypt'],,,,,,,,
sub_4056BF,['Crypt'],,,,,,,,
sub_401EA1,['Crypt'],,,,,,,,
sub_40B4E3,['Crypt'],,,,,,,,
sub_402E79,['Crypt'],,,,,,,,
sub_400C1F,['Crypt'],,,,,,,,
sub_40D115,['Crypt'],,,,,,,,
sub_40BA5D,['Crypt'],,,,,,,,
sub_40C7C4,['Crypt'],,,,,,,,
sub_409BCE,['Crypt'],,,,,,,,
sub_401F0F,['Crypt'],,,,,,,,
sub_4090C8,['Crypt'],,,,,,,,
sub_40A76E,['Crypt'],,,,,,,,
sub_40D81D,['Crypt'],,,,,,,,
sub_40D94E,['Crypt'],,,,,,,,
sub_40E8D0,['Crypt'],,,,,,,,
sub_40097D,['Crypt'],,,,,,,,
sub_40903C,['Crypt'],,,,,,,,
sub_40F6DA,['Crypt'],,,,,,,,
sub_40F0B2,['Crypt'],,,,,,,,
sub_40B2B1,['Crypt'],,,,,,,,
sub_4010FE,['Crypt'],,,,,,,,
sub_40FD5F,['Crypt'],,,,,,,,
sub_40C57F,['Crypt'],,,,,,,,
sub_40271E,['crypt'],,,,,,,,
sub_411613,['crypt'],,,,,,,,
sub_4131A5,['crypt'],,,,,,,,
sub_41C106,['Crypt'],,,,,,,,
sub_41B1C5,['Crypt'],,,,,,,,
sub_413466,['Crypt'],,,,,,,,
sub_41A214,['Crypt'],,,,,,,,
sub_417944,['Crypt'],,,,,,,,
main,"['crypt', 'Encrypt']",,,,,,,,
sub_4166FF,['Crypt'],,,,,,,,
sub_413184,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_41EF68,['Crypt'],,,,,,,,
sub_413D4E,['Crypt'],,,,,,,,
sub_41490C,['Crypt'],,,,,,,,
sub_412B39,['Crypt'],,,,,,,,
sub_41316C,['Crypt'],,,,,,,,
sub_41EB83,['Crypt'],,,,,,,,
sub_41643B,['Crypt'],,,,,,,,
sub_41056B,['Crypt'],,,,,,,,
sub_412C8C,['Crypt'],,,,,,,,
sub_415DEE,['Crypt'],,,,,,,,
sub_419703,['Crypt'],,,,,,,,
sub_41C9A3,['Crypt'],,,,,,,,
sub_415FD2,['Crypt'],,,,,,,,
sub_41A36B,['Crypt'],,,,,,,,
sub_41D59B,['Crypt'],,,,,,,,
sub_41337B,['Crypt'],,,,,,,,
sub_412426,['Crypt'],,,,,,,,
sub_416EFE,['Crypt'],,,,,,,,
sub_411EEA,['Crypt'],,,,,,,,
sub_4154F4,['Crypt'],,,,,,,,
sub_413DF4,['Crypt'],,,,,,,,
