crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40F1CB,['Crypt'],sub_4054DB,['WriteFile'],sub_40FA1F,"['FindFirstFile', 'FindNextFile']",sub_407DF8,['CreateFile'],sub_40728A,['Snapshot']
sub_40223D,['Crypt'],,,,,sub_40F808,['CreateFile'],,
sub_405B2F,['Crypt'],,,,,sub_405C54,['ReadFile'],,
sub_407BC2,['Crypt'],,,,,,,,
sub_407138,['Crypt'],,,,,,,,
sub_40F79F,['Crypt'],,,,,,,,
sub_402F41,['Crypt'],,,,,,,,
sub_409BA8,['Crypt'],,,,,,,,
sub_4043DE,['Crypt'],,,,,,,,
sub_40CA73,['Crypt'],,,,,,,,
sub_40B312,['Crypt'],,,,,,,,
sub_407840,['Crypt'],,,,,,,,
sub_4080CE,['Crypt'],,,,,,,,
sub_4074BE,['Crypt'],,,,,,,,
sub_40E9E6,['Crypt'],,,,,,,,
sub_40F99A,['Crypt'],,,,,,,,
sub_409640,['Crypt'],,,,,,,,
sub_40E9AB,['Crypt'],,,,,,,,
sub_400341,['Crypt'],,,,,,,,
sub_403A28,['Crypt'],,,,,,,,
sub_406822,['Crypt'],,,,,,,,
sub_4097C7,['Crypt'],,,,,,,,
sub_4089DB,['Crypt'],,,,,,,,
sub_40190C,['Crypt'],,,,,,,,
sub_409AC4,['Crypt'],,,,,,,,
sub_409B51,['Crypt'],,,,,,,,
sub_40C8B2,['Crypt'],,,,,,,,
sub_4062DC,['Crypt'],,,,,,,,
sub_400D9F,['Crypt'],,,,,,,,
sub_400C81,['Crypt'],,,,,,,,
sub_401B01,['Crypt'],,,,,,,,
sub_40A4C8,['Crypt'],,,,,,,,
sub_4070FD,['Crypt'],,,,,,,,
sub_40B064,['Crypt'],,,,,,,,
sub_40FE32,['Crypt'],,,,,,,,
sub_40832B,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4042E2,['Crypt'],,,,,,,,
sub_405C8D,['Crypt'],,,,,,,,
sub_40718E,['Crypt'],,,,,,,,
sub_403614,['Crypt'],,,,,,,,
sub_40E3A6,['Crypt'],,,,,,,,
sub_40A254,['Crypt'],,,,,,,,
sub_401405,['Crypt'],,,,,,,,
sub_40FB2B,['Crypt'],,,,,,,,
sub_408545,['Crypt'],,,,,,,,
sub_408BBE,['Crypt'],,,,,,,,
sub_403596,['Crypt'],,,,,,,,
sub_4031EB,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_408B00,['Crypt'],,,,,,,,
sub_40DDAE,['Crypt'],,,,,,,,
sub_408EF1,['Crypt'],,,,,,,,
sub_408CCD,['Crypt'],,,,,,,,
sub_408F6C,['Crypt'],,,,,,,,
sub_400BD5,['Crypt'],,,,,,,,
sub_404A6C,['Crypt'],,,,,,,,
sub_401B93,['Crypt'],,,,,,,,
sub_406036,['Crypt'],,,,,,,,
sub_407F06,['Crypt'],,,,,,,,
