crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_404F86,['crypt'],sub_4100EA,['WriteFile'],sub_4055A1,"['FindFirstFile', 'FindNextFile']",,,sub_404F86,['encrypted']
sub_404A88,['crypt'],,,,,,,sub_4C7B89,['Snapshot']
sub_406259,['crypt'],,,,,,,,
sub_401A14,['crypt'],,,,,,,,
sub_40215B,['crypt'],,,,,,,,
sub_40CEE1,['crypt'],,,,,,,,
sub_40EB9F,['crypt'],,,,,,,,
sub_407462,['crypt'],,,,,,,,
sub_4031F2,['crypt'],,,,,,,,
sub_40D804,['crypt'],,,,,,,,
sub_401CDB,['crypt'],,,,,,,,
sub_40CA6F,['crypt'],,,,,,,,
sub_40936E,['crypt'],,,,,,,,
sub_40E27E,['crypt'],,,,,,,,
sub_409E97,['crypt'],,,,,,,,
sub_407D8F,['crypt'],,,,,,,,
sub_40E97A,['crypt'],,,,,,,,
sub_401674,['crypt'],,,,,,,,
sub_40903D,['crypt'],,,,,,,,
sub_402650,['crypt'],,,,,,,,
sub_40E2FB,['crypt'],,,,,,,,
sub_40C725,['crypt'],,,,,,,,
sub_4036FE,['crypt'],,,,,,,,
sub_40F209,['crypt'],,,,,,,,
sub_405986,['crypt'],,,,,,,,
sub_41FA11,['crypt'],,,,,,,,
sub_41AC4E,['crypt'],,,,,,,,
sub_413F58,['crypt'],,,,,,,,
sub_41E788,['crypt'],,,,,,,,
sub_41E3EE,['crypt'],,,,,,,,
sub_419AE9,['crypt'],,,,,,,,
sub_41A234,['crypt'],,,,,,,,
sub_413B14,['crypt'],,,,,,,,
sub_41CC5E,['crypt'],,,,,,,,
sub_41F18B,['crypt'],,,,,,,,
sub_41AA7E,['crypt'],,,,,,,,
sub_41AA94,['crypt'],,,,,,,,
sub_413988,['crypt'],,,,,,,,
sub_41FEC1,['crypt'],,,,,,,,
sub_413599,['crypt'],,,,,,,,
sub_41CFDB,['crypt'],,,,,,,,
sub_412F51,['crypt'],,,,,,,,
sub_4178E6,['crypt'],,,,,,,,
sub_415197,['crypt'],,,,,,,,
sub_4110BC,['crypt'],,,,,,,,
sub_41368B,['crypt'],,,,,,,,
sub_412754,['crypt'],,,,,,,,
sub_41EC9D,['crypt'],,,,,,,,
sub_417FF5,['crypt'],,,,,,,,
sub_41C1E0,['crypt'],,,,,,,,
sub_419BE4,['crypt'],,,,,,,,
sub_413E18,['crypt'],,,,,,,,
sub_4126B4,['crypt'],,,,,,,,
sub_41ACAA,['crypt'],,,,,,,,
sub_414C51,['crypt'],,,,,,,,
sub_41A741,['crypt'],,,,,,,,
sub_41BCB1,['crypt'],,,,,,,,
sub_4151D4,['crypt'],,,,,,,,
sub_412B67,['crypt'],,,,,,,,
sub_41E1A0,['crypt'],,,,,,,,
sub_4172FB,['crypt'],,,,,,,,
sub_4167AD,['crypt'],,,,,,,,
sub_41AD66,['crypt'],,,,,,,,
sub_410BC3,['crypt'],,,,,,,,
