crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40015B,['Crypt'],,,sub_4099B9,"['FindFirstFile', 'FindNextFile']",,,sub_406B5E,['Snapshot']
sub_403123,['Crypt'],,,sub_409016,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40CED8,['Crypt'],,,sub_4075A5,"['FindFirstFile', 'FindNextFile']",,,sub_45E888,['encrypted']
sub_404563,['Crypt'],,,sub_408AB7,"['FindFirstFile', 'FindNextFile']",,,,
sub_40E19B,['Crypt'],,,sub_4079B6,"['FindFirstFile', 'FindNextFile']",,,,
sub_40404F,['Crypt'],,,sub_40E856,"['FindFirstFile', 'FindNextFile']",,,,
sub_40D23B,['Crypt'],,,sub_400D44,"['FindFirstFile', 'FindNextFile']",,,,
sub_4065B4,['Crypt'],,,sub_41DEEF,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F54B,['Crypt'],,,sub_41484A,"['FindFirstFile', 'FindNextFile']",,,,
sub_40BC0E,['Crypt'],,,sub_413F2A,"['FindFirstFile', 'FindNextFile']",,,,
sub_401234,['Crypt'],,,,,,,,
sub_406B99,['Crypt'],,,,,,,,
sub_40CE58,['Crypt'],,,,,,,,
sub_40E204,['Crypt'],,,,,,,,
sub_40D2C6,['Crypt'],,,,,,,,
sub_407C80,['Crypt'],,,,,,,,
sub_401612,['Crypt'],,,,,,,,
sub_40FCD9,['Crypt'],,,,,,,,
sub_4001AD,['Crypt'],,,,,,,,
sub_4006E8,['Crypt'],,,,,,,,
sub_402EC5,['Crypt'],,,,,,,,
sub_4090C3,['Crypt'],,,,,,,,
sub_40A9CA,['Crypt'],,,,,,,,
sub_401901,['Crypt'],,,,,,,,
sub_40999A,['Crypt'],,,,,,,,
sub_402BCC,['Crypt'],,,,,,,,
sub_406B32,['Crypt'],,,,,,,,
sub_40703C,['Crypt'],,,,,,,,
sub_40F74D,['Crypt'],,,,,,,,
sub_40A009,['Crypt'],,,,,,,,
sub_400625,['Crypt'],,,,,,,,
sub_40D282,['Crypt'],,,,,,,,
sub_409CDB,['Crypt'],,,,,,,,
sub_40CA30,['Crypt'],,,,,,,,
sub_405B32,['Crypt'],,,,,,,,
sub_40B1E2,['Crypt'],,,,,,,,
sub_405A1A,['Crypt'],,,,,,,,
sub_40B123,['Crypt'],,,,,,,,
sub_40197D,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
