crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_147BCD2F0,['crypt'],main,['WriteFile'],sub_149269180,"['FindFirstFile', 'FindNextFile']",main,['CreateFile'],main,['Snapshot']
sub_147BCD470,['crypt'],sub_147B31670,['WriteFile'],sub_149269690,"['FindFirstFile', 'FindNextFile']",sub_142AE47FC,['CreateFile'],,
sub_147BCD550,['crypt'],,,sub_149269BC0,"['FindFirstFile', 'FindNextFile']",,,,
sub_147BCD690,['crypt'],,,,,,,,
sub_147BCD7A0,['crypt'],,,,,,,,
sub_147BCDB00,['crypt'],,,,,,,,
sub_147BCDCD0,['crypt'],,,,,,,,
sub_147BCDF20,['crypt'],,,,,,,,
sub_1420AA080,['crypt'],,,,,,,,
sub_1420AA390,['crypt'],,,,,,,,
sub_1420AA600,['crypt'],,,,,,,,
sub_1420AA6D0,['crypt'],,,,,,,,
sub_1420AA920,['crypt'],,,,,,,,
sub_1420AA980,['crypt'],,,,,,,,
sub_1420AAA70,['crypt'],,,,,,,,
sub_1420AAC10,['crypt'],,,,,,,,
sub_1420AAFD0,['crypt'],,,,,,,,
sub_141F770A0,['crypt'],,,,,,,,
sub_141F77140,['crypt'],,,,,,,,
sub_141F77290,['crypt'],,,,,,,,
sub_141F77460,['crypt'],,,,,,,,
sub_141F77530,['crypt'],,,,,,,,
sub_141F777D0,['crypt'],,,,,,,,
sub_1437D60C0,['crypt'],,,,,,,,
sub_1437D6A10,['crypt'],,,,,,,,
sub_1437D6B00,['crypt'],,,,,,,,
sub_1437D6C20,['crypt'],,,,,,,,
sub_1437D6D40,['crypt'],,,,,,,,
sub_14EF68440,['crypt'],,,,,,,,
sub_14EF68560,['crypt'],,,,,,,,
sub_14EF688E0,['crypt'],,,,,,,,
sub_14EF68A70,['crypt'],,,,,,,,
sub_14EF68BF0,['crypt'],,,,,,,,
sub_14EF68C80,['crypt'],,,,,,,,
sub_14EF68E90,['crypt'],,,,,,,,
sub_14EF68FE0,['crypt'],,,,,,,,
sub_14E0D0070,['crypt'],,,,,,,,
sub_14E0D01C0,['crypt'],,,,,,,,
sub_14E0D0240,['crypt'],,,,,,,,
sub_14E0D02D0,['crypt'],,,,,,,,
sub_14E0D0350,['crypt'],,,,,,,,
sub_14E0D0650,['crypt'],,,,,,,,
sub_14E0D0A60,['crypt'],,,,,,,,
sub_14E0D0AB0,['crypt'],,,,,,,,
sub_14E0D0B10,['crypt'],,,,,,,,
sub_14E0D0BE0,['crypt'],,,,,,,,
sub_14E0D0D20,['crypt'],,,,,,,,
sub_14E0D0D80,['crypt'],,,,,,,,
sub_14E0D0DD0,['crypt'],,,,,,,,
sub_14E0D0E30,['crypt'],,,,,,,,
sub_147B78010,['crypt'],,,,,,,,
sub_147B78090,['crypt'],,,,,,,,
sub_147B780E0,['crypt'],,,,,,,,
sub_147B78150,['crypt'],,,,,,,,
sub_147B781E0,['crypt'],,,,,,,,
sub_147B78300,['crypt'],,,,,,,,
sub_147B78380,['crypt'],,,,,,,,
sub_147B78400,['crypt'],,,,,,,,
sub_147B78480,['crypt'],,,,,,,,
sub_147B78500,['crypt'],,,,,,,,
sub_147B78580,['crypt'],,,,,,,,
sub_147B78670,['crypt'],,,,,,,,
sub_147B78770,['crypt'],,,,,,,,
sub_147B787F0,['crypt'],,,,,,,,
sub_147B788F0,['crypt'],,,,,,,,
sub_147B789F0,['crypt'],,,,,,,,
sub_147B78A70,['crypt'],,,,,,,,
sub_147B78CC0,['crypt'],,,,,,,,
sub_147B31A70,['crypt'],,,,,,,,
