crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40F5BE,['Crypt'],sub_4030CB,['WriteFile'],sub_40C71C,"['FindFirstFile', 'FindNextFile']",sub_40BA50,['CreateFile'],sub_401586,['Snapshot']
sub_40C1CE,['Crypt'],,,,,sub_402511,['CreateFile'],,
sub_407F98,['Crypt'],,,,,sub_409311,['ReadFile'],,
sub_4031D3,['Crypt'],,,,,,,,
sub_4060F0,['Crypt'],,,,,,,,
sub_40880F,['Crypt'],,,,,,,,
sub_404F81,['Crypt'],,,,,,,,
sub_40DC2A,['Crypt'],,,,,,,,
sub_402F21,['Crypt'],,,,,,,,
sub_4022FB,['Crypt'],,,,,,,,
sub_40314D,['Crypt'],,,,,,,,
sub_401A84,['Crypt'],,,,,,,,
sub_40342D,['Crypt'],,,,,,,,
sub_403994,['Crypt'],,,,,,,,
sub_403896,['Crypt'],,,,,,,,
sub_404B8E,['Crypt'],,,,,,,,
sub_404411,['Crypt'],,,,,,,,
sub_40CC2E,['Crypt'],,,,,,,,
sub_4029EA,['Crypt'],,,,,,,,
sub_40DF37,['Crypt'],,,,,,,,
sub_408827,['Crypt'],,,,,,,,
sub_4079BE,['Crypt'],,,,,,,,
sub_409AD1,['Crypt'],,,,,,,,
sub_40DFC7,['Crypt'],,,,,,,,
sub_40815C,['Crypt'],,,,,,,,
sub_40D13D,['Crypt'],,,,,,,,
sub_404015,['Crypt'],,,,,,,,
sub_40140B,['Crypt'],,,,,,,,
sub_407C4D,['Crypt'],,,,,,,,
sub_404922,['Crypt'],,,,,,,,
sub_403A53,['Crypt'],,,,,,,,
sub_406F09,['Crypt'],,,,,,,,
sub_40408A,['Crypt'],,,,,,,,
sub_40730C,['Crypt'],,,,,,,,
sub_40B267,['Crypt'],,,,,,,,
sub_4016FC,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40F03A,['Crypt'],,,,,,,,
sub_4075FA,['Crypt'],,,,,,,,
sub_40BC60,['Crypt'],,,,,,,,
sub_400E99,['Crypt'],,,,,,,,
sub_40F65A,['Crypt'],,,,,,,,
sub_4023D7,['Crypt'],,,,,,,,
sub_404753,['Crypt'],,,,,,,,
sub_40B636,['Crypt'],,,,,,,,
sub_4087F6,['Crypt'],,,,,,,,
sub_40E02F,['Crypt'],,,,,,,,
sub_401056,['Crypt'],,,,,,,,
sub_408517,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_404133,['Crypt'],,,,,,,,
sub_40B7A9,['Crypt'],,,,,,,,
sub_40469C,['Crypt'],,,,,,,,
sub_40E51F,['Crypt'],,,,,,,,
sub_40ED71,['Crypt'],,,,,,,,
sub_4057F4,['Crypt'],,,,,,,,
sub_40E3E9,['Crypt'],,,,,,,,
sub_4004AB,['Crypt'],,,,,,,,
sub_40E79E,['Crypt'],,,,,,,,
sub_40B55F,['Crypt'],,,,,,,,
sub_40AC3E,['Crypt'],,,,,,,,
sub_40D7C9,['Crypt'],,,,,,,,
sub_40B24F,['Crypt'],,,,,,,,
sub_40242D,['Crypt'],,,,,,,,
sub_404A3C,['Crypt'],,,,,,,,
sub_408BE1,['Crypt'],,,,,,,,
sub_40814D,['Crypt'],,,,,,,,
sub_408A02,['Crypt'],,,,,,,,
sub_40AAAF,['Crypt'],,,,,,,,
sub_40DBCB,['Crypt'],,,,,,,,
sub_4042A9,['Crypt'],,,,,,,,
sub_40D943,['Crypt'],,,,,,,,
sub_40A2AF,['Crypt'],,,,,,,,
sub_406423,['Crypt'],,,,,,,,
sub_406AD4,['Crypt'],,,,,,,,
sub_40DD86,['Crypt'],,,,,,,,
sub_40C5B4,['Crypt'],,,,,,,,
sub_400830,['Crypt'],,,,,,,,
sub_408B53,['Crypt'],,,,,,,,
sub_409833,['Crypt'],,,,,,,,
sub_409E07,['Crypt'],,,,,,,,
sub_408BEE,['Crypt'],,,,,,,,
sub_40E8E5,['Crypt'],,,,,,,,
sub_408A55,['Crypt'],,,,,,,,
sub_40AD6F,['Crypt'],,,,,,,,
sub_406AA6,['Crypt'],,,,,,,,
sub_40DFE6,['Crypt'],,,,,,,,
sub_40709A,"['crypt', 'Crypt']",,,,,,,,
sub_40748C,['Crypt'],,,,,,,,
sub_4067D1,['Crypt'],,,,,,,,
sub_406E7D,['Crypt'],,,,,,,,
sub_407D84,['Crypt'],,,,,,,,
sub_40061C,['Crypt'],,,,,,,,
sub_402836,['Crypt'],,,,,,,,
sub_40C1CE,['Crypt'],,,,,,,,
sub_4047EF,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_400E7A,['Crypt'],,,,,,,,
sub_40A779,['Crypt'],,,,,,,,
sub_406DF8,['Crypt'],,,,,,,,
sub_408021,['Crypt'],,,,,,,,
sub_409619,['Crypt'],,,,,,,,
sub_401A59,['Crypt'],,,,,,,,
sub_40FAAC,['Crypt'],,,,,,,,
sub_40E155,['Crypt'],,,,,,,,
sub_407CEB,['Crypt'],,,,,,,,
sub_406B44,['Crypt'],,,,,,,,
sub_40F28D,['Crypt'],,,,,,,,
sub_400C28,['Crypt'],,,,,,,,
sub_403B6E,['Crypt'],,,,,,,,
sub_40DC95,['Crypt'],,,,,,,,
sub_40A6BA,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40413A,['Crypt'],,,,,,,,
sub_40BDC3,['Crypt'],,,,,,,,
sub_409053,['Crypt'],,,,,,,,
sub_4049A0,['Crypt'],,,,,,,,
sub_406824,['Crypt'],,,,,,,,
sub_408FAF,['Crypt'],,,,,,,,
sub_40E909,['Crypt'],,,,,,,,
sub_40A939,['Crypt'],,,,,,,,
sub_401B07,['Crypt'],,,,,,,,
sub_406CE1,['Crypt'],,,,,,,,
sub_40C2E7,['Crypt'],,,,,,,,
sub_400EC1,['Crypt'],,,,,,,,
sub_400C0B,['Crypt'],,,,,,,,
sub_40CA4A,['Crypt'],,,,,,,,
sub_40A176,['Crypt'],,,,,,,,
sub_406091,['Crypt'],,,,,,,,
sub_40C207,['Crypt'],,,,,,,,
sub_40FE60,['Crypt'],,,,,,,,
sub_40ACDF,['Crypt'],,,,,,,,
sub_40588F,['Crypt'],,,,,,,,
sub_40B475,['Crypt'],,,,,,,,
sub_401C52,['Crypt'],,,,,,,,
sub_404666,['Crypt'],,,,,,,,
sub_403A7B,['Crypt'],,,,,,,,
sub_407897,['Crypt'],,,,,,,,
sub_417F86,['Crypt'],,,,,,,,
sub_418E4D,['Crypt'],,,,,,,,
sub_414EA6,['Crypt'],,,,,,,,
sub_414542,['Crypt'],,,,,,,,
sub_41E840,['Crypt'],,,,,,,,
sub_41E124,['Crypt'],,,,,,,,
sub_417123,['Crypt'],,,,,,,,
sub_411644,['Crypt'],,,,,,,,
sub_41F83C,['Crypt'],,,,,,,,
sub_415323,['Crypt'],,,,,,,,
sub_41AE71,['Crypt'],,,,,,,,
sub_418BEA,['Crypt'],,,,,,,,
sub_411DF3,['Crypt'],,,,,,,,
sub_41E1E3,['Crypt'],,,,,,,,
sub_4185BA,['Crypt'],,,,,,,,
sub_413C4B,['Crypt'],,,,,,,,
sub_410AD3,['Crypt'],,,,,,,,
sub_413828,['Crypt'],,,,,,,,
sub_411E4E,['Crypt'],,,,,,,,
sub_412BB9,['Crypt'],,,,,,,,
sub_419F26,['Crypt'],,,,,,,,
sub_417F58,['Crypt'],,,,,,,,
sub_41D3AE,['Crypt'],,,,,,,,
sub_410A3F,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4109B2,['Crypt'],,,,,,,,
sub_413ED4,['Crypt'],,,,,,,,
sub_4121F8,['Crypt'],,,,,,,,
sub_4135E4,['Crypt'],,,,,,,,
sub_4153CD,['Crypt'],,,,,,,,
sub_41FF6D,['Crypt'],,,,,,,,
sub_41E43C,['Crypt'],,,,,,,,
sub_415823,['Crypt'],,,,,,,,
sub_41540F,['Crypt'],,,,,,,,
sub_41F283,['Crypt'],,,,,,,,
sub_41C620,['Crypt'],,,,,,,,
sub_4183F4,['Crypt'],,,,,,,,
sub_41F2B2,['Crypt'],,,,,,,,
sub_41528F,['Crypt'],,,,,,,,
sub_41A6F9,"['Crypt', 'CryptAcquireContext']",,,,,,,,
sub_41DDD0,['Crypt'],,,,,,,,
sub_41D797,['Crypt'],,,,,,,,
sub_41623F,['Crypt'],,,,,,,,
sub_4110F6,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_41A994,['Crypt'],,,,,,,,
