crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4053AD,['Crypt'],sub_40B405,['WriteFile'],sub_40EFC2,"['FindFirstFile', 'FindNextFile']",sub_40E55D,['CreateFile'],sub_4086C3,['Snapshot']
sub_40A30B,['Crypt'],,,,,sub_405060,['CreateFile'],,
sub_407F2D,['Crypt'],,,,,sub_40EA02,['ReadFile'],,
sub_404250,['Crypt'],,,,,,,,
sub_402AD7,['Crypt'],,,,,,,,
sub_402B04,['Crypt'],,,,,,,,
sub_40FAEC,['Crypt'],,,,,,,,
sub_405199,['Crypt'],,,,,,,,
sub_40420A,['Crypt'],,,,,,,,
sub_40F4E1,['Crypt'],,,,,,,,
sub_404554,['Crypt'],,,,,,,,
sub_40FF03,['Crypt'],,,,,,,,
sub_401A76,['Crypt'],,,,,,,,
sub_40B8C0,['Crypt'],,,,,,,,
sub_401AF0,['Crypt'],,,,,,,,
sub_40FF28,['Crypt'],,,,,,,,
sub_405952,['Crypt'],,,,,,,,
sub_402DB5,['Crypt'],,,,,,,,
sub_40AF1E,['Crypt'],,,,,,,,
sub_4058C4,['Crypt'],,,,,,,,
sub_40BD1F,['Crypt'],,,,,,,,
sub_40D74B,['Crypt'],,,,,,,,
sub_40AFC1,['Crypt'],,,,,,,,
sub_402E07,['Crypt'],,,,,,,,
sub_409A31,['Crypt'],,,,,,,,
sub_40F8CE,['Crypt'],,,,,,,,
sub_4069A6,['Crypt'],,,,,,,,
sub_405568,['Crypt'],,,,,,,,
sub_40A665,['Crypt'],,,,,,,,
sub_40C75C,['Crypt'],,,,,,,,
sub_4012A9,['Crypt'],,,,,,,,
sub_40FD8E,['Crypt'],,,,,,,,
sub_40738A,['Crypt'],,,,,,,,
sub_40EF64,['Crypt'],,,,,,,,
sub_408282,['Crypt'],,,,,,,,
sub_400B35,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40044E,['Crypt'],,,,,,,,
sub_400605,['Crypt'],,,,,,,,
sub_403417,['Crypt'],,,,,,,,
sub_403261,['Crypt'],,,,,,,,
sub_40FF62,['Crypt'],,,,,,,,
sub_4018E1,['Crypt'],,,,,,,,
sub_4020C6,['Crypt'],,,,,,,,
sub_40C96E,['Crypt'],,,,,,,,
sub_40D66E,['Crypt'],,,,,,,,
sub_403348,['Crypt'],,,,,,,,
sub_4013A6,['Crypt'],,,,,,,,
sub_402E67,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_4068F8,['Crypt'],,,,,,,,
sub_40C888,['Crypt'],,,,,,,,
sub_404975,['Crypt'],,,,,,,,
sub_409F17,['Crypt'],,,,,,,,
sub_40054B,['Crypt'],,,,,,,,
sub_40A198,['Crypt'],,,,,,,,
sub_40A28C,['Crypt'],,,,,,,,
sub_405D3E,['Crypt'],,,,,,,,
sub_40CD53,['Crypt'],,,,,,,,
sub_40CF80,['Crypt'],,,,,,,,
sub_40B866,['Crypt'],,,,,,,,
sub_400060,['Crypt'],,,,,,,,
sub_40DE2B,['Crypt'],,,,,,,,
sub_40DBEE,['Crypt'],,,,,,,,
sub_405E21,['Crypt'],,,,,,,,
sub_40C785,['Crypt'],,,,,,,,
sub_40DF32,['Crypt'],,,,,,,,
sub_4049B4,['Crypt'],,,,,,,,
sub_4021F7,['Crypt'],,,,,,,,
sub_404E18,['Crypt'],,,,,,,,
sub_4081B2,['Crypt'],,,,,,,,
sub_407B8C,['Crypt'],,,,,,,,
sub_40BE4F,['Crypt'],,,,,,,,
sub_4046BE,['Crypt'],,,,,,,,
sub_407CD1,['Crypt'],,,,,,,,
sub_408C37,['Crypt'],,,,,,,,
sub_40F544,['Crypt'],,,,,,,,
sub_4012FA,['Crypt'],,,,,,,,
sub_408DC1,['Crypt'],,,,,,,,
sub_402BF1,['Crypt'],,,,,,,,
sub_40F4C9,['Crypt'],,,,,,,,
sub_40FFE8,['Crypt'],,,,,,,,
sub_406C65,['Crypt'],,,,,,,,
sub_40179D,['Crypt'],,,,,,,,
sub_400BB0,['Crypt'],,,,,,,,
sub_4072DB,['Crypt'],,,,,,,,
sub_40591B,['Crypt'],,,,,,,,
sub_40E327,"['crypt', 'Crypt']",,,,,,,,
sub_4067C2,['Crypt'],,,,,,,,
sub_40E544,['Crypt'],,,,,,,,
sub_401FAE,['Crypt'],,,,,,,,
sub_40A0A5,['Crypt'],,,,,,,,
sub_407EDD,['Crypt'],,,,,,,,
sub_4006C4,['Crypt'],,,,,,,,
sub_40A30B,['Crypt'],,,,,,,,
sub_407BAC,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_409E90,['Crypt'],,,,,,,,
sub_4000E1,['Crypt'],,,,,,,,
sub_401C0E,['Crypt'],,,,,,,,
sub_40FE4A,['Crypt'],,,,,,,,
sub_404DF4,['Crypt'],,,,,,,,
sub_409CC4,['Crypt'],,,,,,,,
sub_40D66F,['Crypt'],,,,,,,,
sub_40B951,['Crypt'],,,,,,,,
sub_4066AE,['Crypt'],,,,,,,,
sub_400495,['Crypt'],,,,,,,,
sub_40D739,['Crypt'],,,,,,,,
sub_407A12,['Crypt'],,,,,,,,
sub_40BB5E,['Crypt'],,,,,,,,
sub_403C64,['Crypt'],,,,,,,,
sub_40923C,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_409C1F,['Crypt'],,,,,,,,
sub_40C657,['Crypt'],,,,,,,,
sub_4054B6,['Crypt'],,,,,,,,
sub_40BEBD,['Crypt'],,,,,,,,
sub_4085F5,['Crypt'],,,,,,,,
sub_40C70D,['Crypt'],,,,,,,,
sub_40A573,['Crypt'],,,,,,,,
sub_404438,['Crypt'],,,,,,,,
sub_40A0DF,['Crypt'],,,,,,,,
sub_401C28,['Crypt'],,,,,,,,
sub_40671D,['Crypt'],,,,,,,,
sub_404D43,['Crypt'],,,,,,,,
sub_400302,['Crypt'],,,,,,,,
sub_40FFA9,['Crypt'],,,,,,,,
sub_40E662,['Crypt'],,,,,,,,
sub_400C33,['Crypt'],,,,,,,,
sub_40D5DF,['Crypt'],,,,,,,,
sub_40BFDF,['Crypt'],,,,,,,,
sub_406136,['Crypt'],,,,,,,,
sub_402202,['Crypt'],,,,,,,,
sub_406A15,['Crypt'],,,,,,,,
sub_40FF14,['Crypt'],,,,,,,,
sub_40E06D,['Crypt'],,,,,,,,
sub_40A03E,['Crypt'],,,,,,,,
sub_4065D2,['Crypt'],,,,,,,,
sub_41FB69,['Crypt'],,,,,,,,
sub_4189EE,['Crypt'],,,,,,,,
sub_417E8B,['Crypt'],,,,,,,,
sub_41C933,['Crypt'],,,,,,,,
sub_417544,['Crypt'],,,,,,,,
sub_413CFE,['Crypt'],,,,,,,,
sub_41D249,['Crypt'],,,,,,,,
sub_414583,['Crypt'],,,,,,,,
sub_41FABF,['Crypt'],,,,,,,,
sub_4123D9,['Crypt'],,,,,,,,
sub_419F41,['Crypt'],,,,,,,,
sub_41AE3D,['Crypt'],,,,,,,,
sub_4160DB,['Crypt'],,,,,,,,
sub_417684,['Crypt'],,,,,,,,
sub_41023F,['Crypt'],,,,,,,,
sub_414289,['Crypt'],,,,,,,,
sub_419D6F,['Crypt'],,,,,,,,
sub_41D2F6,['Crypt'],,,,,,,,
sub_413D7C,['Crypt'],,,,,,,,
sub_4137D7,['Crypt'],,,,,,,,
sub_419BCA,['Crypt'],,,,,,,,
sub_41BC0D,['Crypt'],,,,,,,,
sub_416EB9,['Crypt'],,,,,,,,
sub_41BFD2,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_412C9B,['Crypt'],,,,,,,,
sub_41B7B0,['Crypt'],,,,,,,,
sub_418E18,['Crypt'],,,,,,,,
sub_41BFBC,['Crypt'],,,,,,,,
sub_415BA9,['Crypt'],,,,,,,,
sub_41B0FB,['Crypt'],,,,,,,,
sub_418DF7,['Crypt'],,,,,,,,
sub_41824F,['Crypt'],,,,,,,,
sub_413D04,['Crypt'],,,,,,,,
sub_4125BB,['Crypt'],,,,,,,,
sub_41E3E9,['Crypt'],,,,,,,,
sub_4135D2,['Crypt'],,,,,,,,
sub_41B683,['Crypt'],,,,,,,,
sub_418494,['Crypt'],,,,,,,,
sub_41D355,"['Crypt', 'CryptAcquireContext']",,,,,,,,
sub_41CBF8,['Crypt'],,,,,,,,
sub_417CD0,['Crypt'],,,,,,,,
sub_416242,['Crypt'],,,,,,,,
sub_415AAE,"['CryptReleaseContext', 'Crypt']",,,,,,,,
sub_41F0A9,['Crypt'],,,,,,,,
sub_414F6D,"['CryptGenRandom', 'Crypt']",,,,,,,,
sub_4162F3,['Crypt'],,,,,,,,
sub_416D2D,['Crypt'],,,,,,,,
sub_41EE39,['RijnDael_AES_inv_LONG'],,,,,,,,
sub_41A28B,['RijnDael_AES_LONG'],,,,,,,,
sub_42DBA1,['RijnDael_AES_LONG'],,,,,,,,
sub_420535,['Crypt'],,,,,,,,
sub_420489,['Crypt'],,,,,,,,
sub_424FD5,['Crypt'],,,,,,,,
sub_428329,['Crypt'],,,,,,,,
