crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40B5B6,['crypt'],sub_41EDCF,['WriteFile'],sub_405316,"['FindFirstFile', 'FindNextFile']",,,sub_40B5B6,['encrypted']
sub_40C668,['crypt'],,,,,,,sub_4CE6F9,['Snapshot']
sub_40A8F3,['crypt'],,,,,,,,
sub_40AFD2,['crypt'],,,,,,,,
sub_40BEA2,['crypt'],,,,,,,,
sub_40031E,['crypt'],,,,,,,,
sub_403284,['crypt'],,,,,,,,
sub_4065A2,['crypt'],,,,,,,,
sub_406820,['crypt'],,,,,,,,
sub_40A453,['crypt'],,,,,,,,
sub_400E3F,['crypt'],,,,,,,,
sub_409706,['crypt'],,,,,,,,
sub_400FB4,['crypt'],,,,,,,,
sub_4009FA,['crypt'],,,,,,,,
sub_4064F3,['crypt'],,,,,,,,
sub_407C1A,['crypt'],,,,,,,,
sub_406BCE,['crypt'],,,,,,,,
sub_40AD87,['crypt'],,,,,,,,
sub_40269B,['crypt'],,,,,,,,
sub_40019E,['crypt'],,,,,,,,
sub_40CD19,['crypt'],,,,,,,,
sub_40761A,['crypt'],,,,,,,,
sub_40D808,['crypt'],,,,,,,,
sub_408048,['crypt'],,,,,,,,
sub_409F74,['crypt'],,,,,,,,
sub_416C02,['crypt'],,,,,,,,
sub_417487,['crypt'],,,,,,,,
sub_411D37,['crypt'],,,,,,,,
sub_417DE7,['crypt'],,,,,,,,
sub_416296,['crypt'],,,,,,,,
sub_417367,['crypt'],,,,,,,,
sub_414C1A,['crypt'],,,,,,,,
sub_41F845,['crypt'],,,,,,,,
sub_41C914,['crypt'],,,,,,,,
sub_41B61A,['crypt'],,,,,,,,
sub_41A47F,['crypt'],,,,,,,,
sub_416544,['crypt'],,,,,,,,
sub_411B63,['crypt'],,,,,,,,
sub_418D6B,['crypt'],,,,,,,,
sub_41107A,['crypt'],,,,,,,,
sub_41B617,['crypt'],,,,,,,,
sub_416567,['crypt'],,,,,,,,
sub_418029,['crypt'],,,,,,,,
sub_41E701,['crypt'],,,,,,,,
sub_41995E,['crypt'],,,,,,,,
sub_41AC77,['crypt'],,,,,,,,
sub_411487,['crypt'],,,,,,,,
sub_41C1B6,['crypt'],,,,,,,,
sub_41CEF0,['crypt'],,,,,,,,
sub_413540,['crypt'],,,,,,,,
sub_41F2B1,['crypt'],,,,,,,,
sub_4189E3,['crypt'],,,,,,,,
sub_418D48,['crypt'],,,,,,,,
sub_4121F2,['crypt'],,,,,,,,
sub_417FBD,['crypt'],,,,,,,,
sub_41E87A,['crypt'],,,,,,,,
sub_414A00,['crypt'],,,,,,,,
sub_410892,['crypt'],,,,,,,,
sub_415368,['crypt'],,,,,,,,
sub_41CB12,['crypt'],,,,,,,,
sub_411076,['crypt'],,,,,,,,
sub_411A18,['crypt'],,,,,,,,
sub_418807,['crypt'],,,,,,,,
sub_416C39,['crypt'],,,,,,,,
sub_41049E,['crypt'],,,,,,,,
sub_41D505,['crypt'],,,,,,,,
sub_41E30C,['crypt'],,,,,,,,
sub_41D43F,['crypt'],,,,,,,,
sub_41D3E4,['crypt'],,,,,,,,
sub_41A8F2,['crypt'],,,,,,,,
sub_411433,['crypt'],,,,,,,,
sub_41917D,['crypt'],,,,,,,,
sub_412546,['crypt'],,,,,,,,
sub_41E9C1,['crypt'],,,,,,,,
sub_414F73,['crypt'],,,,,,,,
sub_410279,['crypt'],,,,,,,,
sub_419B16,['crypt'],,,,,,,,
