crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4D4117,['RijnDael_AES_LONG'],sub_40B922,['WriteFile'],sub_407BEF,['FindFirstFile'],sub_425FD2,['CreateFile'],,
sub_4D0C7D,['RijnDael_AES_inv_LONG'],sub_408A70,['WriteFile'],sub_40339A,['FindFirstFile'],sub_428BCE,['CreateFile'],,
sub_4DCA57,['crypt'],sub_423E38,['WriteFile'],sub_4D8DAC,['FindFirstFile'],sub_42A686,['ReadFile'],,
sub_40289D,['crypt'],sub_4267C4,['WriteFile'],sub_4D144C,['FindFirstFile'],sub_4D4173,['CreateFile'],,
sub_4D5B1B,['crypt'],sub_4D5B1B,['WriteFile'],sub_4EBB33,['FindFirstFile'],sub_4D70C5,"['CreateFile', 'ReadFile']",,
sub_4D0724,['crypt'],sub_4D0724,['WriteFile'],sub_4EF3FE,['FindNextFile'],sub_40289D,"['CreateFile', 'ReadFile']",,
sub_4D9683,['crypt'],sub_4E2DD6,['WriteFile'],,,sub_4D5B1B,['CreateFile'],,
sub_4EF3FE,['crypt'],sub_4EACFA,['WriteFile'],,,sub_4D0724,['CreateFile'],,
sub_4D612C,Potential encryption or modification of data content using an algorithm similar to block cipher operations with multiple XOR and table lookups.,sub_4EBEF1,"['MoveFile', 'DeleteFile']",,,sub_4E605E,['CreateFile'],,
sub_4D8EE9,Function performing Base64 encoding on input data.,,,,,sub_4E2DD6,['ReadFile'],,
,,,,,,sub_4EACFA,['CreateFile'],,
,,,,,,sub_4EF3A9,"['CreateFile', 'ReadFile']",,
,,,,,,sub_4EC4C2,['CreateFile'],,
