crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_403023,['Crypt'],,,sub_404B2E,"['FindFirstFile', 'FindNextFile']",,,sub_40B140,['Snapshot']
sub_403F94,['Crypt'],,,sub_40C732,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_40B3A9,['Crypt'],,,sub_400085,"['FindFirstFile', 'FindNextFile']",,,sub_450B8C,['encrypted']
sub_40FED4,['Crypt'],,,sub_404386,"['FindFirstFile', 'FindNextFile']",,,,
sub_408234,['Crypt'],,,sub_404CA5,"['FindFirstFile', 'FindNextFile']",,,,
sub_40F6E1,['Crypt'],,,sub_40376A,"['FindFirstFile', 'FindNextFile']",,,,
sub_402EFA,['Crypt'],,,sub_403488,"['FindFirstFile', 'FindNextFile']",,,,
sub_408CE0,['Crypt'],,,sub_41A663,"['FindFirstFile', 'FindNextFile']",,,,
sub_4010F8,['Crypt'],,,sub_417D57,"['FindFirstFile', 'FindNextFile']",,,,
sub_40AA94,['Crypt'],,,sub_41F92F,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C43D,['Crypt'],,,,,,,,
sub_4085A3,['Crypt'],,,,,,,,
sub_406E74,['Crypt'],,,,,,,,
sub_4062C0,['Crypt'],,,,,,,,
sub_402DD7,['Crypt'],,,,,,,,
sub_40D5B4,['Crypt'],,,,,,,,
sub_40A37A,['Crypt'],,,,,,,,
sub_40324F,['Crypt'],,,,,,,,
sub_40FA39,['Crypt'],,,,,,,,
sub_40E38A,['Crypt'],,,,,,,,
sub_40CC4A,['Crypt'],,,,,,,,
sub_402D8F,['Crypt'],,,,,,,,
sub_40353D,['Crypt'],,,,,,,,
sub_407604,['Crypt'],,,,,,,,
sub_40757C,['Crypt'],,,,,,,,
sub_40B043,['Crypt'],,,,,,,,
sub_40DCCC,['Crypt'],,,,,,,,
sub_402656,['Crypt'],,,,,,,,
sub_4028DD,['Crypt'],,,,,,,,
sub_408B14,['Crypt'],,,,,,,,
sub_4046D5,['Crypt'],,,,,,,,
sub_40CED0,['Crypt'],,,,,,,,
sub_4059BE,['Crypt'],,,,,,,,
sub_400692,['Crypt'],,,,,,,,
sub_40C83E,['Crypt'],,,,,,,,
sub_407AE1,['Crypt'],,,,,,,,
sub_401DA1,['Crypt'],,,,,,,,
sub_40E8DA,['Crypt'],,,,,,,,
sub_4052E8,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40AA9C,['Crypt'],,,,,,,,
sub_409099,['Crypt'],,,,,,,,
sub_40A5F1,['Crypt'],,,,,,,,
sub_402186,['Crypt'],,,,,,,,
sub_407419,['Crypt'],,,,,,,,
sub_401DD2,['Crypt'],,,,,,,,
sub_4039CE,['Crypt'],,,,,,,,
sub_4072DE,['Crypt'],,,,,,,,
sub_40D7F7,['Crypt'],,,,,,,,
sub_408239,['Crypt'],,,,,,,,
sub_4043CC,['Crypt'],,,,,,,,
sub_40335B,['Crypt'],,,,,,,,
sub_400E46,['Crypt'],,,,,,,,
sub_4040B2,['Crypt'],,,,,,,,
sub_40BD4F,['Crypt'],,,,,,,,
sub_40D9E4,['Crypt'],,,,,,,,
