crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_403DB8,"['Crypt', 'CryptAcquireContext']",sub_400C20,['WriteFile'],sub_40697B,"['FindFirstFile', 'FindNextFile']",sub_40B69B,['CreateFile'],sub_40DC5E,['Snapshot']
sub_409FB6,"['CryptGenRandom', 'crypt', 'Crypt']",sub_409FB6,"['MoveFile', 'WriteFile']",sub_40AF64,"['FindFirstFile', 'FindNextFile']",sub_409FB6,"['CreateFile', 'ReadFile']",,
start,"['CryptReleaseContext', 'Crypt']",sub_40697B,['WriteFile'],,,sub_40697B,['CreateFile'],,
sub_4041B2,"Potential encryption or modification of data content read into memory. The function appears to perform bitwise operations, shifts, and nonlinear mixing of data, indicative of a stream cipher-like encryption.",,,,,,,,
sub_407A41,"The function performs various bitwise operations and additions on the input data, which are indicative of a symmetric encryption algorithm.",,,,,,,,
sub_41BF82,"Function sub_41BF82 appears to perform encryption-like operations with numerous XOR, shift, and other bitwise manipulations on data, as well as incorporating constant values often associated with cryptographic operations.",,,,,,,,
sub_413DBE,"Potential encryption or modification of data content read into memory, involving XOR operations, which are common in block cipher implementations.",,,,,,,,
sub_40C9C0,"This function appears to involve intricate bitwise operations and permutations on data, which is indicative of an encryption algorithm.",,,,,,,,
sub_4135D5,"Potential encryption or modification of data content read into memory, using a byte-wise XOR operation and table lookup.",,,,,,,,
sub_40EFD9,Potential encryption or modification of data content read into memory. The function uses multiple bitwise operations and variable manipulation which are indicative of encryption algorithms.,,,,,,,,
