crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40C567,['RijnDael_AES_Base'],,,,,,,,
sub_4089FB,Potential encryption function using multiple rounds of transformations which resemble operations seen in block cipher encryption algorithms such as AES.,,,,,,,,
sub_402B6C,"The function performs content modification operations that strongly suggest it's an encryption algorithm. The presence of key scheduling, multiple rounds of bitwise and arithmetic operations (such as rotations and XORs) indicate that this function is likely implementing an encryption algorithm, possibly a variant of the Salsa20/ChaCha family.",,,,,,,,
sub_40452C,"This function appears to perform a series of bitwise XOR operations on the input data, which is a common technique used in encryption algorithms.",,,,,,,,
sub_401843,Likely obfuscation or encryption function using XOR operation with a constant key.,,,,,,,,
sub_4069DF,"Function performs XOR operations on data, indicating potential encryption-like behavior.",,,,,,,,
sub_4004AB,Potential encryption function using XOR operation with a constant key on multiple data arrays.,,,,,,,,
sub_4081C9,"Potential encryption or modification of data content read into memory. The function performs operations on multiple variables, including bitwise operations and XOR processes.",,,,,,,,
sub_40F353,"Potential encryption or modification of data content read into memory. The function appears to perform complex operations on the input data, which is indicative of cryptographic processing.",,,,,,,,
sub_401DEA,"Potential encryption or modification of data content read into memory. The function involves multiple data transformations, bitwise operations, and buffer manipulations that are characteristic of cryptographic algorithms.",,,,,,,,
