crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_40F9A4,['crypt'],sub_415C58,['WriteFile'],sub_4025A5,"['FindFirstFile', 'FindNextFile']",,,sub_40F9A4,['encrypted']
sub_40EF59,['crypt'],,,,,,,sub_4C2787,['Snapshot']
sub_40282A,['crypt'],,,,,,,,
sub_40D7B4,['crypt'],,,,,,,,
sub_408EC1,['crypt'],,,,,,,,
sub_40553F,['crypt'],,,,,,,,
sub_406441,['crypt'],,,,,,,,
sub_40E1D8,['crypt'],,,,,,,,
sub_4018BA,['crypt'],,,,,,,,
sub_4035A0,['crypt'],,,,,,,,
sub_40C3E3,['crypt'],,,,,,,,
sub_40B54F,['crypt'],,,,,,,,
sub_40CD31,['crypt'],,,,,,,,
sub_405AC0,['crypt'],,,,,,,,
sub_40867F,['crypt'],,,,,,,,
sub_408629,['crypt'],,,,,,,,
sub_402617,['crypt'],,,,,,,,
sub_403228,['crypt'],,,,,,,,
sub_4082AB,['crypt'],,,,,,,,
sub_408C0F,['crypt'],,,,,,,,
sub_40844B,['crypt'],,,,,,,,
sub_4028AE,['crypt'],,,,,,,,
sub_40360A,['crypt'],,,,,,,,
sub_40F611,['crypt'],,,,,,,,
sub_40D5A6,['crypt'],,,,,,,,
sub_4169D4,['crypt'],,,,,,,,
sub_41E345,['crypt'],,,,,,,,
sub_4169E5,['crypt'],,,,,,,,
sub_413CBA,['crypt'],,,,,,,,
sub_4147C3,['crypt'],,,,,,,,
sub_41532D,['crypt'],,,,,,,,
sub_41A895,['crypt'],,,,,,,,
sub_41E2AB,['crypt'],,,,,,,,
sub_418BC9,['crypt'],,,,,,,,
sub_415C8B,['crypt'],,,,,,,,
sub_41CC14,['crypt'],,,,,,,,
sub_417002,['crypt'],,,,,,,,
sub_412DAD,['crypt'],,,,,,,,
sub_41962B,['crypt'],,,,,,,,
sub_41216F,['crypt'],,,,,,,,
sub_415BC6,['crypt'],,,,,,,,
sub_4168F0,['crypt'],,,,,,,,
sub_416D6B,['crypt'],,,,,,,,
sub_412235,['crypt'],,,,,,,,
sub_4189A6,['crypt'],,,,,,,,
sub_417CE4,['crypt'],,,,,,,,
sub_418C08,['crypt'],,,,,,,,
sub_419945,['crypt'],,,,,,,,
sub_41DEA6,['crypt'],,,,,,,,
sub_4133F8,['crypt'],,,,,,,,
sub_4196DF,['crypt'],,,,,,,,
sub_41CCA8,['crypt'],,,,,,,,
sub_4143C5,['crypt'],,,,,,,,
sub_41DFDC,['crypt'],,,,,,,,
