crypt_function,crypt_keyword,delete_file_function,delete_file_keyword,find_file_function,find_file_keyword,read_file_function,read_file_keyword,danger_word_function,danger_word_keyword
sub_4031D8,['Crypt'],,,sub_40ED09,"['FindFirstFile', 'FindNextFile']",,,sub_404977,['Snapshot']
sub_407A49,['Crypt'],,,sub_4077B7,"['FindFirstFile', 'FindNextFile']",,,main,['Backup']
sub_4047B7,['Crypt'],,,sub_40A2B4,"['FindFirstFile', 'FindNextFile']",,,sub_458ED8,['encrypted']
sub_40C462,['Crypt'],,,sub_406ABC,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C8F4,['Crypt'],,,sub_40AF2C,"['FindFirstFile', 'FindNextFile']",,,,
sub_40C632,['Crypt'],,,sub_403D35,"['FindFirstFile', 'FindNextFile']",,,,
sub_40E63D,['Crypt'],,,sub_402C7D,"['FindFirstFile', 'FindNextFile']",,,,
sub_40BC24,['Crypt'],,,sub_41A65E,"['FindFirstFile', 'FindNextFile']",,,,
sub_40CD6E,['Crypt'],,,sub_41F445,"['FindFirstFile', 'FindNextFile']",,,,
sub_40AA96,['Crypt'],,,sub_41002A,"['FindFirstFile', 'FindNextFile']",,,,
sub_408725,['Crypt'],,,,,,,,
sub_407EB6,['Crypt'],,,,,,,,
sub_4085A0,['Crypt'],,,,,,,,
sub_40C5AC,['Crypt'],,,,,,,,
sub_404BED,['Crypt'],,,,,,,,
sub_406C53,['Crypt'],,,,,,,,
sub_40BF54,['Crypt'],,,,,,,,
sub_40E6BD,['Crypt'],,,,,,,,
sub_403608,['Crypt'],,,,,,,,
sub_4078DC,['Crypt'],,,,,,,,
sub_405E36,['Crypt'],,,,,,,,
sub_40D5E8,['Crypt'],,,,,,,,
sub_40BBE8,['Crypt'],,,,,,,,
sub_40038D,['Crypt'],,,,,,,,
sub_40F30C,['Crypt'],,,,,,,,
sub_407A13,['Crypt'],,,,,,,,
sub_40DFB4,['Crypt'],,,,,,,,
sub_40C679,['Crypt'],,,,,,,,
sub_407EDA,['Crypt'],,,,,,,,
sub_401985,['Crypt'],,,,,,,,
sub_40845C,['Crypt'],,,,,,,,
sub_40413A,['Crypt'],,,,,,,,
sub_40EBF0,['Crypt'],,,,,,,,
sub_404B93,['Crypt'],,,,,,,,
sub_40F2CF,['Crypt'],,,,,,,,
sub_4002AB,['Crypt'],,,,,,,,
sub_4042EF,['Crypt'],,,,,,,,
sub_4021C9,['Crypt'],,,,,,,,
sub_40DC47,"['crypt', 'Crypt', 'Encrypt']",,,,,,,,
sub_40D127,['Crypt'],,,,,,,,
sub_40E7FC,['Crypt'],,,,,,,,
sub_40731C,['Crypt'],,,,,,,,
sub_402613,['Crypt'],,,,,,,,
sub_4087EC,['Crypt'],,,,,,,,
sub_40F63F,['Crypt'],,,,,,,,
sub_40285A,['Crypt'],,,,,,,,
sub_40B8BE,['Crypt'],,,,,,,,
sub_40AE6B,['Crypt'],,,,,,,,
sub_407B6D,['Crypt'],,,,,,,,
sub_40CFA9,['Crypt'],,,,,,,,
sub_408064,['Crypt'],,,,,,,,
